EnterAccountCharacterInfo,Enter your account & character information
CharacterName,Character name
AccountName,Account name
Password,Account password
ConfirmPassword,Confirm password
CharacterNameDesc,(letters & spaces)
AccountNameDesc,(letters & numbers)
PasswordDesc,(letters & numbers)
ConfirmPasswordDesc,(letters & numbers)
Email,Email
EmailDesc,"(optional, to recover password)"
CreateAccount,Create your account
AccountAlreadyExists,Your account already exists?
Login,Login
CreatingCharacter,Creating your character...
Error,Error:
InvalidData,"Invalid character, account name, password or email"
BothPasswordDoNotMatch,Both passwords do not match
ImportBondageCollege,Import Bondage College data
InvalidServerAnswer,"Invalid server answer, it could be outdated."
InfoTooLong,"Your character name, account name and password cannot be more than 20 characters long."
InvalidCharacters,"Invalid characters: $invalidCharacters"
InvalidFormat,"$inputName: Invalid format ($maxLength).\n$invalidCharacters"
Required,"$inputName: required."
TooLong,"$inputName: too long ($maxLength)."
MaxLength,"max $maxLength"
MaxLengthUndefined,"max length"
ContainsInvalidCharacters,"$inputName: contains invalid characters.\n$invalidCharacters"
CharacterNamePermanent,Your character name is permanent and cannot be changed. You can set a nickname later.
InvalidEmail,"$inputName: invalid email address."
