Exit,Exit the game
Level1,Apartment
Level2,Cottage
Level3,House
Level4,Mansion
Level5,Manor
Fame,Fame:
Money,Money:
PlayCard,Play this card
GameEnded,Game has ended.
SelectOption,Select an option.
InspectPile,Inspect the Streets.
Draw,Draw and end your turn
CannotDraw,End your turn
SelectCard,Select this card
SelectTier,Select tier NUMBER
CancelPending,Don't play this card
Bankrupt,Go bankrupt
Concede,Concede the game
Info,Info
StopWatch,Stop watching
OnlineConcede,PLAYERNAME conceded and left the game.
OnlineStopWatch,PLAYERNAME stopped watching and left the game.
OnlinePlayerDisconnected,SOURCEPLAYER has disconnected.
SelectPrerequisite,Select target card.
Yes,Yes
No,No
DeckNumber,Deck #
Play,Play
CanWinNewCard,Your opponent has this card you can win:
WonNewCard,You've reached 100 Fame and won this card:
NoValidDeckFound,PLAYERNAME's deck isn't valid.  Using the default deck instead.
SelectDeck,Select the deck to play with.
WaitingSelectDeck,Waiting for deck selection.
UsingDeck,PLAYERNAME's deck is selected.
ConfirmBankrupt,Go bankrupt and start a fresh new club?
ConfirmConcede,Do you really want to concede this game?
ConfirmExit,Do you want to stop watching this game?
WentBankrupt,SOURCEPLAYER went bankrupt and started a new club.
VictoryForPlayer,Congratulations!  You've reached 100 Fame and won the game.
VictoryForAI,Your opponent reached 100 Fame and won the game.
VictoryOnline,PLAYERNAME reached 100 Fame and won the game.
VictoryForConcedePlayer,OPPONENTPLAYER conceded the game. You win.
VictoryForConcede,OPPONENTPLAYER conceded the game. PLAYERNAME wins the game.
Return,End the game
OpponentPlaying,Your opponent is playing...
WatchingGame,Watching the game...
PlayACard,PLAYERNAME plays CARDNAME.
PlayACardOpponentBoard,PLAYERNAME plays CARDNAME on the opponent's board.
PlayAnotherCard,PLAYERNAME can play another card.  The turn continues.
StartPlayer,You've been chosen to start the game.  Select a card to play or end your turn by drawing.
StartOpponent,Your opponent has been chosen to start the game.  Please wait for her move.
StartOnline,PLAYERNAME has been selected to start.  Both players must pick a deck.
StartTurnLogChat,Turn TURNNUMBER - PLAYERNAME
EndTurnPlayer,SOURCEPLAYER FAMEMONEY.
EndDrawPlayer,SOURCEPLAYER draws a card.  FAMEMONEY.
UpgradeToLevel2,Get Cottage (MONEY)
UpgradeToLevel3,Get House (MONEY)
UpgradeToLevel4,Get Mansion (MONEY)
UpgradeToLevel5,Get Manor (MONEY)
UpgradedToLevel2,PLAYERNAME upgraded to Cottage for MONEYAMOUNT Money.
UpgradedToLevel3,PLAYERNAME upgraded to House for MONEYAMOUNT Money.
UpgradedToLevel4,PLAYERNAME upgraded to Mansion for MONEYAMOUNT Money.
UpgradedToLevel5,PLAYERNAME upgraded to Manor for MONEYAMOUNT Money.
GainFame,SOURCEPLAYER gained AMOUNT Fame from CARDNAME.
GainMoney,SOURCEPLAYER gained AMOUNT Money from CARDNAME.
GainFameMoney,SOURCEPLAYER gained FAMEAMOUNT Fame and MONEYAMOUNT Money from CARDNAME.
LoseFame,SOURCEPLAYER lost AMOUNT Fame.
LoseMoney,SOURCEPLAYER lost AMOUNT Money.
StealFame,SOURCEPLAYER stole AMOUNT Fame from OPPONENTPLAYER.
StealMoney,SOURCEPLAYER stole AMOUNT Money from OPPONENTPLAYER.
StealFameMoney,SOURCEPLAYER stole FAMEAMOUNT Fame and MONEYAMOUNT Money from OPPONENTPLAYER.
MemberLeaveClub,CARDNAME leaves SOURCEPLAYER's club.
EventRemoved,CARDNAME event is removed.
EventExpired,CARDNAME event has expired.
ChatHere,Chat here...
GroupLiability,Liability
GroupStaff,Staff
GroupPolice,Police
GroupCriminal,Criminal
GroupFetishist,Fetishist
GroupPornActress,Porn Actress
GroupMaid,Maid
GroupAsylumPatient,Asylum Patient
GroupAsylumNurse,Asylum Nurse
GroupDominant,Dominant
GroupMistress,Mistress
GroupABDLBaby,ABDL Baby
GroupABDLMommy,ABDL Mommy
GroupCollegeStudent,College Student
GroupCollegeTeacher,College Teacher
GroupPlayer,Online Player
GroupShibari,Shibari
GroupExhibitionist,Exhibitionist
Title Kinky Neighbor,Kinky Neighbor
Text Kinky Neighbor,+2 Money per turn if Cute Girl Next Door is present.
Title Cute Girl Next Door,Cute Girl Next Door
Text Cute Girl Next Door,<F>The neighborhood is getting better everyday.
Title Voyeur,Voyeur
Text Voyeur,"Gain +1 Money for each 2 exhibitionists visible (Max 3). Gains +2 fame if at least 10 exhibitionists are visible."
Title Nudist,Nudist
Text Nudist,<F>We prefer the term naturist.
Title Party Animal,Party Animal
Text Party Animal,<F>The best plans always begin by: Hold my beer.
Title Auctioneer,Auctioneer
Text Auctioneer,Double all bonuses from auctions.
Title Uptown Girl,Uptown Girl
Text Uptown Girl,<F>She's been living in her white bread world.
Title Tourist,Tourist
Text Tourist,<F>I'll need a vacation from my vacation.
Title Diplomat,Diplomat
Text Diplomat,<F>Business or leisure?  Pain and pleasure.
Title Gambler,Gambler
Text Gambler,"When she enters your club, discard a card at random then draw a card."
Title Red Twin,Red Twin
Text Red Twin,<F>We don't share minds but can share orgasms.
Title Blue Twin,Blue Twin
Text Blue Twin,Gain +1 Fame per turn if Red Twin is present.
Title Rope Bunny,Rope Bunny
Text Rope Bunny,+2 Money per turn if at least one Dominant is present.
Title Shy Submissive,Shy Submissive
Text Shy Submissive,Will leave your club at start of turn if there are more than 6 members.
Title Rope Sensei,Rope Sensei
Text Rope Sensei,<F>ロープを尊重する
Title LARP Queen,LARP Queen
Text LARP Queen,"<F>For my next quest, I need enchanted ropes, love potions and a cursed chastity belt."
Title Local Influencer,Local Influencer
Text Local Influencer,You lose 4 Money and draw a card when she enters your club.
Title Wannabe Princess,Wannabe Princess
Text Wannabe Princess,+2 Fame per turn if your building level is a Manor.
Title Waitress,Waitress
Text Waitress,+1 Money per turn if Party Animal is present.  +1 Money per turn if Tourist is present.
Title Bouncer,Bouncer
Text Bouncer,<F>Your ass will bounce on the street if you make me mad.
Title Accountant,Accountant
Text Accountant,+1 Money per turn at House level or better.  +1 Money per turn at Manor level.
Title Secretary,Secretary
Text Secretary,Your timed events will last one extra turn.
Title Associate,Associate
Text Associate,You can play one extra card per turn.
Title Human Resource,Human Resource
Text Human Resource,Draw an extra card each time you end your turn by drawing a card.
Title Policewoman,Policewoman
Text Policewoman,<F>I took the job for the free handcuffs.
Title Pusher,Pusher
Text Pusher,"Gains +1 Money per turn if Sidney present. Remove from your club at the end of turn if Police is present."
Title Junkie,Junkie
Text Junkie,"Gains +2 money per turn if Pusher present. Remove from your club at the end of turn if Police is present."
Title Zealous Cop,Zealous Cop
Text Zealous Cop,"<F>Rules are rules, and I'll make sure they will be followed."
Title Gangster,Gangster
Text Gangster,"+1 Money per other Criminal present (Max +5). Remove from your club at the end of turn if Police is present."
Title Paroled Thief,Paroled Thief
Text Paroled Thief,"Unless a police is present in your club, your opponent steals 1 money at the end of each of your turns."
Title Police Cadet,Police Cadet
Text Police Cadet,<F>Hey!  Give me back my keys!
Title Stepmother,Stepmother
Text Stepmother,"When a member with - Fame enters, Steal Fame equal to their + Money. Enters: Receive 1 Fame for each member present with - Fame."
Title Sheriff,Sheriff
Text Sheriff,Draw 2 cards when she enters your club.
Title Maid Lover,Maid Lover
Text Maid Lover,"Gain +1 Money per maid (Max 3). Gain +2 Fame and -2 Money if you have a tier 4 or higher maid in your club."
Title Diaper Lover,Diaper Lover
Text Diaper Lover,"Gain +1 money per ABDL baby in your club (Max 3). When an ABDL Baby enters while there are 3+ ABDL Babies already present, draw a card."
Title Masochist,Masochist
Text Masochist,"Gain +1 Fame and +1 Money if a Dominant is present. Receive 1 Money for each card you discard."
Title Feet Worshiper,Feet Worshiper
Text Feet Worshiper,+2 Money per turn if at least one Porn Actress or ABDL Mommy is present.
Title Fin-Dom Simp,Fin-Dom Simp
Text Fin-Dom Simp,"Gain +Money equal to the highest tier Dominant present. Enters: Gain 3 money."
Title Fin-Dom Whale,Fin-Dom Whale
Text Fin-Dom Whale,+2 Money per turn for each Mistress present.  Draw a card when she enters your club.
Title Porn Addict,Porn Addict
Text Porn Addict,+1 Money per turn for each Porn member present. (Max +2)
Title Porn Amateur,Porn Amateur
Text Porn Amateur,<F>I'll be the next Marylin Cumroe.
Title Porn Movie Director,Porn Movie Director
Text Porn Movie Director,"+1 Fame and +1 Money for each Porn Actress present. (Max 4)"
Title Porn Lesbian,Porn Lesbian
Text Porn Lesbian,Gets +1 Fame if a fetishist is present. Gets +1 money if another porn actress is present.
Title Porn Veteran,Porn Veteran
Text Porn Veteran,Enters: Gain 3 Fame and Money.
Title Porn Star,Porn Star
Text Porn Star,Enters: Gain 5 Fame and Money.
Title Cam Girl,Cam Girl
Text Cam Girl,Draw a card when she enters your club.
Title Rookie Maid,Rookie Maid
Text Rookie Maid,<F>I can't wait for the sorority initiation.
Title Coat Check Maid,Coat Check Maid
Text Coat Check Maid,<F>Do not lose your receipt ticket.
Title Regular Maid,Regular Maid
Text Regular Maid,<F>Should I refresh your drink Miss?
Title French Maid,French Maid
Text French Maid,<F>Pour un service impeccable et coquin.
Title Head Maid,Head Maid
Text Head Maid,+1 Fame per turn for each other Maid present. (max 6)
Title Confused Maid,Confused Maid
Text Confused Maid,<F>I've tried three dusters but this toilet is still clogged.
Title Curious Patient,Curious Patient
Text Curious Patient,<F>Why are the walls padded?
Title Part-Time Patient,Part-Time Patient
Text Part-Time Patient,Lose 1 fame and gain 1 Money when you take the draw action.
Title Novice Nurse,Novice Nurse
Text Novice Nurse,+1 Fame per turn for each Asylum Patient present. Max 3
Title Commited Patient,Commited Patient
Text Commited Patient,<F>My jacket is never tight enough.
Title Veteran Nurse,Veteran Nurse
Text Veteran Nurse,+2 Fame per turn for each Asylum Patient present. Max 6
