Exit,Exit the deck builder
SelectDeck,Select the deck to modify
DeckNumber,Deck #
RenameDeck,Rename
RenameThisDeck,Enter a new name for this deck
Clear,Clear
Default,Default
SelectCards,Select the cards for
ClickCard,Click on a card to zoom it
UndoChanges,Undo changes
SaveChanges,Save your deck
NextCards,Next 30 cards
PreviousCards,Previous 30 cards
ClearHover,Unselect all cards
DefaultHover,Reset to default deck
GroupAll,All Cards
GroupEvent,Event Cards
GroupNoGroup,Ungrouped
GroupLiability,Liability
GroupStaff,Staff
GroupPolice,Police
GroupCriminal,Criminal
GroupFetishist,Fetishist
GroupPornActress,Porn Actress
GroupMaid,Maid
GroupAsylumPatient,Asylum Patient
GroupAsylumNurse,Asylum Nurse
GroupDominant,Dominant
GroupMistress,Mistress
GroupABDLBaby,ABDL Baby
GroupABDLMommy,ABDL Mommy
GroupCollegeStudent,College Student
GroupCollegeTeacher,College Teacher
GroupShibari,Shibari
GroupKnot,Knot
GroupPet,Pet
GroupOwner,Owner
GroupPlayer,Online Player
GroupReward,Reward Cards
ChangeCardBack,Change sleeve
ChangeCardBackGround,Change card game background
SaveCardBack,Save selected sleeve
NextCardBacks,Next 30 sleeves
PreviousCardBacks,Previous 30 sleeves
