ActionGrabbedToServeDrinksIntro,(Two maids grab you and escort you to their quarters.  Another maid addresses you.)  Your owner sent you here to work.
PublicChat,Talk to everyone
WhisperTo,Whisper to
WhisperFrom,Whisper from
WhisperTargetGone,The character you were whispering to has left.
WhisperTargetOutOfRange,Whisper target is out of range.  Returning to normal chat.
MenuCut,Keep 20- or all current-room messages
MenuProfile,Your character profile
MenuRoomAdmin,Room administration
MenuCustomizationOn,Turn room customization on
MenuCustomizationOff,Turn room customization off
MenuNextCharacters,View next 10 characters
MenuPreviousCharacters,View previous 10 characters
MenuCharacterView,Go to character view
MenuMapView,Go to map view
MenuKneel,Kneel down / Stand up
MenuIcons,Show / hide character icons
MenuCamera,Take a picture
MenuDress,Dress your character
MenuExit,Leave this chat room
MenuCancel,Stop leaving
MenuGameOption,Game options
PandoraInvalidSource,You must be a Pandora's guard to use this command.
PandoraInvalidTarget,Your target is not a Pandora's inmate.
PandoraInvalidActivity,"Invalid Pandora activity, use `/pandora help` to get the list."
PandoraActivityHelp,"The supported activities are:"
PandoraInvalidActivityForTarget,This activity cannot be performed on this target.
OrgasmComing,An orgasm is coming!
OrgasmResist,Resist!
OrgasmTryResist,Try to resist
OrgasmSurrender,Surrender
OrgasmRecovering,Recovering from an orgasm...
ChatRoomStruggleStruggling,Struggling...
ChatRoomStruggleLoosening,Loosening...
ChatRoomStruggleImpossible,Impossible!
ChatRoomStruggleLoosen,Loosen
ChatRoomStruggleGiveUp,Give up
ChatRoomReply,Replying to
ChatRoomNoMessageFound,Message could not be found.
CommandBeepInvalidTarget,Invalid member number for target: $target.
CommandBeepLink,(Beep to {NAME} ({NUMBER}): {MESSAGE})
CommandBeepNotFriend,We're not friend with member $target.
CommandBeepEmptyMessage,Please enter a beep message.
CommandHelp,<strong>Help: KeyWord</strong>
CommandNoSuchCommand,command: no such command
CommandPrerequisiteFailed,command: prerequisite check failed
CommandHelpMissing,HELP IS MISSING
CommandFriendlist,Friendlist:
CommandGhostlist,Ghostlist:
CommandWhitelist,Whitelist:
CommandBlacklist,Blacklist:
FocusEnabledWarningIcon,<img src='Icons/Small/FocusEnabledWarning.png' style='display: inline-block; height: 1em; vertical-align: middle; transform: translateY(-0.15em);' aria-hidden='true'>
FocusEnabled,"<strong>NOTICE</strong>: The FocusEnabledWarningIcon <strong>focus list</strong> FocusEnabledWarningIcon is now <strong>enabled</strong>. <i>Only characters on your focus list will be visible to you in the chatroom</i>. To disable this, use <code>/focus clear</code> or the button in the menu bar."
