Exit,Exit Bondage Brawl
Save,Save your progress
SelectSave,Select a slot to save your progress
SaveOn,Save on slot #
Character,Character details
ChangeCharacter,Change active character
AudioToggle,Turn audio on/off
GameOver,Game over.  Use the exit button to try again.
LevelUp,CharacterName gained a level!
ButtonGift,Give her an item
ButtonOliviaLover1Start,Start dating Olivia
ButtonOliviaLover1End,Break-up with Olivia
ButtonOliviaDomination1Start,Dominate Olivia
ButtonOliviaDomination1End,Release Olivia
ButtonOliviaSubmission1Start,Submit to Olivia
ButtonOliviaSubmission1End,Get free from Olivia
ButtonEdlaranLover1Start,Start dating Edlaran
ButtonEdlaranLover1End,Break-up with Edlaran
ButtonEdlaranDomination1Start,Dominate Edlaran
ButtonEdlaranDomination1End,Release Edlaran
ButtonEdlaranSubmission1Start,Submit to Edlaran
ButtonEdlaranSubmission1End,Get free from Edlaran
ButtonLynLover1Start,Start dating Lyn
ButtonLynLover1End,Break-up with Lyn
ButtonLynDomination1Start,Dominate Lyn
ButtonLynDomination1End,Release Lyn
ButtonLynSubmission1Start,Submit to Lyn
ButtonLynSubmission1End,Get free from Lyn
