Exit,Return to Bondage Brawl
ChangeCharacter,Change active character
ResetPerk,Reset perk selection
Name,Name:
Class,Profession:
Owner0,Dominant:
Owner1,Protector:
Owner2,Owner:
Owner3,Mistress:
Lover0,Lover:
Lover1,Girlfriend:
Lover2,Fiancée:
Lover3,Wife:
None,None
AgeMelody,Age: 21
AgeOlivia,Age: 20
AgeEdlaran,Age: 138
AgeLyn,Age: 34
Level,Level:
Perks,Free perks:
Health,Health:
IntroMelody,"As a baby orphan, Melody was adopted by Countess Isabella Alberus.  Her best friend is Lady Olivia, which she serves and protects like a sister.  She's trained as a maid, a career not particularly suited for her strong temper.  She's known to never take breaks and having no fear."
IntroOlivia,Olivia Alberus is the second daughter of Countess Isabella.  She’s over-protected by her mother who keeps her chained to sleep and locked permanently in a chastity belt.  She’s engaged to Duke Sunesk and her best friend is maid Melody.  She’s very kind-hearted and possess her bloodline magic powers.
IntroEdlaran,"Edlaran Rouen'Dlaroft is an archer of the Lorian Elven Tribes.  She fled from her clan many years ago to pursue a life of liberty and shady businesses.  She joined the forest bandits for adventure and gold, but left them to help Melody.  She's a free spirit and doesn't care much for Olivia's royal blood."
IntroLyn,"From flower seller to food thief, to road bandit, to slaver boss, Lyn did it all.  Born in poverty, she’s a self-made woman, proud of her businesses.  She might loan money, but never forgets about it.  She’s Edlaran previous boss and joined Melody when her minions revolted.  She’s known to strike in the back."
NoOwnerBonus,No owner bonus
NoLoverBonus,No lover bonus
MelodyRelationshipBonus,+10% maximum health points
OliviaRelationshipBonus,+10% experience gained
EdlaranRelationshipBonus,+10% walking & running speed
LynRelationshipBonus,+1 damage on back attack
PerkMelody0,Healthy
PerkDescMelody0,+10% Health
PerkMelody1,Robust
PerkDescMelody1,+15% Health
PerkMelody2,Vigorous
PerkDescMelody2,Faster recovery when K.O.
PerkMelody3,Spring
PerkDescMelody3,Higher jump height
PerkMelody4,Impact
PerkDescMelody4,Stronger uppercut on airborn
PerkMelody5,Block
PerkDescMelody5,"Use ""P"" when still to block"
PerkMelody6,Deflect
PerkDescMelody6,Push back blocked enemies
PerkMelody7,Seduction
PerkDescMelody7,Love progresses faster
PerkMelody8,Persuasion
PerkDescMelody8,Domination progresses faster
PerkMelody9,Manipulation
PerkDescMelody9,Creates new dialog options
PerkOlivia0,Apprentice
PerkDescOlivia0,"Unlock magic, use ""K"" to scream"
PerkOlivia1,Witch
PerkDescOlivia1,+20% magic points
PerkOlivia2,Meditation
PerkDescOlivia2,Faster magic regeneration
PerkOlivia3,Scholar
PerkDescOlivia3,+20% experience points
PerkOlivia4,Heal
PerkDescOlivia4,"Use ""P"" to heal yourself"
PerkOlivia5,Cure
PerkDescOlivia5,Faster healing cooldown
PerkOlivia6,Howl
PerkDescOlivia6,Faster screams cooldown
PerkOlivia7,Roar
PerkDescOlivia7,Screams can turn back ennemies
PerkOlivia8,Teleport
PerkDescOlivia8,"Use ""I"" to teleport forward"
PerkOlivia9,Freedom
PerkDescOlivia9,Faster teleports cooldown
PerkEdlaran0,Fletcher
PerkDescEdlaran0,Get arrows when restraining
PerkEdlaran1,Burglar
PerkDescEdlaran1,Loot more items and BC money
PerkEdlaran2,Spring
PerkDescEdlaran2,Higher jump height
PerkEdlaran3,Athletic
PerkDescEdlaran3,+10% walking/running speed
PerkEdlaran4,Sprint
PerkDescEdlaran4,+15% walking/running speed
PerkEdlaran5,Backflip
PerkDescEdlaran5,"Move back quickly with ""I"""
PerkEdlaran6,Acrobat
PerkDescEdlaran6,Longer backflips
PerkEdlaran7,Archery
PerkDescEdlaran7,+1 arrow damage
PerkEdlaran8,Celerity
PerkDescEdlaran8,Faster arrow shoots
PerkEdlaran9,Capacity
PerkDescEdlaran9,+5 maximum arrows
PerkLyn0,Sneak
PerkDescLyn0,+1 damage to back attack
PerkLyn1,Backstab
PerkDescLyn1,Add another +1 damage
PerkLyn2,Kidnapper
PerkDescLyn2,Auto restrain on back K.O.
PerkLyn3,Rigger
PerkDescLyn3,Restrain at double speed
PerkLyn4,Burglar
PerkDescLyn4,Loot more items and BC money
PerkLyn5,Thief
PerkDescLyn5,+1 BC $ on each back hit
PerkLyn6,Spring
PerkDescLyn6,Higher jump height
PerkLyn7,Bounce
PerkDescLyn7,Can jump twice
PerkLyn8,Inventory
PerkDescLyn8,Carry 1 extra knife
PerkLyn9,Duplicate
PerkDescLyn9,Knives go both ways
