Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,嗨，COMMON_PLAYERNAME。需要|我带你去学校的食堂吗？,AmandaIntro.jpg
0,5,0,,很高兴见到你COMMON_PLAYERNAME|你在找食堂吗？,AmandaIntroHappy.jpg
0,0,5,,你好，COMMON_PLAYERNAME小姐。（她低下头）|你找到学校的食堂了吗？,AmandaIntroSubbie.jpg
0,1,-3,,嘿，女孩~午餐时间到了，需要|我带你去学校的食堂吗？,AmandaIntroDomme.jpg
0,0,0,TeamAgainstMildred,我还是不敢相信我们竟然制服了Mildred。|不过…你找到学校食堂了吗？,AmandaIntroHappy.jpg
0,0,0,TeamFailAgainstMildred,我还是不敢相信我们竟然试图制服Mildred。|不过…你找到学校的食堂了吗？,AmandaIntro.jpg
5,0,0,,（Amanda看见你却跑开了。|她假装很着急）,AmandaGone.jpg
10,0,0,,如果你愿意，可以试试|学院食堂，但食物并不好吃。,AmandaIntro.jpg
10,0,5,,如果你真的饿了，你可以试试|食堂，但我不太推荐。,AmandaIntroSubbie.jpg
10,1,-3,,你可以试试食堂|但这不是最好的食物。,AmandaIntroDomme.jpg
20,0,0,,附近有一家小咖啡馆|如果你愿意，可以试试。,AmandaIntro.jpg
20,0,5,,小姐，附近有一家咖啡馆|如果你愿意，可以试试。,AmandaIntroSubbie.jpg
20,1,-3,,像你这样可爱的人，应该去附近的咖啡馆尝一尝。|那里的环境比学校的食堂好多了。,AmandaIntroDomme.jpg
30,0,0,,你现在想和我一起去|咖啡馆吗？,AmandaIntro.jpg
30,0,5,,小姐，你现在想和我一起去咖啡馆吗？,AmandaIntroSubbie.jpg
30,1,-3,,去拿你的钱包|我们一起去咖啡馆。,AmandaIntroDomme.jpg
40,0,0,,很抱歉，我不能和你一起去吃饭|我的午饭已经安排好了。,AmandaIntro.jpg
50,0,0,,,AmandaGone.jpg
100,0,0,,,AmandaPlayerLunch0.jpg
110,0,0,,,AmandaPlayerLunch0.jpg
120,0,0,,,AmandaPlayerLunch0.jpg
130,0,0,,,AmandaPlayerLunch0.jpg
140,0,0,,,AmandaPlayerLunch0.jpg
150,0,0,,,AmandaPlayerLunch0.jpg
160,0,0,,,AmandaPlayerLunch0.jpg
170,0,0,,,AmandaPlayerLunch0.jpg
180,0,0,,,AmandaPlayerLunch0.jpg
200,0,0,,（当你走回去时，你们牵手|跑到一个荒凉的角落）,AmandaPlayerLovers.jpg
210,0,0,,,AmandaPlayerLovers.jpg
220,0,0,,,AmandaPlayerLoversKiss.jpg
230,0,0,,,AmandaPlayerLoversKiss2.jpg
240,0,0,,,AmandaPlayerLoversTouch.jpg
250,0,0,,,AmandaPlayerLoversOrgasm.jpg
260,0,0,,,AmandaPlayerLovers.jpg
270,0,0,,,AmandaPlayerLovers.jpg
280,0,0,,,AmandaPlayerLoversKiss.jpg
300,0,0,,（当你走回学校时，你牵住她的手，|把她带到一个荒凉的角落）,AmandaPlayerIsDomme.jpg
310,0,0,,,AmandaPlayerIsDommeKiss.jpg
320,0,0,,,AmandaPlayerIsDomme.jpg
330,0,0,,,AmandaPlayerIsDommeTouch.jpg
400,0,0,,（当你走回学校时，她牵住你的手，|把你带到一个荒凉的角落）,AmandaPlayerIsSubbie.jpg
410,0,0,,,AmandaPlayerIsSubbie.jpg
420,0,0,,,AmandaPlayerIsSubbieStrip.jpg
430,0,0,,,AmandaPlayerIsSubbieBack.jpg
440,0,0,,,AmandaPlayerIsSubbieRope.jpg
450,0,0,,,AmandaPlayerIsSubbieRopeBallGag.jpg
460,0,0,,,AmandaPlayerIsSubbieTouch.jpg
470,0,0,,,AmandaPlayerIsSubbieOrgasm.jpg
480,0,0,,,AmandaPlayerIsSubbieRope.jpg
490,0,0,,,AmandaPlayerIsSubbie.jpg
