Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,嗨，COMMON_PLAYERNAME，发生什么事了？,JenniferIntro.jpg
0,4,0,,COMMON_PLAYERNAME！很高兴再次见到你。,JenniferIntroHappy.jpg
0,0,4,,你好，COMMON_PLAYERNAME小姐|我能为你做什么？,JenniferIntroSubbie.jpg
0,0,0,JudoVictory,哇哦！柔道黑带！|我能为你做什么？,JenniferIntroSubbie.jpg
0,0,0,JudoDefeat,哇哦！我的柔道搭档！|我能为你做什么？,JenniferIntro.jpg
0,0,0,HasEgg,这东西还在我体内振动！|我希望能尽快把它取出去。,JenniferIntroSubbie.jpg
10,0,0,,午饭前我要去打网球|你愿意和我一起去吗？,JenniferIntro.jpg
10,4,0,,午饭前我要去打网球|你愿意和我一起去吗？,JenniferIntroHappy.jpg
10,0,4,,午饭前我要去打网球|你愿意和我一起去吗？,JenniferIntroSubbie.jpg
15,0,0,,午饭前我要去打网球|明天要一起玩吗？,JenniferIntro.jpg
15,4,0,,午饭前我要去打网球|明天要一起玩吗？,JenniferIntroHappy.jpg
15,0,4,,午饭前我要去打网球|明天要一起玩吗？,JenniferIntroSubbie.jpg
20,0,0,,你想打网球吗？|你有什么想法？,JenniferIntro.jpg
20,4,0,,你想打网球吗？|你有什么想法？,JenniferIntroHappy.jpg
20,0,4,,你想打网球吗？|你有什么想法？,JenniferIntroSubbie.jpg
30,0,0,,赌注到底是多少|失败者付午餐钱？,JenniferIntro.jpg
30,4,0,,赌注到底是多少|失败者付午餐钱？,JenniferIntroHappy.jpg
30,0,4,,赌注到底是多少|失败者付午餐钱？,JenniferIntroSubbie.jpg
40,0,0,,你准备好上场了吗？,JenniferIntro.jpg
40,4,0,,你准备好上场了吗？,JenniferIntroHappy.jpg
40,0,4,,你准备好上场了吗？,JenniferIntroSubbie.jpg
90,0,0,,（Jennifer走了）,JenniferIntroGone.jpg
100,0,0,TennisVictory,（比赛结束后，你走到一家咖啡馆）|你打得很好，值得一顿免费午餐。,JenniferPlayerLunch0.jpg
100,0,0,!TennisVictory,（比赛结束后，你走到一家咖啡馆）|别在乎输赢，我已经打了很多年了。,JenniferPlayerLunch0.jpg
105,0,0,,,JenniferPlayerLunch0.jpg
110,0,0,,,JenniferPlayerLunch0.jpg
113,0,0,,,JenniferPlayerLunch0.jpg
116,0,0,,,JenniferPlayerLunch0.jpg
120,0,0,,,JenniferPlayerLunch0.jpg
130,0,0,,,JenniferPlayerLunch0.jpg
140,0,0,,,JenniferPlayerLunch0.jpg
150,0,0,,,JenniferPlayerLunch0.jpg
160,0,0,,,JenniferPlayerLunch0.jpg
170,0,0,,,JenniferPlayerLunch0.jpg
175,0,0,,,JenniferPlayerLunch0.jpg
180,0,0,,,JenniferPlayerLunch0.jpg
185,0,0,,,JenniferPlayerLunch0.jpg
200,0,0,,,JenniferPlayerTennis.jpg
210,0,0,,,JenniferPlayerKiss.jpg
215,0,0,,,JenniferPlayerTennis.jpg
220,0,0,,,JenniferPlayerTennis.jpg
230,0,0,,,JenniferPlayerTennis.jpg
240,0,0,,,JenniferStrip.jpg
250,0,0,,,JenniferPlayerTennis.jpg
260,0,0,,,JenniferPlayerTennis.jpg
270,0,0,,,JenniferPlayerKiss.jpg
300,0,0,,,JenniferPlayerTennis.jpg
310,0,0,,,JenniferPlayerTennis.jpg
320,0,0,,,JenniferPlayerTennis.jpg
330,0,0,,,JenniferPlayerPushUp.jpg
340,0,0,,,JenniferPlayerTennis.jpg
350,0,0,,,JenniferPlayerTennis.jpg
360,0,0,,,JenniferPlayerTennis.jpg
400,0,0,,,JenniferPlayerPunish.jpg
410,0,0,,,JenniferPlayerPunish.jpg
420,0,0,,,JenniferPlayerPunish.jpg
430,0,0,,,JenniferPlayerPunish.jpg
440,0,0,,,JenniferPlayerPunishStrip.jpg
450,0,0,,,JenniferPlayerPunishStrip.jpg
460,0,0,,,JenniferPlayerPunishRacket.jpg
470,0,0,,,JenniferPlayerPunishStrip.jpg
480,0,0,,,JenniferPlayerPunish.jpg
