Tag,Content
SkipIntro,Jennifer看见你，但她没搭理你，|直接跑向网球场了。
JenniferObey,好吧，这真是一个有趣的午休，|我会乖乖服从你的。
PlayerObey,好吧，这真是一个有趣的午休。|现在我就是你的老板了，跟我来。
Collar,（你需要顺从度需要达到+20或更高以及一个|特殊的仪式来给Jennifer戴上这个表示服从的项圈）
Rope,（即使她不同意，你还是强行|用绳子将她固定在了网球网上）
Cuffs,（你从背后锁上手铐，|将她和网球网绑在一起）
BallGag,（她摇了摇头表示拒绝，|但你还是把口球塞了进去并固定好。）
TapeGag,（她摇着头试图避开你，|但你还是用胶带封住她的嘴）
Uncuff,（你解开她的手铐，她现在可以从网中解脱出来了）
Crop,（当你狠狠地打她时，她呜咽着。她似乎不喜欢）
VibratingEgg,（她挣扎着不让跳蛋靠近，|但你还是用力的把它推了进去）
VibratingEggFail,（她摇头拒绝这，用力将还在震动的跳蛋推开了）
Spank,（当你狠狠地打她的屁股时，|她不停地挣扎着）
MasturbateOrgasm,（她不停地挣扎着，突然失去了|对自己的控制，获得一次非常愉快地高潮）
MasturbateEgg,（你将手放到她的私处，不停地抚摸着，|Jennifer浑身颤抖着，不停地发出轻声的呻吟）
MasturbateNoEgg,（你用心地给她自慰着，但完全没法将她调动起来）
LeaveBoundAndGagged,（你真的要将她抛弃在这里吗？再次单击即可）
Count1,一
Count2,二
Count3,三
Count4,四
Count5,五
Count6,六
Count7,七
Count8,八
Count9,九
Count10,十
PushUpQuality0,俯卧撑简直太可怕了，|累得我喘不过气来。！
PushUpQuality1,你可以做得更好！
PushUpQuality2,不要放弃！你可以做到的。
PushUpQuality3,你做得很好，继续努力！
PushUpSuccess,你做到了！太棒了|（你站起来掸掸裙子上的灰尘）
PushUpFail,你做到了，但很不标准|你得接受惩罚才行。
StopRacket,（你的屁股已经被打的够红了）|还好吗？你觉得这个惩罚公平吗？
ReleaseRacket,（她最后摆弄了你一次，然后将你放开了）|还好吗？你觉得这个惩罚公平吗？
