Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,你好，是的|我刚转过来。,我也这么认为。名字叫Natalie。,10,0,0,
0,0,0,,嗨，是第一天到|但感觉已经好几周了。,最初的日子可能就是这样|我叫Natalie，很高兴认识你。,10,0,0,
0,0,0,,是的，但以后|可能会经常见到我了。,酷，我是Natalie。,10,1,0,
0,0,0,,新来的？我觉得我在|这里的时间比你长。,好吧，抱歉|我叫Natalie。,10,0,1,
10,0,0,,你能告诉我|餐厅在哪里吗？,学校的餐厅？但它很难吃|我都是和俱乐部的一起吃午饭。,20,0,0,
10,0,0,,我真的饿了|你能帮忙吗？,午休时间不仅仅是食物|你考虑过加入俱乐部吗？,20,0,-1,
10,0,0,,这里哪里吃午饭最好？,不少学生使用当地的咖啡馆，|但我认为最好的是俱乐部午餐。,20,1,0,
20,0,0,,俱乐部，我对此很|感兴趣，跟我聊聊,我在紧缚俱乐部，|这是迄今为止最好的俱乐部。,30,1,1,
20,0,0,,俱乐部，有人想让|我加入吗？,当然紧缚俱乐部会欢迎你的。,30,1,-1,
20,0,0,,俱乐部，像极客那样的？,你一定是在开玩笑，|紧缚俱乐部比那酷多了。,30,0,0,
20,0,0,,俱乐部！没兴趣|我只想吃东西。,如果这是你的态度，|那么你最好去学校餐厅。,40,-1,0,
20,0,0,,俱乐部不是我的事|门槛太高了,好吧，那我得走了。|别人会带你去一家不错的咖啡馆。,40,0,0,
30,0,0,,带我去看看吧|（和Natalie一起去俱乐部）,（Natalie带你去附近的一间空教室）,100,0,0,StartLunch()
30,0,0,,抱歉|我现在只想美餐一顿。,好吧，你可以去自助餐厅，或者找一家咖啡馆。,40,0,0,
40,0,0,,那就享受你的午休吧！,当然！（她挥手离开）,50,1,0,EndLunch()
40,0,0,,好的，回头见。,当然（她挥手离开）,50,0,0,EndLunch()
40,0,0,,你真差劲。,不，你真差劲！（她转过身，怒气冲冲地走开了）,50,-2,0,EndLunch()
100,0,0,,哇，这是反向祈祷吗？,是的，你似乎对自己的领域很了解|Chloe只是在芭蕾舞课后做伸展运动。,110,1,0,
100,0,0,,她还好吗|这看起来很难受。,当然，Chloe做伸展运动和芭蕾舞一样灵活。,110,0,0,
