Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,"Ahoj! Jo, zrovna|jsem přestoupila.",Myslela jsem si to. Mé jméno je Natálie.,10,0,0,
0,0,0,,"Ahoj, první den. Ale už|připadá mi to jako týdny.","První dny se ti takové můžou zdát.|Natálie, ráda tě poznávám.",10,0,0,
0,0,0,,"Ano jsem, ale asi mě|teď budeš vídat častěji!","Super, já jsem Natálie.",10,1,0,
0,0,0,,"Nová? Zdá se mi,|že jsem tu dýl než ty.","Uznávám, to bylo dost neomalené, omlouvám se.|Jmenuji se Natálie.",10,0,1,
10,0,0,,"Můžeš mi říct,|kde je tady jídelna?","Pokud to fakt chceš. Ale je pěkně mizerná.|Já raději obědvám v univerzitním klubu.",20,0,0,
10,0,0,,Mám fakt hlad.|Mohla bys mi pomoct?,"Obědová pauza, to není jenom jídlo.|Neuvažovala jsi, že bys vstoupila do klubu?",20,0,-1,
10,0,0,,Kde je tady nejlepší|dát si oběd?,"Dost studentů chodí do blízké kavárny,|ale podle mě jsou nejlepší klubové obědy.",20,1,0,
20,0,0,,"Kluby, na ty si potrpím!|Per to do mě.","Já jsem v Kinbaku klubu,|který je zdaleka nejlepší.",30,1,1,
20,0,0,,"Klub, a to by|mě nějaký chtěl?",Určitě! Kinbaku klub tě bude jednoduše milovat!,30,1,-1,
20,0,0,,Nejsou kluby|jenom pro šprty?,"Děláš si ze mě legraci?|Kinbaku klub je daleko lepší než ty, co znáš.",30,0,0,
20,0,0,,"Kluby! Ani náhodou,|já se chci jen najíst.","Pokud to cítíš takhle, tak si asi najdi tu jídelnu.",40,-1,0,
20,0,0,,Kluby nejsou pro mě.|Příliš mnoho zasvěcování.,"Tak jo, já už musím jít. Někdo jiný|ti jistě ukáže nějakou pěknou kavárnu.",40,0,0,
30,0,0,,Tak tedy pojďme!|(Běž s Natalií do klubu.),(Natálie tě bere do nedaleké volné učebny.),100,0,0,StartLunch()
30,0,0,,"Asi ne, opravdu se|potřebuju pořádně najíst.","Tak jo, pokud si troufáš, pak jídelna,|jinak si najdi nějakou kavárnu.",40,0,0,
40,0,0,,Užij si tedy|svou polední pauzu!,To každopádně! (Zamává ti a odchází pryč.),50,1,0,EndLunch()
40,0,0,,"Tak jo, uvidíme se.",Rozhodně! (Zamává ti a odchází pryč.),50,0,0,EndLunch()
40,0,0,,Ty jsi na prd!,"Ne, ty jsi na prd!|(Otáčí se a utíká pryč.)",50,-2,0,EndLunch()
100,0,0,,"Tý jo, to je|reverse prayer?","Jasně! Zdá se, že se vyznáš.|Chloe se právě protahuje po hodině baletu.",110,1,0,
100,0,0,,Je v pohodě?|Vypadá to drsně.,"To víš že, je. Chloe je při protahování|stejně pružná, jako na svých hodinách baletu.",110,0,0,
100,0,0,,"Nevím, jestli|bych tohle zvládla.","Nemůžeme být všichni tak ohební, jako je Chloe.",110,0,-1,
100,0,0,,"No ne, netušila jsem,|co je to Kinbaku.","Doslova to znamená „pevné svázání“.|Ale neboj se, budeš v pohodě.",110,0,-1,
100,0,0,,"Boží, vsadím se, že tak|svázaná vypadáš skvěle.","Díky, ale já nejsem takhle ohebná,|jako je támhle Chloe.",110,1,1,
110,0,0,,Neříkala jsi|něco o jídle?,"Ano, máme objednanou donášku jídla. Co takhle|jedno rychlé svázání, zatímco budeme čekat?",120,0,0,
110,0,0,,Tak kde je to jídlo?|Mám už hlad.,Už se blíží roznáška jídla.|Nechceš si zatím zkusit nějaké vázání?,120,-1,1,
110,0,0,,"Mohla bych si už dát|nějaký oběd, prosím?","Ještě chvíli počkej, donesou nám ho.|Trocha Kinbaku nám pomůže ukrátit si čas.",120,0,-1,
120,0,0,,Můžu tě svázat?,"To rozhodně ne! Noví členové se nejprve|musí naučit, jak to tady chodí.",130,-1,-1,
120,0,0,,Můžeš mě svázat?,"Samozřejmě, povinností nového člena|je nejprve se nechat svázat.",130,0,-1,
120,1,1,,Ale jen jestli tě můžu|svázat jako první!,"Dobrá tedy, normálně se ale nejdřív vážou nováčci.|V klubu máme spoustu lana, co můžeš použít.",140,0,1,
120,1,1,,"Předpokládám, že|nejprve se vážou nováčci.","Samozřejmě, i když bych tě možná nechala|nejdřív svázat mě. Svou šanci jsi ale propásla.",130,1,-1,
130,0,0,,"Páni, to je vzrušující.",(Stáhne ti paže za záda a pevně je váže.)|To rozhodně ano!,150,1,0,PlayerRope()
130,0,0,,"Au, ne tak pevně prosím.",Ale to musí být pevně!|(Stáhne ti paže za záda a pevně je váže.),150,-1,0,PlayerRope()
130,0,0,,"Dobře, slečno,|ale buďte prosím něžná.",Ty jsi tak slaďoučká!|(Stáhne ti paže za záda a pevně je váže.),150,1,-1,PlayerRope()
140,0,0,,Teď dej ruce za záda!,"Ano, slečno!|(Stáhneš jí paže za záda a pevně je vážeš.)",160,0,1,NatalieTied()
140,0,0,,Svázaná provazy|budeš vypadat skvěle.,"(Stáhneš jí paže za záda a pevně je vážeš.)|Jsem ráda, že se ti to líbí.",160,1,0,NatalieTied()
150,0,0,,To je ta donáška jídla?,"(Přichází Jenna s jídlem.) Tentokrát jsem objednala|pizzu, pomozte to svým subinkám nasoukat dovnitř.",170,0,0,
160,0,0,,To je ta donáška jídla?,"(Přichází Jenna s jídlem.) Tentokrát jsem objednala|pizzu, pomozte to svým subinkám nasoukat dovnitř.",180,0,0,
170,0,0,,"Můžeš mi prosím|pomoct se najíst, Natálie?","Jistě, když jsi byla tak poslušná.|Tak, jak se ti zatím líbí naše škola?",200,1,-1,
170,0,0,,"No tak, Natálie,|na tohle jsem se těšila!","Jistě, když ses ode mě nechala svázat…|Tak, jak se ti zatím líbí naše škola?",200,1,0,
180,0,0,,"Chtěla bys kousek,|Natálie?","Rozhodně chtěla!|Tak, jak se ti zatím líbí naše škola?",250,0,0,
180,0,0,,"Zasloužíš si taky,|Natálie?","Ó ano, zasloužím, slečno!|Tak, jak se ti zatím líbí naše škola?",250,0,1,
200,0,0,,"Moc! Zdá se, že|je to dobrá univerzita.","Ano a ne, některé hodiny jsou praktičtější.|A co bys v životě chtěla být?",210,0,0,Eat()
200,0,0,,"Tahle škola, to je|hotový blázinec.",Mně se zdá být rozumná dost.|A co bys v životě chtěla být?,210,0,0,EatBadMatch()
200,0,0,,Takhle úchylnou školu|jsem ještě neviděla!,(Nahlas se směje.) To se nedivím!|A co bys v životě chtěla být?,210,1,0,EatGoodMatch()
200,0,0,,"Těžko soudit,|z těch pár hodin.",Už tady nějakou dobu jsem a taky si ještě|nejsem jista. A co bys v životě chtěla být?,210,0,0,EatGoodMatch()
200,0,0,,Je to pěkně|nudná škola.,"No jo, některé předměty asi dokážou být nudné.|A co bys v životě chtěla být?",210,0,0,Eat()
210,0,0,,Muzikantka.,Boží! A co je tvůj oblíbený předmět?,220,0,0,EatGoodMatch()
210,0,0,,Doktorka.,To je pěkné. A co je tvůj oblíbený předmět?,220,0,0,Eat()
210,0,0,,Atletka.,Boží! A co je tvůj oblíbený předmět?,220,0,0,EatGoodMatch()
210,0,0,,Učitelka.,Ty jenom vymývají dětem mozky.|A co je tvůj oblíbený předmět?,220,-1,0,EatBadMatch()
210,0,0,,Herečka.,To je pěkné. A co je tvůj oblíbený předmět?,220,0,0,Eat()
210,0,0,,Domina.,(Usmívá se.) A co je tvůj oblíbený předmět?,220,1,0,Eat()
210,0,0,,Architektka.,To je pěkné. A co je tvůj oblíbený předmět?,220,0,0,Eat()
210,0,0,,Farmářka.,Jako moje sestřenice! Naučila mě spoustu uzlů.|A co je tvůj oblíbený předmět?,220,0,0,EatGoodMatch()
