Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,我先择饿得像头狼！,（她咯咯笑道，模仿你的语气）饿得像头狼~|你是要出去还是在这里吃饭？,10,1,0,
0,0,0,,我不知道，我可能不太想|吃这顿午饭了,哦，不！你还是得吃点东西|去学院食堂？或者你可以出去看看。,10,0,-1,
0,0,0,,对你“垂涎欲滴”呢~,（她咯咯地笑了）谁？我么~|说正经的，你是要出去还是在这里吃饭？,10,0,1,
0,0,0,,饿了吗?那得看有没有|不含转基因的食物才行,我不知道那是什么意思|你是要出去还是在这里吃饭？,10,-1,0,
10,0,0,,我也不知道我该去哪？,试试附近的咖啡馆吧|我经常和我最好的朋友去那里。,20,0,-1,
10,0,0,,你更推荐哪里？,试试附近的咖啡馆吧|我经常和我最好的朋友去那里。,20,0,0,
10,0,0,,@出去?好啊，只要离开|这里，去哪儿都行,那就去附近的咖啡馆试试吧。|我经常和我最好的朋友去那里。,20,-1,0,
20,5,0,,好啊亲爱的，|你愿意和我一起去吗？,亲爱的？（她咯咯地笑了）|好吧，我们现在就走吗？,30,1,0,
20,0,5,,听起来很棒啊！|跟我走吧，姑娘。,我本来打算……恩…没关系|小姐，我很乐意带你去咖啡馆。,30,0,1,
20,0,0,NoOption,你想和我一起去吗？,不行哦，我已经有午饭的计划了。,40,0,0,
20,0,0,NoOption,你能带我看看那个地方吗？,不行哦，我已经有午饭的计划了。,40,0,0,
20,0,0,,我去咖啡馆试试|回头见。,当然（她转过身去吃午饭）,50,0,0,EndLunch()
30,0,0,,我们走吧|（和Sarah一起吃饭）,（你们俩都走到附近的一家餐馆，发现一张空桌子）,100,0,0,StartLunch()
40,0,0,,好吧，回头见。,回头见（她向你挥了挥手，然后起身去吃午饭了）,50,0,0,EndLunch()
40,0,0,,那祝你用餐愉快！,你也是！（她向你挥了挥手，然后起身去吃午饭了）,50,1,0,EndLunch()
40,0,0,,你真是太差劲了,差劲？你才差劲呢！（她转身出去吃午饭）,50,-2,0,EndLunch()
100,0,0,,那么，你有什么建议吗？,这里的玉米片非常棒的！|对了，到目前为止你喜欢我们的学校吗？,110,0,0,
100,0,0,,我饿死了|这里有什么好吃的？,（她咯咯地笑了起来）我很喜欢这里的玉米片|对了，到目前为止你喜欢我们的学校吗？,110,0,1,
100,0,0,,我不知道该吃什么|你能帮我点菜吗？,我也不知道，一起看看菜单吧|对了，到目前为止你喜欢我们的学校吗？,110,0,-1,
