Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,COMMON_PLAYERNAME，你想干嘛？|我没有时间聊天。,SidneyIntro.jpg
0,5,0,,COMMON_PLAYERNAME！你能帮助我吗？,SidneyIntroHappy.jpg
0,0,5,,你好，COMMON_PLAYERNAME小姐|我能麻烦你帮忙吗？,SidneyIntroSubbie.jpg
0,0,0,HelpedEscape,嘿！你今天早上帮我逃跑了。你能再帮忙吗？,SidneyIntroHappy.jpg
0,0,0,HasEgg,我无法移除你那该死的振动器|我们稍后再解决这个问题，我有一个更大的问题。,SidneyIntro.jpg
10,0,0,,我找不到我的钱包了，我快要饿死了！,SidneyIntro.jpg
10,5,0,,我找不到我的钱包了，我快要饿死了！,SidneyIntroHappy.jpg
10,0,5,,我找不到我的钱包了，而且我很饿！,SidneyIntroSubbie.jpg
20,0,0,,你能给我一些现金吗|我他妈的钱包丢了。,SidneyIntro.jpg
20,5,0,,我他妈的饿死了，我的朋友|能借我点现金吗？,SidneyIntroHappy.jpg
20,0,5,,小姐，我不知道我的钱包在哪里|能借我点现金吗？,SidneyIntroSubbie.jpg
30,0,0,,我们现在就走么？我太饿了。,SidneyIntro.jpg
30,5,0,,我们现在就走么？我太饿了。,SidneyIntroHappy.jpg
30,0,5,,我们现在就走么？我太饿了。,SidneyIntroSubbie.jpg
90,0,0,,（Sidney走了）,SidneyGone.jpg
100,0,0,,你他妈的想要什么|我不想和你说话！,SidneyIntroGrumpy.jpg
110,0,0,,我他妈的钱包丢了，我快要饿死了！,SidneyIntroGrumpy.jpg
120,0,0,,,SidneyIntroGrumpy.jpg
130,0,0,,,SidneyPlayerBasement.jpg
140,0,0,,,SidneyPlayerBasement.jpg
150,0,0,,,SidneyPlayerPillory.jpg
160,0,0,,,PlayerPillory.jpg
170,0,0,,,SidneyPlayerPillory.jpg
180,0,0,,,SidneyPlayerBasement.jpg
200,0,0,,,SidneyPlayerLunch0.jpg
210,0,0,,,SidneyPlayerLunch0.jpg
220,0,0,,,SidneyPlayerLunch0.jpg
230,0,0,,,SidneyPlayerLunch0.jpg
240,0,0,,,SidneyPlayerLunch0.jpg
250,0,0,,,SidneyPlayerLunch0.jpg
260,0,0,,,SidneyPlayerLunch0.jpg
270,0,0,,,SidneyPlayerLunch0.jpg
280,0,0,,,SidneyPlayerLunch0.jpg
290,0,0,,,SidneyPlayerLunch0.jpg
300,0,0,,,SidneySmoke.jpg
310,0,0,,,PlayerSmoke.jpg
320,0,0,,,SidneySmoke.jpg
330,0,0,,,SidneyPlayerSmokeSit.jpg
340,0,0,,,SidneySit.jpg
350,0,0,,,SidneySit.jpg
400,0,0,,,SidneyPlayerSmokeSit.jpg
410,0,0,,,AmandaSurrounded.jpg
420,0,0,,,AmandaGrabed.jpg
430,0,0,,,AmandaStripped.jpg
440,0,0,,,AmandaBeated.jpg
450,0,0,,,AmandaBound.jpg
490,0,0,,,AmandaGone.jpg
500,0,0,,,SidneyPlayerSmokeSit.jpg
510,0,0,,,SarahSurrounded.jpg
520,0,0,,,SarahGrabed.jpg
530,0,0,,,SarahStripped.jpg
540,0,0,,,SarahBeated.jpg
550,0,0,,,SarahBound.jpg
590,0,0,,,SarahGone.jpg
