Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Co se děje?,"Nemůžu najít svoji zasranou peněženku|a mám hlad, jako prase!",10,0,0,
0,0,0,,Uklidni se!,"Uklidnit se? Nevidíš, že mám hlad,|a že nemůžu najít svoji peněženku?",10,-1,0,
0,0,0,,"Co máš|za problém, děvče?","Já se snad zblázním! Nemůžu najít|svoji peněženku a mám hlad, jako prase!",10,0,1,
0,0,0,,Možná bych ti|mohla zkusit pomoct.,Pomoz mi hledat! Ztratila jsem|svoji peněženku a mám zasranej hlad!,10,0,-1,
10,0,0,,Kde jsi tu peněženku|naposledy viděla?,"Já nevím! Když mám hlad, nedokážu přemýšlet!|Nemohla bys mi dát nějaký prachy?",20,0,0,
10,0,0,,Na téhle škole|jsou nějací zloději?,"Byli by blázni, kdyby chtěli okrást mě.|A teď, nemohla bys mi dát nějaký prachy?",20,0,0,
10,0,5,,"Přestaň se trápit, děvče!|Oběd ti zaplatím.","Slečno! Opravdu? No to je fakt skvělý.|Já můžu kdykoliv! Vyrazíme hned?",30,0,1,
10,5,0,,"Pojď se mnou, kámoško!|Já ti oběd zaplatím.","Fakt? To je kurva boží!|Já jsem připravená, půjdeme hned?",30,1,0,
10,0,0,,Jednou to|bez jídla přežiješ!,"Naser si, krávo!|(Odchází pryč.)",90,-1,0,EndLunch()
10,0,0,,S peněženkou tady|běžela nějaká bloncka.,(Rozběhne se do chodby jako býk.)| SÁÁÁÁÁÁÁÁÁROOOOOOOO!!!,90,1,0,EndLunch()
20,0,0,,Běž žebrat někam jinam!,"Naser si, krávo!|(Odchází pryč.)",90,-1,1,EndLunch()
20,0,0,,"Promiň, ale jsem švorc.","Kurva, kurva, kurva!|(Odchází pryč.)",90,0,0,EndLunch()
20,0,0,,Na vezmi si!|(Dej Sidney peníze.),"Díky, sráči!|(Popadne tvé peníze a uteče.)",90,1,-1,EndLunch()
20,0,5,,"Přestaň se trápit, děvče!|Oběd ti zaplatím.","Slečno! Opravdu? No to je fakt skvělý.|Já můžu kdykoliv! Vyrazíme hned?",30,0,1,
20,5,0,,"Pojď se mnou, kámoško!|Já ti oběd zaplatím.","Fakt? To je kurva boží!|Já jsem připravená, půjdeme hned?",30,1,0,
30,0,0,,"Pojď, vyrazíme!|(Najez se se Sidney.)","Docela rychle dojdete do nedaleké restaurace.|Sidney hned vybírá stůl, vypadá opravdu hladově.",200,0,0,StartLunch()
100,0,0,,Co se děje?,"Nemůžu najít svoji zasranou peněženku|a mám hlad, jako prase!",110,0,0,
100,0,0,,"Co máš|za problém, děvče?","Já se snad zblázním! Nemůžu najít|svoji peněženku a mám hlad, jako prase!",110,0,1,
100,0,0,,Můžu ti pomoct?,"Ne, nemůžeš! Ztratila jsem svoji|zasranou peněženku a mám hlad, jako prase!",110,0,-1,
110,0,0,,Možná bych ti ji|mohla pomoct najít.,"Ne, kurva! Já nechci nic hledat!|Já chci jíst! Naval mi nějaký prachy!",120,0,-1,NoLeave()
110,0,0,,Máš dost času ji najít.,Zmlkni! Já chci jíst teď!|Naval mi nějaký prachy!,120,0,0,NoLeave()
110,0,0,,"No, tak to budeš muset|oběd jednou vynechat!","Seru na tebe, žádný oběd vynechávat nebudu!|Naval mi nějaký prachy!",120,-1,0,NoLeave()
110,0,0,,To přežiješ ze svých|tukových zásob.,"Řekni to ještě jednou a zlámu ti všechny kosti v těle!|A teď naval nějaký prachy, než tě zabiju!",120,-2,1,NoLeave()
110,0,0,,S peněženkou tady|běžela nějaká bloncka.,(Rozběhne se do chodby jako býk.)| SÁÁÁÁÁÁÁÁÁROOOOOOOO!!!,90,1,0,EndLunch()
110,0,0,,Tak si nějaký prachy vem.|(Dej Sidney peníze.),"Díky, sráči!|(Popadne tvé peníze a uteče.)",90,1,-1,EndLunch()
120,0,0,,"Na, to je dárek!|(Dej Sidney peníze.)","Díky, sráči!|(Popadne tvé peníze a uteče.)",90,1,-1,EndLunch()
120,0,0,,Zítra mi to vrátíš!|(Dej Sidney peníze.),Tak jo. (Popadne tvé peníze a uteče.),90,1,0,EndLunch()
