Stage,LoveReq,SubReq,VarReq,IntroText,Image
100,0,0,PlayerIsDamsel,（白马骑士正在开始剧中的表演）,Background.jpg
100,0,0,!PlayerIsDamsel,（她在注视着白马骑士的表演）,Background.jpg
110,0,0,PlayerIsDamsel,（接下来是黑骑士的表演）,Background.jpg
110,0,0,!PlayerIsDamsel,（她正在观看黑骑士的表演）,Background.jpg
120,0,0,PlayerIsDamsel,（接着是白马骑士的表演）,Background.jpg
120,0,0,!PlayerIsDamsel,（她在注视着白马骑士的表演）,Background.jpg
130,0,0,PlayerIsDamsel,（接下来是黑骑士的表演）,Background.jpg
130,0,0,!PlayerIsDamsel,（她正在观看黑骑士的表演）,Background.jpg
140,0,0,PlayerIsDamsel,（作为被困的少女，这是你的台词）,Background.jpg
140,0,0,!PlayerIsDamsel,（她正要说出她的台词）,Background.jpg
150,0,0,PlayerIsDamsel,（作为被困的少女，这是你的台词）,Background.jpg
150,0,0,!PlayerIsDamsel,（她正要说出她的台词）,Background.jpg
160,0,0,PlayerIsDamsel,（作为被困的少女，这是你的台词）,Background.jpg
160,0,0,!PlayerIsDamsel,（她正要说出她的台词）,Background.jpg
200,0,0,PlayerIsDamsel,（接下来是黑骑士的表演）,Background.jpg
200,0,0,!PlayerIsDamsel,（她正在观看黑骑士的表演）,Background.jpg
210,0,0,PlayerIsDamsel,（接下来是黑骑士的表演）,Background.jpg
210,0,0,!PlayerIsDamsel,（她正在观看黑骑士的表演）,Background.jpg
220,0,0,PlayerIsDamsel,（接着是白马骑士的表演）,Background.jpg
220,0,0,!PlayerIsDamsel,（她在注视着白马骑士的表演）,Background.jpg
230,0,0,PlayerIsDamsel,（接下来是黑骑士的表演）,Background.jpg
230,0,0,!PlayerIsDamsel,（她正在观看黑骑士的表演）,Background.jpg
240,0,0,PlayerIsDamsel,（接着是白马骑士的表演）,Background.jpg
240,0,0,!PlayerIsDamsel,（她在注视着白马骑士的表演）,Background.jpg
250,0,0,PlayerIsDamsel,（作为被困的少女，这应该是你的台词，但你现在可能无法多说话）,Background.jpg
250,0,0,CanHugHeroine,（作为被困的少女，这是你的台词）,Background.jpg
250,0,0,!PlayerIsDamsel,（她已经准备好迎接最后的高潮环节了）,Background.jpg
251,0,0,,,Background.jpg
255,0,0,,（她已经准备好迎接最后的高潮环节了）,Background.jpg
260,0,0,,,Background.jpg
270,0,0,PlayerIsDamsel,（接下来是黑骑士的表演）,Background.jpg
270,0,0,!PlayerIsDamsel,（她正在观看黑骑士的表演）,Background.jpg
280,0,0,PlayerIsDamsel,（作为被困的少女，这应该是你的台词，但你现在可能无法多说话）,Background.jpg
280,0,0,CanHugVillain,（作为被困的少女，这是你的台词）,Background.jpg
280,0,0,!PlayerIsDamsel,（她已经准备好迎接最后的高潮环节了）,Background.jpg
285,0,0,,（她已经准备好迎接最后的高潮环节了）,Background.jpg
290,0,0,,,Background.jpg
300,0,0,!PlayerIsDamsel,这是一场非常有趣的表演|我真的特别喜欢扮演那位被困的少女角色,Background.jpg
300,0,0,IsGagged,（她在口套中轻声哼唱着一首欢快的歌曲）,Background.jpg
300,0,0,PlayerIsDamsel,（剧目已经结束）,Background.jpg
400,0,0,PlayerIsHeroine,我的英雄！你需要我做什么？,Background.jpg
400,0,0,PlayerIsVillain,哎呀，黑骑士大人。您有什么需要我效劳的吗？,Background.jpg
400,0,0,Common_PlayerGagged,爵士骑士，这个口套在你身上显得相当合适呢。,Background.jpg
400,0,0,IsGagged,唔...咕噜！,Background.jpg
410,0,0,PlayerIsHeroine,我的英雄！你需要我做什么？,Background.jpg
410,0,0,PlayerIsVillain,哎呀，黑骑士大人。您有什么需要我效劳的吗？,Background.jpg
410,0,0,Common_PlayerGagged,爵士骑士，这个口套在你身上显得相当合适呢。,Background.jpg
410,0,0,IsGagged,唔...咕噜！,Background.jpg
500,0,0,,看起来剧目还没有完全结束。你仍然可以和其他人进行互动。,Background.jpg
