Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
140,0,0,PlayerIsDamsel,住手！否则大地将染成血色。,两位骑士都看向那位少女。,150,0,0,"GlobalStage(150, 1, 0)"
140,0,0,PlayerIsDamsel,停下！不要让地面染成红色。,两位骑士都看向那位少女。,150,0,0,"GlobalStage(150, -1, 0)"
140,0,0,PlayerIsDamsel,对不起，Julia|我忘了我的台词。,Julia轻声对你说：“住手！否则大地将染成血色。”,140,0,0,ForgetLine()
140,0,0,!PlayerIsDamsel,（静静地听着）,Sarah像公主一样走了进来，说：“住手！否则大地将染成血色。”,150,0,0,"GlobalStage(150, 0, 0)"
140,0,0,!PlayerIsDamsel,（不耐烦地拍手）,Sarah冲上舞台说：“停下！不要让地面染成红色.”,150,0,0,"GlobalStage(150, 0, 1)"
140,0,0,!PlayerIsDamsel,（做些鬼脸来|分散她的注意力）,Sarah尽量不笑，说：|“住手！否则大地将染成血色。”,150,0,0,"GlobalStage(150, -1, 0)"
150,0,0,PlayerIsDamsel,请允许我说出我的心声。,两位骑士都好奇地看着你。,160,0,0,"GlobalStage(160, -1, 0)"
150,0,0,PlayerIsDamsel,我的心灵会作出|最真挚的选择,两位骑士都焦急地看着你。,160,0,0,"GlobalStage(160, 1, 0)"
150,0,0,PlayerIsDamsel,对不起，Julia|我忘了我的台词。,Julia叹了口气，低声说：|“我的心灵会作出最真挚的选择”,150,0,0,ForgetLine()
150,0,0,!PlayerIsDamsel,（静静地听着）,Sarah看着两位骑士说：|“我的心灵会作出最真挚的选择”,160,0,0,"GlobalStage(160, 0, 0)"
150,0,0,!PlayerIsDamsel,（不耐烦地拍手）,Sarah加快速度说：“请允许我说出我的心声”,160,0,0,"GlobalStage(160, 0, 1)"
150,0,0,!PlayerIsDamsel,（竖起大拇指让她高兴起来）,Sarah微笑着对你说：“我的心灵会作出最真挚的选择”,160,0,0,"GlobalStage(160, 1, 0)"
160,0,0,PlayerIsDamsel,我喜欢白骑士。,黑骑士愤怒地看了你一眼，然后走上舞台。,200,0,0,"GlobalStage(200, -1, 0)"
160,0,0,PlayerIsDamsel,我要向|白骑士表白,黑骑士愤怒地看了你一眼，然后走上舞台。,200,0,0,"GlobalStage(200, 1, 0)"
160,0,0,PlayerIsDamsel,我喜欢黑骑士。,黑骑士微笑着走上舞台。,210,0,0,"GlobalStage(210, -1, 0)"
160,0,0,PlayerIsDamsel,我向你的黑人冠军表白。,黑骑士微笑着走上舞台。,210,0,0,"GlobalStage(210, 1, 0)"
160,0,0,PlayerIsDamsel,对不起，Julia|我忘了我的台词。,Julia叹了口气，轻声对你说：|“我要向白骑士表白”,150,0,0,ForgetLine()
160,0,0,!PlayerIsDamsel,（静静地听着）,,160,0,0,SarahChooseKnight()
160,0,0,!PlayerIsDamsel,（不耐烦地拍手）,,160,0,0,SarahChooseKnight()
250,0,0,CanKissHeroine,（急于亲吻女主角） ADD_MINUTES:1,你冲进白骑士的怀抱，准备了一个美妙的吻。,260,0,0,FinalKiss()
250,0,0,CanKneelHeroine,（跪在女主角旁边） ADD_MINUTES:1,你恭敬地跪在Sarah旁边|抱住她的腿，完成最后一幕。,260,0,0,FinalDomme()
250,0,0,CanHugHeroine,（去拥抱女主角） ADD_MINUTES:1,你张开双臂，紧紧拥抱白骑士|共同完成最后一幕,260,0,0,FinalHug()
250,10,0,PlayerIsHeroine,（赶紧吻她） ADD_MINUTES:1,你冲向Sarah，在最后一幕和她分享一个可爱的吻。,260,0,0,FinalKiss()
250,0,10,PlayerIsHeroine,（指向地板） ADD_MINUTES:1,Sarah恭敬地跪在你旁边，抱住你的腿，完成最后一幕。,260,0,0,FinalDomme()
