Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,IsDamsel,你看起来像个小姑娘。|我希望你已经准备好了！,JuliaShow.jpg
0,0,0,IsHeroine,可怕的黑骑士来了。|我希望你已经准备好了！,JuliaShow.jpg
0,0,0,IsVillain,哦！英勇的白骑士。|我希望你已经准备好了！,JuliaShow.jpg
10,0,0,,,Julia.jpg
20,0,0,,,JuliaShow.jpg
100,0,0,IsHeroine,（她轻声对你说）|别看我。这是你像星星一样闪耀的时候了。,JuliaLookPlayer.jpg
100,0,0,!IsHeroine,（她看着白骑士）,JuliaLookAway.jpg
110,0,0,IsVillain,（她轻声对你说）|别看我。这是你像星星一样闪耀的时候了。,JuliaLookPlayer.jpg
110,0,0,!IsVillain,（她看着黑骑士）,JuliaLookAway.jpg
120,0,0,IsHeroine,（她轻声对你说）|别看我。这是你像星星一样闪耀的时候了。,JuliaLookPlayer.jpg
120,0,0,!IsHeroine,（她看着白骑士）,JuliaLookAway.jpg
130,0,0,IsVillain,（她轻声对你说）|别看我。这是你像星星一样闪耀的时候了。,JuliaLookPlayer.jpg
130,0,0,!IsVillain,（她看着黑骑士）,JuliaLookAway.jpg
140,0,0,IsDamsel,（她轻声对你说）|别看我。这是你像星星一样闪耀的时候了。,JuliaLookPlayer.jpg
140,0,0,!IsDamsel,（她看着那位少女）,JuliaLookAway.jpg
150,0,0,IsDamsel,（她轻声对你说）|别看我。这是你像星星一样闪耀的时候了。,JuliaLookPlayer.jpg
150,0,0,!IsDamsel,（她看着那位少女）,JuliaLookAway.jpg
160,0,0,IsDamsel,（她轻声对你说）|别看我。这是你像星星一样闪耀的时候了。,JuliaLookPlayer.jpg
160,0,0,!IsDamsel,（她看着那位少女）,JuliaLookAway.jpg
200,0,0,IsVillain,（她轻声对你说）|别看我。这是你像星星一样闪耀的时候了。,JuliaLookPlayer.jpg
200,0,0,!IsVillain,（她看着黑骑士）,JuliaLookAway.jpg
210,0,0,IsVillain,（她轻声对你说）|别看我。这是你像星星一样闪耀的时候了。,JuliaLookPlayer.jpg
210,0,0,!IsVillain,（她看着黑骑士）,JuliaLookAway.jpg
220,0,0,IsHeroine,（她轻声对你说）|别看我。这是你像星星一样闪耀的时候了。,JuliaLookPlayer.jpg
220,0,0,!IsHeroine,（她看着白骑士）,JuliaLookAway.jpg
230,0,0,IsVillain,（她轻声对你说）|别看我。这是你像星星一样闪耀的时候了。,JuliaLookPlayer.jpg
230,0,0,!IsVillain,（她看着黑骑士）,JuliaLookAway.jpg
240,0,0,IsHeroine,（她轻声对你说）|别看我。这是你像星星一样闪耀的时候了。,JuliaLookPlayer.jpg
240,0,0,!IsHeroine,（她看着白骑士）,JuliaLookAway.jpg
250,0,0,IsDamsel,（她轻声对你说）|别看我。这是你像星星一样闪耀的时候了。,JuliaLookPlayer.jpg
250,0,0,!IsDamsel,（她看着那位少女）,JuliaLookAway.jpg
270,0,0,IsVillain,（她轻声对你说）|别看我。这是你像星星一样闪耀的时候了。,JuliaLookPlayer.jpg
270,0,0,!IsVillain,（她看着黑骑士）,JuliaLookAway.jpg
280,0,0,IsDamsel,（她轻声对你说）|别看我。这是你像星星一样闪耀的时候了。,JuliaLookPlayer.jpg
280,0,0,!IsDamsel,（她看着那位少女）,JuliaLookAway.jpg
300,0,0,EndingKiss,好极了！好极了！太棒了！多么美妙的最后一吻！,Background.jpg
300,0,0,EndingHug,好极了！米勒，太棒了！最后的拥抱真是太好了。,Background.jpg
300,0,0,EndingDomme,好极了！主要的结局出乎意料|但戏剧可能会很混乱。,Background.jpg
300,0,0,EndingTwoPrisoners,好极了！两名囚犯的结局出乎意料|但戏剧可能会很混乱。,Background.jpg
300,0,0,EndingTrio,在多年的演出中，我从未见过它以|三人组的形式结束。好极了！,Background.jpg
310,0,0,,很高兴看到你们所有人表演|而且还有即兴发挥的空间。,Background.jpg
320,0,0,,现在加入游戏？但扮演什么角色？,Background.jpg
330,0,0,,,Background.jpg
340,0,0,,,Background.jpg
400,0,0,IsDamsel,我亲爱的女朋友。我们会怎么样？,Background.jpg
400,0,0,IsHeroine,哦，我的白人英雄！你对我有什么要求？,Background.jpg
400,0,0,IsVillain,伟大的黑骑士！你对我有什么要求？,Background.jpg
410,0,0,IsDamsel,我亲爱的女朋友。我们会怎么样？,Background.jpg
410,0,0,IsHeroine,哦，我的白人英雄！你对我有什么要求？,Background.jpg
410,0,0,IsVillain,伟大的黑骑士！你对我有什么要求？,Background.jpg
410,0,0,Common_PlayerGagged,我想你不会说太多。,Background.jpg
410,0,0,IsGagged,呜呜!!呜！|（她透过口塞大喊着）,Background.jpg
500,0,0,,作为这片土地的美丽女王。我希望得到尊重和奉献。,Background.jpg
500,0,0,Common_PlayerGagged,我想你不会说太多。,Background.jpg
