Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,抱歉，我还不知道剧本,点燃你的火焰COMMON_PLAYERNAME！这是你的剧本。|（她递给你一个剧本）,10,0,-1,
0,0,0,,我会竭尽全力的！,这就是COMMON_PLAYERNAME的精神！这是你的剧本。|（她递给你一个剧本）,10,0,1,
0,0,0,,我准备好了，Julia!,太棒啦COMMON_PLAYERNAME！这是你的剧本。|（她递给你一个剧本）,10,0,0,
0,0,0,,我感觉这出戏很烂。,多么糟糕的态度COMMON_PLAYERNAME。这是你的剧本。|（她递给你一个剧本）,10,-1,-1,
10,0,0,,（阅读剧本） ADD_MINUTES:1,一个伟大的角色，不是吗？现在上台吧。|白色骑士开始表演。,20,0,0,
10,0,0,,（仔细阅读剧本） ADD_MINUTES:1,哦！一个一丝不苟的学生！现在上台吧。|白色骑士开始表演。,20,1,0,
10,0,0,,（快速扫描脚本） ADD_MINUTES:1,你看起来很自信。现在上台吧。|白色骑士开始表演。,20,0,1,
10,0,0,!ScriptRefused,我不想读那个。,如果不知道剧本，你要怎么表演？|COMMON_PLAYERNAME！认真点。,10,0,0,RefuseScript()
20,0,0,,（走上舞台）,,100,0,0,StartDrama()
20,0,0,,我们能即兴发挥吗？,你可以即兴发挥，但不要和剧本差太多。,20,0,0,
100,0,0,,（专注于戏剧）,,100,0,0,StartDrama()
100,0,0,,我们能即兴发挥吗？,你可以即兴发挥，但不要和剧本差太多。,100,0,0,
300,0,0,Common_PlayerGagged,（做恳求的眼神） ADD_MINUTES:1,你用恳求的眼神看着Julia。|她微笑着把你从束缚中解放出来。,300,0,0,ReleasePlayer()
300,0,0,,这是一场有趣的戏剧。,没错！而且还有即兴发挥的空间。,310,0,0,
300,0,0,,那出戏很棒，Julia。,非常感谢COMMON_PLAYERNAME！|而且还有即兴发挥的空间。,310,1,0,
300,0,0,,那出戏太乱了。,混沌即艺术，艺术即混沌。|我想让你即兴发挥。,310,-1,0,
300,0,0,,下次我想要一个|更好的角色。,我相信我们会为你找到一个完美的角色。|而且总是有即兴发挥的空间。,310,0,1,
300,0,0,,我认为戏剧不适合我。,你做得很好。不要害怕舞台。|而且总是有即兴发挥的空间。,310,0,-1,
310,0,0,,如果我们能即兴发挥|你应该加入。,演出结束后加入吗？|但我将扮演什么角色？,320,0,0,
310,0,0,,真的可以即兴发挥|你应该加入。,一起加入你们？|但我将扮演什么角色？,320,1,0,
320,0,0,IsDamsel,做个像我一样的少女|依附于骑士。,没错！我要做个被骑士|保护的甜美少女。,330,0,0,JuliaEntersPlay()
320,0,0,!IsDamsel,做第二个少女|依附于骑士。,没错！我要做个被骑士|保护的甜美少女。,330,0,1,JuliaEntersPlay()
320,0,0,,做个统治骑士的女王。,没错！我要做个统治一切的美丽女王。,340,0,-1,JuliaEntersPlay()
400,0,5,IsDamsel,一个美丽的女孩|必须露的更多。,当然！|（她脱了一点衣服）,410,0,0,Strip()
400,5,0,IsDamsel,你应该向我们|展示你的少女魅力。,当然！|（她脱了一点衣服）,410,0,0,Strip()
400,0,0,IsDamsel,少女，你更喜欢|哪位骑士？,勇敢的提问。两个骑士都很奇妙，但白骑士更英勇。,400,0,0,
400,0,0,!IsDamsel,少女，你应该向|我们展示你的魅力。,没问题！我的骑士！|（她脱了一点衣服）,410,0,0,Strip()
400,0,0,!IsDamsel,少女，服从我|露出你更多的皮肤。,没问题！我的骑士！|（她脱了一点衣服）,410,0,1,Strip()
410,0,0,!IsGagged,今晚你很漂亮|美丽的少女。,谢谢你，我很感激。,410,0,0,
410,0,0,!IsGagged,少女，你今晚很出众,（她脸红了）|你的赞赏令我受宠若惊,410,0,0,QuaintComment()
410,0,0,CanUntie,（解开她） ADD_MINUTES:1,（你解开绳结，把她从绳子上放下来，|让她快乐地伸展身体）,410,0,0,Untie()
410,0,0,CanUngag,（解开她嘴上的束缚） ADD_MINUTES:1,（你移开口塞，她笑了）|这位姑娘饶了我吧！,410,0,0,Ungag()
410,0,0,CanKiss,（吻她） ADD_MINUTES:1,（你靠近她，给她一个长长的吻）|COMMON_PLAYERNAME！这是不恰当的。,410,0,0,Kiss()
410,0,0,CanAbuse,（挠她一下） ADD_MINUTES:1,（当你挠她的痒痒时，|她笑着在她的束缚中挣扎，她很享受）,410,0,0,Tickle()
410,0,0,CanAbuse,（打她） ADD_MINUTES:1,（你狠狠地打了她屁股。|她似乎觉得这不合适）,410,0,0,Spank()
410,0,0,CanAbuse,（自慰她） ADD_MINUTES:1,（她挣扎着，但无法避免你的触碰。|她似乎觉得这很不合适）,410,0,0,Masturbate()
410,0,0,CanSearch,（看看壁橱周围） ADD_MINUTES:1,你搜了一下壁橱，|但没有发现任何有趣的东西。,410,0,0,Search()
500,0,0,,今晚你很漂亮，我的女王。,谢谢你，我很感激。,500,0,0,
500,0,0,,女王，你今晚很出众。,（她脸红了）你的赞赏令我受宠若惊,500,0,0,QuaintComment()
500,0,0,,我的女王！|你减肥了吗？,这太不像话了！你怎么敢这样说我？|（她把你压住，然后束缚起来）,500,0,0,WeightComment()
500,0,0,RebellionAvail,女王！一场叛乱|正在酝酿。,我不会让这发生的！警卫！|（她传唤并束缚了所有人）,500,0,0,Rebellion()
500,0,0,Common_PlayerRestrained,（做恳求的眼神） ADD_MINUTES:1,想要得到帮助？|不过女王更希望看到你受到约束。,500,0,0,BegRelease()
