Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,IsDamsel,什么样的服装？,我应该扮演一个遇险的少女|我需要找一件白色的婚纱。,0,0,0,
0,0,0,!IsDamsel,什么样的服装？,我应该扮演英雄骑士|我需要一套白色的中世纪盔甲。,0,0,0,
0,0,0,,戏剧课很愚蠢。,好吧，我还是自己寻找吧|（她找到了一套服装）你介意我在这里脱衣服吗？,10,-1,0,
0,0,0,!Common_PlayerRestrained,（寻找她的服装） ADD_MINUTES:1,（你找到她的服装，她高兴得跳了起来）|太棒了！你不介意我在这里脱衣吧？,10,0,-1,
0,0,0,IsDamsel,（指向服装架） ADD_MINUTES:1,我找到了！（她拿出了一件婚纱）|你不介意我在这里脱衣服吧？,10,0,0,
0,0,0,!IsDamsel,（指向服装架） ADD_MINUTES:1,我找到了！（她挑了一件白色盔甲）|你不介意我在这里脱衣服吧？,10,0,0,
10,0,0,IsDamsel,你可以在这里脱衣|我来帮你穿礼服。,你真是太好了。（她脱下衣服）|那我该先穿什么？裙子？,20,1,0,Strip()
10,0,0,!IsDamsel,你可以在这里脱衣|我来帮你拿盔甲。,你真是太好了。（她脱下衣服）|那我该先穿什么？锁子甲？,20,1,0,Strip()
10,0,0,IsDamsel,（点头）,（她高兴地脱到内衣）|那我该先穿什么？裙子？,20,0,0,Strip()
10,0,0,!IsDamsel,（点头）,（她高兴地脱到内衣）|那我该先穿什么？锁子甲？,20,0,0,Strip()
20,0,0,PlayerIsRoped,（转身指向你的绳索）,不！我更喜欢你被绑起来的时候|再挣扎一下，你可能会出去。,20,0,0,TestUntiePlayer()
20,0,0,PlayerInArmbinder,（转动并摇晃你的单手套）,不！我更喜欢你克制的时候|再挣扎一段时间，总会摆脱困境的。,20,0,0,TestUnstrapPlayer()
20,0,0,PlayerIsCuffed,（转身指向你的袖口）,不，我没有带钥匙。,20,0,0,TestUncuffPlayer()
20,0,0,IsBothFree,你知道你很漂亮吗？,啊，你真好。感谢COMMON_PLAYERNAME。,20,0,0,
20,0,0,IsBothFree,你绑起来会很好看。,（她咯咯地笑着点了点头）你想约束我吗？,20,0,0,TiedUpComment()
20,0,0,ReadyHug,演出前拥抱几次？,当然！我喜欢拥抱。什么样的拥抱？,300,0,0,StartHugs()
20,0,0,IsBothFree,（帮她穿衣服） ADD_MINUTES:1,（你帮她穿上她的戏服）太棒了！|我们准备好看戏了吗？,30,0,0,Costume()
20,0,0,IsBothFree,Sarah，你想约束我吗？,哦，不，我不能那样做，小姐|（她脸红了，低下头）,20,0,0,RandomBondage()
