Stage,LoveReq,SubReq,VarReq,IntroText,Image
100,0,0,PlayerIsVillain,（白骑士开始表演）,Background.jpg
100,0,0,!PlayerIsVillain,（她在看白骑士）,Background.jpg
110,0,0,PlayerIsVillain,（作为黑骑士，这是你的路线）,Background.jpg
110,0,0,!PlayerIsVillain,（她正要说出自己的台词）,Background.jpg
120,0,0,PlayerIsVillain,（接下来是白骑士）,Background.jpg
120,0,0,!PlayerIsVillain,（她在看白骑士）,Background.jpg
130,0,0,PlayerIsVillain,（作为黑骑士，这是你的下一行）,Background.jpg
130,0,0,!PlayerIsVillain,（她正要说出自己的台词）,Background.jpg
140,0,0,PlayerIsVillain,（下一个是少女）,Background.jpg
140,0,0,!PlayerIsVillain,（她在看那位少女）,Background.jpg
150,0,0,PlayerIsVillain,（下一个是少女）,Background.jpg
150,0,0,!PlayerIsVillain,（她在看那位少女）,Background.jpg
160,0,0,PlayerIsVillain,（下一个是少女）,Background.jpg
160,0,0,!PlayerIsVillain,（她在看那位少女）,Background.jpg
200,0,0,PlayerIsVillain,（作为黑骑士，这是你的下一行）,Background.jpg
200,0,0,!PlayerIsVillain,（她正要说出自己的台词）,Background.jpg
210,0,0,PlayerIsVillain,（作为黑骑士，这是你的下一行）,Background.jpg
210,0,0,!PlayerIsVillain,（她正要说出自己的台词）,Background.jpg
220,0,0,PlayerIsVillain,（接下来是白骑士）,Background.jpg
220,0,0,!PlayerIsVillain,（她在看白骑士）,Background.jpg
230,0,0,PlayerIsVillain,（作为黑骑士，这是你的下一行）,Background.jpg
230,0,0,!PlayerIsVillain,（她正要说出自己的台词）,Background.jpg
235,0,0,,,Background.jpg
240,0,0,PlayerIsVillain,（接下来是白骑士）,Background.jpg
240,0,0,!PlayerIsVillain,（她在看白骑士）,Background.jpg
250,0,0,PlayerIsVillain,（下一个是少女）,Background.jpg
250,0,0,!PlayerIsVillain,（她在看那位少女）,Background.jpg
251,0,0,,,Background.jpg
270,0,0,PlayerIsVillain,（作为黑骑士，这是你的下一行）,Background.jpg
270,0,0,!PlayerIsVillain,（她正要说出自己的台词）,Background.jpg
280,0,0,PlayerIsVillain,（下一个是少女）,Background.jpg
280,0,0,!PlayerIsVillain,（她在看那位少女）,Background.jpg
290,0,0,,,Background.jpg
300,0,0,!PlayerIsVillain,这是一部伟大的戏剧。我从没想过我会成为恶棍。,Background.jpg
300,0,0,IsGagged,（她努力想把塞子拿掉，但很快就放弃了）,Background.jpg
300,0,0,PlayerIsVillain,（戏结束了）,Background.jpg
400,0,0,PlayerIsHeroine,你想要什么白骑士？,Background.jpg
400,0,0,PlayerIsDamsel,甜美美丽的少女。我能为您效劳吗？,Background.jpg
400,0,0,Common_PlayerGagged,（她看着你的恶作剧，咯咯地笑了起来）,Background.jpg
400,0,0,IsGagged,（她保持沉默，盯着你看）,Background.jpg
500,0,0,,（这出戏似乎还没有完全结束。你仍然可以和其他人互动）,Background.jpg
