Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,你宿舍的床不大，但很舒服,Bed.jpg
10,0,0,,,Bed.jpg
100,0,0,,,BedOverview.jpg
110,0,0,,,BedOverview.jpg
120,0,0,,,BedOverviewOrgasm.jpg
200,0,0,,（你和Sidney一起上床）,Bed.jpg
210,0,0,,,Bed.jpg
220,0,0,,,Bed.jpg
230,0,0,,,Bed.jpg
300,0,0,,（你和Amanda一起上床。|你把自己放在她的阴部上）,Bed.jpg
310,0,0,,,Bed.jpg
320,0,0,,,Bed.jpg
330,0,0,,,Bed.jpg
400,0,0,,（你们两个赤身裸体的在床上|双腿叉开抵在一起）,Bed.jpg
410,0,0,,,Bed.jpg
420,0,0,,,Bed.jpg
430,0,0,,,Bed.jpg
500,0,0,,（你背靠背裸体上床，然后插入双头假阳具）,Bed.jpg
510,0,0,,,Bed.jpg
520,0,0,,,Bed.jpg
530,0,0,,,Bed.jpg
800,0,0,,（情侣们正在你的床上拥抱）|谢谢你让我们用你的床,Bed.jpg
810,0,0,,（情侣们正在你的床上拥抱）|你能解开贞操带一会儿吗？,Bed.jpg
900,0,0,,,Dorm.jpg
