Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,EmptyLibrary,这个时候学院图书馆很空|这可能是一个安静的地方做作业,Library.jpg
0,0,0,!EmptyLibrary,图书馆里有几个学生|你想见谁？,Library.jpg
100,0,0,,嗨，姑娘。（她看着你傻笑）|我想你需要帮忙做作业,Chair.jpg
100,10,0,,很高兴见到你COMMON_PLAYERNAME|我想你需要帮助做作业,Chair.jpg
100,-10,0,,哦，是你。（她似乎很失望）|我想你需要帮忙做作业,Chair.jpg
110,0,0,,你好，COMMON_PLAYERNAME小姐|你为什么来图书馆？,Chair.jpg
120,0,0,,我在学习。现在不是谈话的好时机,Chair.jpg
130,0,0,,很高兴再次见到你|你是来做作业的？,Chair.jpg
140,0,0,,哦，我的上帝！COMMON_PLAYERNAME|你现在能解开贞操带吗？,Chair.jpg
150,0,0,,这太尴尬了。我无法取出你的跳蛋。你能帮助我吗？,Chair.jpg
160,0,0,,（她咯咯地笑了）你今天下午在更衣室玩得开心吗？,Chair.jpg
170,0,0,,真不敢相信你今天下午把我锁在那个储物柜里了,Chair.jpg
180,0,0,,当我想起Mildred小姐今天早上发生的事时，我仍然会笑,Chair.jpg
190,0,0,,你好。你在我们学校的第一天过得愉快吗？,Chair.jpg
191,0,0,,,Chair.jpg
200,0,0,,你好。你愿意和我一起学习吗？,Chair.jpg
200,0,10,,你好，小姐。你愿意和我一起在这里学习吗？,Chair.jpg
205,0,0,,,Chair.jpg
210,0,0,,,Chair.jpg
220,0,0,,,Chair.jpg
230,0,0,,,Chair.jpg
300,0,0,,,Desk.jpg
310,0,0,,,Desk.jpg
311,0,0,,,Desk.jpg
312,0,0,,,Desk.jpg
313,0,0,,,Desk.jpg
314,0,0,,,Desk.jpg
315,0,0,,,Desk.jpg
316,0,0,,,Desk.jpg
