Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,你到达了学院游泳池|现在没有人游泳,PoolEmpty.jpg
0,0,0,JenniferAvail,你到达了学院游泳池|Jennifer独自游泳,PoolEmpty.jpg
10,0,0,,,PoolSwimAlone.jpg
20,0,0,,,PoolSwimMoves.jpg
100,0,0,,,Showers.jpg
100,0,0,,,Showers.jpg
101,0,0,,,Showering.jpg
101,0,0,,,Showering.jpg
110,0,0,,,Showers.jpg
120,0,0,,,Showers.jpg
130,0,0,,,Showers.jpg
140,0,0,,,Showers.jpg
150,0,0,,,Showers.jpg
160,0,0,,（恶霸盯着你笑了）|滚开，女孩！你不是我的对手,Showers.jpg
170,0,0,,（恶霸羞愧地低下了头）|你赢了，你可以得到那个婊子,Showers.jpg
180,0,0,,,Showers.jpg
200,0,0,,（你开始游泳，和Jennifer聊天）|你在应对那个霸凌者时帮不了我太多,PoolSwimWithJennifer.jpg
201,0,0,,,PoolSwimWithJennifer.jpg
210,0,0,,（你开始游泳，和Jennifer聊天）|谢谢你试图帮我对付欺负我的人,PoolSwimWithJennifer.jpg
211,0,0,,,PoolSwimWithJennifer.jpg
220,0,0,,（你开始游泳，和Jennifer聊天）|感谢你尝试帮我对付那个霸凌者,PoolSwimWithJennifer.jpg
221,0,0,,,PoolSwimWithJennifer.jpg
222,0,0,,,PoolSwimWithJennifer.jpg
230,0,0,,（你靠近Jennifer，开始和她一起游泳）,PoolSwimWithJennifer.jpg
231,0,0,,,PoolSwimWithJennifer.jpg
232,0,0,,,PoolSwimWithJennifer.jpg
235,0,0,,,PoolSwimWithJennifer.jpg
236,0,0,,,PoolSwimWithJennifer.jpg
240,0,0,,,PoolSwimWithJennifer.jpg
