Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,SidneyAvail,认识一下Sidney,,0,0,0,SidneyStart()
0,0,0,,请稍等片刻,你等一会儿，看看酒吧里的人群,0,0,0,Wait()
0,0,0,,搜索这个地方,你在酒吧里四处寻找，但没有找到任何有趣的东西,0,0,0,Search()
0,0,0,,离开酒吧,,0,0,0,Leave()
100,0,0,Common_PlayerChaste,我也有同样的问题|我会找到出路的,好的！但要尽快找到解决方案|这条贞操带快把我逼疯了,101,1,0,
100,0,8,,冷静点，女孩|等我高兴了，会取下来的,（她低下头）好吧，小姐|但要知道，这让我快发疯了,101,0,1,"SetPose(""Shy"")"
100,8,0,,这只是为了逗下|你这个小可爱,（她脸红了）取笑我干什么|你知道这快把我逼疯了吗？,101,1,0,"SetPose("""")"
100,0,0,,我不知道如何解锁它,别搞你不懂的事|你知道这快把我逼疯了吗？,101,0,-1,
100,0,0,,你最好学会忍受它,那就去你妈的！我会找到出路的|你知道这快把我逼疯了吗？,101,-1,0,
100,0,0,,我在宿舍里有一些工具,太棒了也许它能奏效。|这条贞操带快把我逼疯了,101,1,0,
100,0,0,,你总会有办法|弄开它的,我想我会的|这条贞操带快把我逼疯了,101,0,0,
101,0,0,,这将有助于你自我控制,我不需要自我控制|（她猛击桌子）,102,0,1,
101,0,8,,这是你训练的一部分,训练？搞什么鬼|（她猛击桌子）,102,0,1,
101,0,0,,才戴这么一会|你就已经疯了,不要乱开玩笑！COMMON_PLAYERNAME|（她猛击桌子）,102,-1,0,
101,0,0,,是的，这一定很令人沮丧,他妈的，这太令人沮丧了|（她猛击桌子）,102,0,0,
102,0,0,,别生气,你不想……（她停顿了一下）哦，他妈的|（她环顾四周，躲到柜台后面）,200,0,0,"SetPose(""Duck"")"
102,0,0,,别伤害我！,你真是可悲的女孩。（她停顿了一下）哦，他妈的|（她环顾四周，躲到柜台后面）,200,0,-1,"SetPose(""Duck"")"
102,0,0,,你想打架吗？,那我们打吧！（她停顿了一下）哦，他妈的|（她环顾四周，躲到柜台后面）,200,0,1,"SetPose(""Duck"")"
102,0,0,,不错！那真是一记重拳,该死的女孩！（她停顿了一下）哦，他妈的|（她环顾四周，躲到柜台后面）,200,1,-1,"SetPose(""Duck"")"
110,0,8,,冷静点，女孩|等我高兴了，跳蛋就出来了,（她低下头）好吧，小姐|但要知道，这让我快发疯了,111,0,1,"SetPose(""Shy"")"
110,8,0,,这只是为了逗下|你这个小可爱,（她脸红了）取笑我干什么|你知道这快把我逼疯了吗？,111,1,0,"SetPose("""")"
110,0,0,,我不知道如何弄开它,别搞你不懂的事|你知道这快把我逼疯了吗？,111,0,-1,
110,0,0,,你最好学会忍受它,那就去你妈的！我会以某种方式弄开它|你知道这快把我逼疯了吗？,111,-1,0,
110,0,0,,你总会有办法|弄开它的,我想我会的|这个跳蛋快把我逼疯了,111,0,0,
111,0,0,,我打赌你现在|一定很性欲旺盛,妈的！我要把它拿出来|（她猛击桌子）,112,0,0,
111,0,8,,这是你训练的一部分,训练？搞什么鬼|（她猛击桌子）,112,0,1,
111,0,0,,才戴这么一会|你就已经疯了,不要乱开玩笑！COMMON_PLAYERNAME|（她猛击桌子）,112,-1,0,
112,0,0,,别生气,你不想……（她停顿了一下）哦，他妈的|（她环顾四周，躲到柜台后面）,200,0,0,"SetPose(""Duck"")"
112,0,0,,别伤害我！,你真是可悲的女孩。（她停顿了一下）哦，他妈的|（她环顾四周，躲到柜台后面）,200,0,-1,"SetPose(""Duck"")"
112,0,0,,你想打架吗？,那我们打吧！（她停顿了一下）哦，他妈的|（她环顾四周，躲到柜台后面）,200,0,1,"SetPose(""Duck"")"
112,0,0,,不错！那真是一记重拳,该死的女孩！（她停顿了一下）哦，他妈的|（她环顾四周，躲到柜台后面）,200,1,-1,"SetPose(""Duck"")"
