Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,EmptyDorm,你到达Amanda、Sarah、Sidney和Jennifer的宿舍|门是锁着的,Door.jpg
100,0,0,,（Amanda打开门让你进去）|时间不早了。你需要什么吗？,
100,10,0,,（Amanda打开门让你进去）|很高兴见到你。你需要什么吗？,
100,-10,0,,（Amanda打开门让你进去）|你不应该去睡觉吗？你需要什么吗？,
100,0,-10,,（Amanda打开门让你进去）|你迷路了吗？你需要什么吗？,
100,0,10,,（Amanda打开门迎接你）|欢迎来到我家，小姐。你需要什么吗？,
100,0,0,Common_ActorIsLover,（Amanda打开门吻了你）|欢迎我的爱。你需要什么吗？,
100,0,0,Common_ActorIsOwner,（Amanda打开门让你进去）|你好，我的顺从。你需要什么吗？,
100,0,0,Common_ActorIsOwned,（Amanda打开门迎接你）|欢迎来到我家，主人。你需要什么吗？,
200,0,0,,（Sarah打开门让你进去）|嘿！COMMON_PLAYERNAME上发生了什么？,
200,10,0,,（Sarah打开门笑了）|嘿！我的朋友怎么了？,
200,-10,0,,（Sarah打开门皱着眉头）|你为什么在这里？发生什么事？,
200,0,-10,,（Sarah打开门傻笑）|嘿，姑娘。发生什么事？,
200,0,10,,（Sarah打开门迎接你）|你好，小姐。今天发生什么事了？,
200,0,0,Common_ActorIsLover,（Sarah打开门笑了）|嘿，性感！发生什么事？,
200,0,0,Common_ActorIsOwned,（Sarah打开门向你问候）|问候，主人。发生什么事？,
200,0,0,IsolationVisit,（Sarah打开门微笑着）|我的孤独伙伴！发生什么事？,
300,0,0,,（Jennifer打开门让你进去）|你好，COMMON_PLAYERNAME,
300,10,0,,（Jennifer打开门微笑着）|你好，很高兴见到你,
300,-10,0,,（Jennifer打开门皱着眉头）|是你！你在这里干什么？,
300,0,-10,,（Jennifer打开门傻笑）|嗨，女孩。你需要帮忙吗？,
300,0,0,JenniferBelt,（Jennifer打开门让你进去）|我希望你带着贞操带钥匙来了,
300,0,10,,（Jennifer打开门迎接你）|问候。很高兴见到你,
300,0,0,WearingTennisOutfit,（Jennifer打开门迎接你）|很高兴再次看到你穿着网球服,
310,0,0,,（Jennifer来迎接你）|你好，COMMON_PLAYERNAME,
310,10,0,,（Jennifer来迎接你）|你好，很高兴见到你,
310,-10,0,,（Jennifer来迎接你）|你在这里干什么？,
310,0,-10,,（Jennifer来迎接你）|嗨，女孩。你需要帮助吗？,
310,0,0,JenniferBelt,（Jennifer来迎接你）|我希望你带着贞操带钥匙来了,
310,0,10,,（Jennifer来迎接你）|问候。很高兴见到你,
310,0,0,WearingTennisOutfit,（Jennifer来迎接你）|很高兴再次看到你穿着网球服,
