Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,敲门,你敲门，但没人接,0,0,0,Knock()
0,0,0,,回到你的宿舍,,0,0,0,Leave()
100,0,0,,你还好么？,我挺好的，在家休息|那你呢？发生什么事？,110,0,0,
100,0,0,,发生什么事？,不多，我在家放松|你呢？今晚怎么了？,110,0,0,
100,0,0,,可爱的睡衣,（她检查了一下睡衣，点了点头）|那么今晚发生了什么事？,110,0,0,
100,0,0,,Sarah在这里吗？,不，我想她去了市中心的一家俱乐部,100,0,0,
100,0,0,,Sidney在这里吗？,不，我想她在听音乐会,100,0,0,
100,0,0,,Jennifer在吗？,不，她可能在外面跑步，或者在学院游泳池游泳,100,0,0,
100,0,0,,对不起，走错门了|（离开这个地方）,,100,0,0,Leave()
110,0,0,,（和Amanda闲聊）,（你们闲聊着学校的事，增进了彼此的了解）,110,0,0,ChitChat()
110,0,0,,可以来我家里|开个睡衣派对,现在开派对已经太晚了|我们应该改天再做,110,0,0,TestInviteAmanda()
110,0,0,,你想去我家放松一下吗？,不，谢谢，我还是想留在这里,110,0,0,TestInviteAmanda()
110,0,0,,我宿舍很安静|我们可以慢慢聊,当然，如果你愿意，我们可以谈谈学校的事,110,0,0,
110,0,0,,你想出去吗？,现在出去太晚了|我们呆在宿舍里吧,110,0,0,
110,0,0,,对不起，我得走了|（离开这个地方）,,110,0,0,Leave()
120,0,0,,穿上你的睡衣来|（和Amanda一起走回去）,,120,0,0,LeaveWithAmanda()
200,0,0,,你还好么？,我挺好的，你呢|你在学校惹麻烦了吗？,220,0,0,TestIsolationSarah()
200,0,0,,发生什么事？,不多，现在很安静|那又怎样？你在学校惹麻烦了吗？,220,0,0,TestIsolationSarah()
200,0,0,,Amanda在吗？,不，她可能在图书馆,200,0,0,
200,0,0,,Sidney在这里吗？,不，也许动物园来接她了,200,0,0,
200,0,0,,Jennifer在吗？,JENNNNNNNNNIFER!（她等着）|不，她不在这里，或者她聋了,200,0,0,CheckJenniferAvail()
200,0,0,,对不起，走错门了|（离开这个地方）,,200,0,0,Leave()
201,0,0,,很好，Sarah|（回到你的宿舍）,,201,0,0,Leave()
201,0,0,,今晚玩得开心|（回到你的宿舍）,,201,1,0,Leave()
201,0,0,,好的！你真差劲|（回到你的宿舍）,,201,-1,0,Leave()
202,0,0,,谢谢Sarah|（等待Jennifer）,,300,0,0,LoadJennifer()
210,0,0,,（和Sarah闲聊）,（你们闲聊音乐和聚会，更好地了解彼此）,210,0,0,ChitChat()
210,0,0,,我们可以在我家|举办一个聚会,这个主意很酷，但我今晚已经有计划了,210,0,0,TestInviteSarah()
210,0,0,,你想去参观我的住处吗？,不，谢谢，我有一个重要的夜晚要计划,210,0,0,TestInviteSarah()
210,0,0,,你今晚有什么计划？,我要去市中心的一家俱乐部|也许有一天我会带你来,210,0,0,
210,0,0,IsolationAvail,你还想参观地下室吗？,这可能会非常激动人心|你想现在就走吗？,212,0,0,
210,0,0,,在我的宿舍里很无聊|我能和你一起冷静一下吗？,当然，但我得到20点才行,210,0,0,
210,0,0,,你想出去吗？,也许明天会有共同的名字|我今晚已经要出去了,210,0,0,
210,0,0,,对不起，我得走了|（离开这个地方）,,210,0,0,Leave()
211,0,0,,过来一会儿|（和Sarah一起走回去）,,211,0,0,LeaveWithSarah()
212,0,0,,对！我们走吧|（参观地下室）,,212,1,0,EnterIsolation()
212,0,0,,不，这是个坏主意,好的。我们可以留在这里聊天,210,0,0,TestRefuseIsolation()
220,0,0,,我不会惹麻烦的|别人惹我了,哇哦！你把人拖到地下室了吗？,221,0,1,
220,0,0,,是的|我今天惹了太多麻烦,太棒了，你去地下室了吗？,221,1,0,
220,0,0,,不，今天没问题,（她点点头）所以你没去地下室？,221,-1,0,
220,0,0,,我是个好学生|我不惹麻烦,（她咯咯地笑了）所以你没去地下室？,221,0,-1,
221,0,0,,什么地下室？,学校的地下室有一间隔离室|充满了对坏学生的束缚和折磨装置,222,0,0,
221,0,0,,是的，我去过那里,你看到隔离室了吗|有刑具的地方？,222,0,0,
221,0,0,,不，我没有去地下室,那你错过了学校最好的地方|那里摆满了刑具,222,0,0,
222,0,0,,这很有趣,是的！我在那里被惩罚了很多次,223,0,0,
222,0,0,,哦？刑具|现在我感兴趣了,（她咽了口唾沫，点了点头）这是一个令人兴奋的地方|我在那里被惩罚了很多次,223,0,1,
222,0,0,,在学校|这合法吗？,（她耸耸肩）我不知道，但这很刺激|我在那里被惩罚了很多次,223,0,-1,
223,0,0,,我也很想被惩罚,（她咯咯地笑了）这可能很快就会发生|你现在想看看这个地方吗？,224,1,-1,
223,0,0,,总有一天我会去|参观那个地下室的,你现在想看看这个地方吗？,224,0,0,
223,0,0,,像你这样的坏学生|应该受到惩罚,也许你可以惩罚我|你现在想看看这个地方吗？,224,-1,1,
223,0,0,,要怎样才能去那里？,如果你愿意，我可以带你进去|你现在想看看这个地方吗？,224,0,0,
224,0,0,,对！我们走吧|（参观地下室）,,224,1,0,EnterIsolation()
224,0,0,,不，这是个坏主意,（她看起来很失望）好吧|如果你愿意，我们可以留在这里聊天,210,-1,0,TestRefuseIsolation()
225,0,0,,好的，小姐。|（参观地下室）,,225,1,-1,EnterIsolation()
300,0,0,,你还好么？,我很好，谢谢|你为什么在这里？,310,0,0,
300,0,0,,发生什么事？,现在不多|你为什么在这里？,310,0,0,
300,0,0,,我能和Amanda谈谈吗？,对不起，她现在不在|也许她还在学校学习,300,0,0,
300,0,0,,我能和Sidney谈谈吗？,对不起，她现在不在|也许她去了校园酒吧,300,0,0,
300,0,0,,我能和Sarah谈谈吗？,对不起，她现在不在|她可能正在参加狂欢派对或聚会,300,0,0,
300,0,0,,对不起，走错门了|（离开这个地方）,,300,0,0,Leave()
310,0,0,,（和Jennifer闲聊）,（你们闲聊体育和艺术，更好地了解彼此）,310,0,0,ChitChat()
310,0,0,,你想去参观我的住处吗？,对不起，我没有足够的时间,310,0,0,TestInviteJennifer()
310,0,0,,你想和我一起去跑步吗？,对！我们现在就走|这将是一次很好的锻炼,320,1,0,
310,0,0,,你今晚有什么计划？,我先去跑步，可能会在学院游泳池停一下,310,0,0,
310,0,0,JenniferBelt,我稍后帮你系贞操带,谢谢，这真的很烦人,310,0,0,
310,0,0,,在我的宿舍里很无聊|我能和你一起冷静一下吗？,当然。但我会在18点左右跑步,310,0,0,
310,0,0,,我得走了，Jennifer|（离开这个地方）,,310,0,0,Leave()
311,0,0,,很好，Jennifer|（回到你的宿舍）,,311,0,0,Leave()
311,0,0,,跑步愉快|（回到你的宿舍）,,311,1,0,Leave()
311,0,0,,跑步是为失败者准备的|（回到你的宿舍）,,311,-1,0,Leave()
311,0,0,,我和你一起去|（和Jennifer一起跑）,不错！这将是一次很好的锻炼,320,0,0,
312,0,0,,对！我们现在就走|（和Jennifer一起走回去）,,312,0,0,LeaveWithJennifer()
312,0,0,,我们可以晚点再去|（留在这里陪她）,很好。我们可以聊天，更好地了解彼此,310,0,0,
320,0,0,!WearingTennisOutfit,我们应该穿什么跑步？,我们可以穿相配的网球服|（你们俩都换上了网球服）,321,0,0,WearTennisOutfit()
320,0,0,!WearingTennisOutfit,我们可以穿一些网球服跑步,对！我们将有匹配的外观|（你们俩都换上了网球服）,321,0,0,WearTennisOutfit()
320,0,0,WearingTennisOutfit,我们可以穿着网球服跑步,对！我们将有一个匹配的外观|（她换上网球服）,321,0,0,WearTennisOutfit()
320,0,0,WearingTennisOutfit,穿得像我一样，我们就可以走了,当然！我们将有一个匹配的外观|（她换上网球服）,321,0,0,WearTennisOutfit()
321,0,0,,你准备好了吗？,（你们俩都去学校的赛马场，开始慢跑）,322,0,0,EnterTrack()
321,0,0,,太好了！走吧,（你们俩都去学校的赛马场，开始慢跑）,322,0,0,EnterTrack()
321,0,0,,你看起来气色不错|我们走吧！,（你们俩都去学校的赛马场，开始慢跑）,322,0,0,EnterTrack()
322,0,0,,跟在我后面吃灰尘吧|（和Jennifer一起跑）,,323,0,1,RunWithJennifer()
322,0,0,,让我们慢慢来|（和Jennifer一起跑）,,323,0,-1,RunWithJennifer()
322,0,0,,我们开始吧|（和Jennifer一起跑）,,323,0,0,RunWithJennifer()
323,0,0,,太有趣了！,是的，和朋友一起跑步要好得多|我会去游泳池，你想加入吗？,324,0,0,
323,0,0,,比赛不错,是的，和朋友一起跑步要好得多|我会去游泳池，你想加入吗？,324,0,0,
323,0,0,,够了,我们今天跑得够多了|我会去游泳池，你想加入吗？,324,0,0,
324,0,0,!Common_PlayerChaste,我去拿我的泳衣|（换衣服去游泳）,,324,0,0,PoolWithJennifer()
324,0,0,Common_PlayerChaste,我不能去游泳池|（系好贞操带往回走）,,324,0,0,Leave()
324,0,0,,忘记游泳池|到我家来吧,对不起，我想去游泳|我们稍后见,326,0,0,TestSkipPool()
