Tag,Content
GoDormLoveAmanda,是的，这可能会很有趣，我的朋友|我可以穿睡衣去吗？
GoDormDommeAmanda,当然，小姐，我会跟进的|我可以穿睡衣去吗？
GoDormLoveSarah,太酷了！我不能呆太久，但|我很想看看你的住处。
GoDormDommeSarah,当然，小姐。我不能呆太久，但我很想看看你的住处。
GoDormIsolationSarah,地下室回来后|我很想看看你的住处，不过我不会呆太久。
GoDormLoveJennifer,我想我今晚可以放弃训练，和你一起去|我的朋友。我们现在要走了吗？
GoDormDommeJennifer,我今晚可以放弃训练，和你一起去|小姐。我们现在走吗？
NoIsolationIntroSarah,现在很安静|如果你愿意，我们可以聊天。
CannotRefuseIsolation,（Sarah用力抓住你的手臂，皱着眉头）|女孩，跟我来。
SarahKickOutAfter20,很抱歉，我不能再聊天了|我需要去市中心的一家俱乐部。
JenniferKickOutAfter18,我不能再聊天了，我需要去跑步|你可以跟我来，或者我们稍后再聊。
SarahIntroduceJennifer,JENNNNNNNNNIFER!（你听到了声音）|是的！她马上就来。
RaceJenniferDefeat,（你们俩都绕着跑道跑了一会儿。|Jennifer跑得更快，圈数也更多）
RaceJenniferTie,（你们俩在赛道上跑了一会儿。|这是一场相当公平的比赛，没有人能打败对方）
RaceJenniferVictory,（你们俩都绕着跑道跑了一段时间。|你们比Jennifer跑得快，圈数也更多）
JenniferSkipPool,我想我可以放弃游泳，和你一起去|我们现在要走了吗？
