Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,那你是怎么打发时间的？,Dorm.jpg
0,10,0,,朋友，你是怎么打发时间的？,Dorm.jpg
0,0,-10,,嘿，女孩，你做什么来打发时间？,Dorm.jpg
0,0,10,,小姐，你想做什么？,Dorm.jpg
0,0,0,Common_PlayerNaked,你太变态了,Dorm.jpg
0,10,0,Common_PlayerNaked,你不穿衣服很漂亮,Dorm.jpg
0,0,-10,Common_PlayerNaked,女孩，你他妈的变态,Dorm.jpg
0,0,10,Common_PlayerNaked,小姐，你的身体真是美极了,Dorm.jpg
0,0,0,Common_ActorIsLover,亲爱的，你想做什么？,Dorm.jpg
0,0,0,Common_ActorIsOwner,嘿，我的小贱人|你想做什么？,Dorm.jpg
0,0,0,Common_ActorIsOwned,主人，你想做什么？,Dorm.jpg
0,0,0,IsRoped,（她挣扎着说）这太紧了|你能帮我拉一下这些绳子吗？,Dorm.jpg
0,0,0,IsStrapped,（她挣扎着说）这太紧了|你能帮我摆脱那件事吗？,Dorm.jpg
0,0,0,IsGagged,哈哈哈！,Dorm.jpg
10,0,0,,,Dorm.jpg
20,0,0,,,Dorm.jpg
100,0,0,,（她脸红了）谢谢|你看起来也很棒,Dorm.jpg
100,0,0,Common_ActorIsOwned,（她脸红了）谢谢小姐|你今晚看起来也很棒,Dorm.jpg
100,0,0,Common_ActorIsOwner,谢谢我的小婊子|你看起来也很棒,Dorm.jpg
105,0,0,,,Dorm.jpg
106,0,0,,,Dorm.jpg
110,0,0,,,Dorm.jpg
115,0,0,,,Dorm.jpg
120,0,0,,,Dorm.jpg
130,0,0,,,Dorm.jpg
140,0,0,,,Dorm.jpg
150,0,0,,,Dorm.jpg
160,0,0,,,StartDating.jpg
170,0,0,,,Dorm.jpg
190,0,0,,,Dorm.jpg
191,0,0,,,Dorm.jpg
192,0,0,,,StopDating.jpg
193,0,0,,,StopDating.jpg
194,0,0,,,Dorm.jpg
200,0,0,,保护？小姐，你是什么意思？,Dorm.jpg
200,0,0,Common_ActorIsLover,我已经有了你爱的双臂|你认为我需要保护吗？,Dorm.jpg
210,0,0,,,Dorm.jpg
220,0,0,,,Dorm.jpg
221,0,0,,,Dorm.jpg
230,0,0,,,Dorm.jpg
240,0,0,,,Dorm.jpg
241,0,0,,,Dorm.jpg
250,0,0,,,Dorm.jpg
260,0,0,,,Dorm.jpg
270,0,0,,,Dorm.jpg
271,0,0,,,Dorm.jpg
280,0,0,,,Dorm.jpg
285,0,0,,,Dorm.jpg
290,0,0,,,Dorm.jpg
291,0,0,,,Dorm.jpg
292,0,0,,,Dorm.jpg
293,0,0,,,Dorm.jpg
294,0,0,,,Dorm.jpg
295,0,0,,,Dorm.jpg
296,0,0,,,Dorm.jpg
297,0,0,,,Dorm.jpg
300,0,0,,我知道你知道，但如果你继续这样做，你会被压垮的,Dorm.jpg
300,0,0,Common_ActorIsLover,我知道，亲爱的，但如果你继续这样做，你会被活活吃掉的,Dorm.jpg
310,0,0,,,Dorm.jpg
320,0,0,,,Dorm.jpg
330,0,0,,,Dorm.jpg
340,0,0,,,Dorm.jpg
350,0,0,,,Dorm.jpg
360,0,0,,,Dorm.jpg
370,0,0,,,Dorm.jpg
380,0,0,,,Dorm.jpg
390,0,0,,,Dorm.jpg
391,0,0,,,Dorm.jpg
392,0,0,,,Dorm.jpg
400,0,0,,我得走了|稍后见,Door.jpg
400,0,0,Common_ActorIsOwner,婊子！我得走了|我稍后打你屁股,Door.jpg
400,0,0,Common_ActorIsOwned,我需要去主人|我希望以后能见到你,Door.jpg
400,0,0,Common_ActorIsLover,我真的很想看一场摇滚演出|亲爱的，你想和我一起去吗？,Door.jpg
401,0,0,,,Door.jpg
402,0,0,,,Door.jpg
410,0,0,,,Door.jpg
450,0,0,,（Sidney抓住你的项圈）|嘿，婊子！是时候找点乐子了,Dorm.jpg
450,0,0,Common_ActorIsLover,（Sidney抓住你的项圈）|嘿，亲爱的！是时候找点乐子了,Dorm.jpg
500,0,0,,,Dorm.jpg
510,0,0,,,Dorm.jpg
520,0,0,,,Dorm.jpg
530,0,0,,,Dorm.jpg
540,0,0,,,Dorm.jpg
550,0,0,,,Dorm.jpg
560,0,0,,,Dorm.jpg
600,0,0,,,Dorm.jpg
610,0,0,,,Dorm.jpg
620,0,0,,,Dorm.jpg
621,0,0,,,Dorm.jpg
622,0,0,,,Dorm.jpg
623,0,0,,,Dorm.jpg
630,0,0,,,Dorm.jpg
631,0,0,,,Dorm.jpg
632,0,0,,,Dorm.jpg
633,0,0,,,Dorm.jpg
634,0,0,,,Dorm.jpg
635,0,0,,,Dorm.jpg
640,0,0,,,Dorm.jpg
641,0,0,,,Dorm.jpg
642,0,0,,,DormOrgasm.jpg
650,0,0,,当然，我们可以操|我们就在这里做？,Dorm.jpg
650,0,0,Common_ActorIsLover,当然，亲爱的,Dorm.jpg
650,0,0,Common_ActorIsOwned,当然，主人,Dorm.jpg
650,0,0,Common_ActorIsOwner,当然，婊子，我们可以操,Dorm.jpg
660,0,0,,亲爱的，我给你一个惊喜,Dorm.jpg
660,0,0,Common_ActorIsOwned,主人，我有个惊喜要给你,Dorm.jpg
661,0,0,,,Dorm.jpg
662,0,0,,,CoverEyes.jpg
663,0,0,,,CoverEyes.jpg
664,0,0,,,Dorm.jpg
665,0,0,,,Dorm.jpg
670,0,0,,我可爱的婊子，我想给你穿我的内衣。你喜欢吗？,Dorm.jpg
671,0,0,,,Dorm.jpg
700,0,0,,她在这里干什么|（她指着Amanda）,Dorm.jpg
700,0,0,Common_ActorIsLover,亲爱的，她在这里干什么|（她指着Amanda）,Dorm.jpg
700,0,0,Common_ActorIsOwned,主人，她在这里干什么|（她指着Amanda）,Dorm.jpg
700,0,0,Common_ActorIsOwner,婊子，她在这里干什么|（她指着Amanda）,Dorm.jpg
701,0,0,,,Dorm.jpg
702,0,0,,,Dorm.jpg
710,0,0,,她在这里干什么|（她盯着你，指着Sarah）,Dorm.jpg
710,0,0,Common_ActorIsLover,亲爱的，她在这里干什么|（她指着Sarah）,Dorm.jpg
710,0,0,Common_ActorIsOwned,主人，她在这里干什么|（她指着Sarah）,Dorm.jpg
710,0,0,Common_ActorIsOwner,婊子，她在这里干什么|（她盯着你，指着Sarah）,Dorm.jpg
711,0,0,,,Dorm.jpg
712,0,0,,,Dorm.jpg
790,0,0,,你要把我赶出你他妈的宿舍？,Door.jpg
790,0,0,Common_ActorIsLover,你他妈的要把我赶出去|这就是我们糟糕的爱情的结束？,StopDating.jpg
791,0,0,,,Door.jpg
3000,0,0,,我的婊子，我要你裸体,Dorm.jpg
3000,0,0,Common_ActorIsLover,我可爱的小婊子|我要你裸体,Dorm.jpg
3010,0,0,,我的婊子，我想看看你穿内衣的样子,Dorm.jpg
3010,0,0,Common_ActorIsLover,我可爱的小婊子。我想看看你穿内衣的样子,Dorm.jpg
3020,0,0,,我的婊子，我想看看你穿校服的样子,Dorm.jpg
3020,0,0,Common_ActorIsLover,我可爱的小婊子。我想看看你穿校服的样子,Dorm.jpg
3030,0,0,,我的婊子，我想看看你穿性感比基尼的样子,Dorm.jpg
3030,0,0,Common_ActorIsLover,我可爱的小婊子。我想看看你穿性感比基尼的样子,Dorm.jpg
3040,0,0,,我的婊子，我想看看你穿性感内衣的样子,Dorm.jpg
3040,0,0,Common_ActorIsLover,我可爱的小婊子。我想看看你穿性感内衣的样子,Dorm.jpg
3090,0,0,,,Dorm.jpg
3091,0,0,,（她点了点头，笑了）我喜欢你这样|事实上，你不能再改变了,Dorm.jpg
3091,0,0,Common_ActorIsLover,（她点了点头，笑了）亲爱的，你看起来棒极了|事实上，你不能再改变了,Dorm.jpg
3092,0,0,,,Dorm.jpg
3100,0,0,,我的婊子，我想检查你的物品，|这样我就可以捆住你的屁股,Dorm.jpg
3110,0,0,,我的婊子，我想检查你的物品，|这样我就可以把你的屁股束缚住了,Dorm.jpg
3120,0,0,,我的婊子，我想检查你的物品，|这样我就可以堵住你他妈的脸了,Dorm.jpg
3130,0,0,,我的婊子，我想我能帮你|（她放开你，笑了）,Dorm.jpg
3140,0,0,,一个该死的婊子不应该有钥匙。我来拿,Dorm.jpg
3150,0,0,,你为什么带鞭子|这不是给你的，我接受,Dorm.jpg
3160,0,0,,卧槽？你包里有个震动跳蛋吗？,Dorm.jpg
3160,0,0,HasEgg,（Sidney注意到你包里的跳蛋在震动）|该死！这就是你用在我身上的跳蛋吗？,Dorm.jpg
3161,0,0,,,Dorm.jpg
3162,0,0,,,Dorm.jpg
3190,0,0,,,Dorm.jpg
3191,0,0,,,Dorm.jpg
3210,0,0,,承认吧，我的婊子，你想被狠狠地打一巴掌！,Dorm.jpg
3211,0,0,,,Dorm.jpg
3220,0,0,,婊子，你知道这只猫是我的吗|（她微笑着指着你的胯部）,Dorm.jpg
3221,0,0,,,Dorm.jpg
3222,0,0,,（她自慰，你觉得自己快要达到高潮了）我的小荡妇现在想射精吗？,Dorm.jpg
3223,0,0,,,DormOrgasm.jpg
3230,0,0,,我一直很想把这种作物涂在你屁股上,Dorm.jpg
3231,0,0,,,Dorm.jpg
3290,0,0,,,Dorm.jpg
3291,0,0,,,Dorm.jpg
3800,0,0,,（Sidney拉着你的项圈）|婊子！你他妈的在干什么？,Dorm.jpg
3801,0,0,,,Dorm.jpg
3810,0,0,,（Sidney拉着你的项圈）|婊子！这他妈的是怎么回事？,Dorm.jpg
3811,0,0,,,Dorm.jpg
3900,0,0,,就是这样！你需要受到惩罚,Dorm.jpg
3901,0,0,,,Dorm.jpg
3902,0,0,,,Dorm.jpg
3903,0,0,,,Dorm.jpg
3910,0,0,,COMMON_PLAYERNAME。你他妈的被禁足了,Dorm.jpg
3911,0,0,,,Dorm.jpg
3912,0,0,,,Dorm.jpg
3913,0,0,,,Dorm.jpg
3914,0,0,,,Dorm.jpg
3915,0,0,,婊子，你吸取教训了吗？,Dorm.jpg
3920,0,0,,婊子！你会被锁在自己该死的贞操带里,Dorm.jpg
3921,0,0,,,Dorm.jpg
3922,0,0,,,Dorm.jpg
3923,0,0,,,Dorm.jpg
3930,0,0,,婊子！你会被打屁股的，你会哭的,Dorm.jpg
3931,0,0,,,DormBedSidney.jpg
3932,0,0,,,DormBedSidney.jpg
3933,0,0,,够了！（她帮你站起来）|我希望你已经吸取了教训,DormBedSidney.jpg
3940,0,0,,小贱人！我会羞辱你直到你哭,Dorm.jpg
3941,0,0,,,Dorm.jpg
3942,0,0,,,Dorm.jpg
3999,0,0,,,Dorm.jpg
