Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,Common_ActorIsOwner,小姐，你在想什么？,不多，我的小婊子|（她看了看手机）,0,0,0,RandomSidneyDommeEvent()
0,0,0,Common_ActorIsOwner,主人，我换衣服可以吗？,当然婊子。穿你想要的,0,0,0,IsChangingBlocked()
0,5,0,!Common_ActorIsLover,你看起来很漂亮，Sidney,谢谢，你看起来也不错|（你需要+20的爱才能和Sidney约会）,0,0,0,TestLove()
0,0,0,Common_ActorIsLover,我们应该离开我的爱吗？,有一场摇滚演出二十点开始|亲爱的，你愿意和我一起去吗？,0,0,0,TestGoOnDate()
0,0,0,,我们需要谈谈,是 啊？你在想什么？,0,0,0,TestTalk()
0,0,5,!Common_ActorIsOwned,女孩，你需要我的保护,我不需要任何人的保护|（你需要+20的顺从度）,0,0,0,TestDomme()
0,0,-5,!Common_ActorIsOwner,Sidney小姐|我很佩服你,别这么说，你听起来像个失败者|（您需要-20的顺从度才能提交给Sidney）,0,0,0,TestSub()
0,0,0,Common_PlayerGagged,@天哪！,哦，是的。我他妈的明白了你说的话。（她笑了）,0,0,0,TestUnbind()
0,0,0,Common_ActorIsOwner,（哼一首性感的歌|跳舞取乐）,现在不行，我的小贱人|（她看了看手机）,0,0,0,RandomSidneyDommeEvent()
0,0,0,Common_PlayerRestrained,（在束缚中挣扎）,不，你不能出去|很高兴看到你挣扎,0,0,0,TestUnbind()
0,0,0,!Common_ActorIsOwner,你应该换件衣服,算了，我不会为你改变的,0,0,0,TestChange()
0,0,0,SexAvail,你想和我做爱吗？,不，我不喜欢。|我们做点别的吧,0,0,0,TestSex()
0,0,0,PleasurePlayerAvail,我的奴隶|你要怎么取悦我,你高兴吗，主人？,630,0,0,TestPleasurePlayer()
0,0,0,!Common_PlayerRestrained,（和她一起玩）,（你向她迈出了一步）,10,0,0,
10,5,0,!Common_PlayerGagged,（吻她）,（你靠近她，甜蜜地吻她的嘴唇）,10,0,0,Kiss()
10,1,0,!Common_PlayerRestrained,（挠她一下）,（你靠近她，挠她的胸口，但她没有那么大反应）,10,0,0,Tickle()
