Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,奴隶？,没错奴隶必须服从主人|我能让你对这些优秀的奴隶感兴趣吗？,10,1,0,
0,0,0,,今天？,如果我长期养着它们，恐怕会照顾不过来|你想养一个吗？,10,0,0,
0,0,0,,嗯|我是COMMON_PLAYERNAME。,挺好听的名字，当然了，如果你成为奴隶|就不会有名字了，你想买一个这样的奴隶吗？,10,0,-1,
10,0,0,Loop1,这些女孩当初是|自愿的吗？,对她们来说，当被捆绑和堵住嘴的时候|就已经没有必要再询问意愿了,20,0,0,StopLoop1()
10,0,0,,是的，我要一个奴隶。,等等，我只卖硬通货，你看起来可能支付不起,30,1,0,NotRichEnough()
10,0,0,,这些女孩不是|我喜欢的类型,她们是我目前库存中仅有的了|你可以试着绑架你喜欢的女孩,40,1,1,
10,0,0,,不用了，谢谢。,那么，参与绑架怎么样？,30,0,0,
10,0,0,Loop2,你不能随便绑架别人,我刚刚已经做了|话说，你对奴隶制感兴趣吗？,10,-1,0,StopLoop2()
20,0,0,,所以你真的绑架了她们？,怎么可能呢，这两个女孩很清楚|如果真的被一个奴隶贩子接近，会有什么后果。,25,0,0,
20,0,0,,令人惊叹,大多数会员在进入这个俱乐部时|都会很警惕，但有些人似乎永远学不会,25,1,0,
25,0,0,,我简直不敢相信|你竟然这样做,相信我，她们都是自愿走进这个俱乐部的|你对拥有一个奴隶感兴趣吗？,10,-1,0,
25,0,0,,我不想被绑架。,好吧，你可能没有选择|你对奴隶感兴趣吗？,10,0,-1,
25,0,0,,你不试着绑架一下我？,恩..比起我，你更应该小心一点Jenna|你对奴隶感兴趣吗？,10,1,-1,
25,0,0,,Jenna没有提到奴隶制,她？有些成员对她可以说是言听计从|几乎像奴隶一样服从她,10,0,0,
30,0,0,,也许我应该奴役你,你可以试试，但你已经失去了出其不意的先机|你应该试着绑架别人。,40,1,1,
30,0,0,Poverty,你会接受其他选择吗？,我可以把你当奴隶卖了，我们可以平分利润|或者你可以尝试绑架自己的奴隶。,40,1,-1,SlaveOffer()
30,0,0,Poverty,但我真的想要|我自己的奴隶。,冷静。有很多女孩正等着被绑架为奴隶。,40,1,0,
30,0,0,,这太愚蠢了。,来吧，这只是一点乐趣|你可能真的很喜欢绑架。,40,-1,0,
40,0,0,,我们可以绑架|任何俱乐部成员吗？,你可以试试。不过，有些人会联合起来对付你|而有些人只会让你把她们绑起来,50,0,0,
40,0,0,SellMe,我想你可以|试着卖掉我,太棒了！过来一下并且|接受这份具有约束力的协议,100,0,-1,NoLeave()
40,0,0,,绑架不太适合我,你还没有尝试过呢。,50,-1,0,
40,0,0,,嗯，我确实看上了|一个女孩。,嘻嘻，我敢打赌，她根本不会意识到会发生什么,50,1,0,
50,0,0,,那可以先从|绑架我试试,我无法再在这里容纳更多的奴隶|但Jenna在另一扇门旁留下了一袋手铐，你可以用,55,1,0,
50,0,0,,你是我的|（试着绑架Erica）,不错的尝试，但你不打我是不行的。,60,-1,0,Fight()
50,0,0,,（转身准备离开）,（她突然从背后把你抓住）|你不应该对一个奴隶主掉以轻心，愚蠢的少女,150,0,0,NoLeave()
55,0,0,,她拿手铐做什么呢？,Jenna很公平，但在俱乐部纪律方面非常坚定|小心点，我想Jenna可能随身带着手铐的钥匙,60,0,0,TryKidnapping()
55,0,0,,那有多少个手铐？,我不知道，我想有很多，我认为Jenna是有钥匙的|所以任何人放进去都会被卡在那里。,60,0,0,TryKidnapping()
60,0,0,,我应该尝试绑架谁？,这个嘛，你就自己去琢磨吧|我得继续设计奴隶的日常工作了,60,0,0,
60,0,0,,（转身准备离开）,（她突然从背后把你抓住）|你不应该对一个奴隶主掉以轻心，愚蠢的少女,150,0,0,NoLeave()
60,0,0,,你是我的奴隶|（试着绑架Erica）,不错的尝试，但你不打我是不行的。,60,-1,0,Fight()
100,0,0,,（试着离开那里）,（她抓住你，把项圈系在你脖子上）|你现在是我的了,110,0,0,CollarLocked()
100,0,0,PlayerNotBound,（在这里战斗）,哇，你真是个好动的人|等你准备好项圈和链子再回来吧,90,0,0,ResistedSlavery()
100,0,0,PlayerNotGagged,你还是去跟其他人玩吧,哦，这样啊，这只是角色扮演而已。,90,0,0,ResistedSlavery()
100,0,0,PlayerNotGagged,请放我走。,你问得很礼貌，但现在救不了你了|（她把项圈系在你脖子上）,110,1,0,CollarLocked()
100,0,0,,（接受你的命运并屈服）,（她把项圈系在你脖子上）女孩们整个下午都在谈论你，但你现在都是我的了。,110,1,-1,CollarLocked()
100,0,0,PlayerIsFree,这次你是我的|（试着绑架Erica）,不错的尝试，但你不打我是不行的。,90,0,0,Fight()
110,0,0,,（逃跑）,（挂上铁链的项圈把你牢牢地栓在了原地，|她开始剥光你的衣服，并迅速将你捆住）,170,0,0,PlayerSlaved()
110,0,0,,（在她身上蹭来蹭去）,你可真是个小骚蹄子呀，让我来帮你|（她剥光了你的衣服，并迅速将你捆住）,170,1,0,PlayerSlaved()
110,0,0,PlayerNotBound,（试着拆下项圈）,奴隶没有是没有权利抵抗的|（她剥光了你的衣服，并迅速将你捆住）,170,0,0,PlayerSlaved()
111,0,0,,（逃跑）,（挂上铁链的项圈把你牢牢地栓在了原地，|她开始剥光你的衣服，并迅速将你捆住）,170,0,0,PlayerSlaved()
111,0,0,,（在她身上蹭来蹭去）,你可真是个小骚蹄子呀，让我来帮你|（她剥光了你的衣服，并迅速将你捆住）,170,1,0,PlayerSlaved()
111,0,0,PlayerNotBound,（试着拆下项圈）,奴隶没有是没有权利抵抗的|（她剥光了你的衣服，并迅速将你捆住）,170,0,0,PlayerSlaved()
112,0,0,,（逃跑）,（挂上铁链的项圈把你牢牢地栓在了原地，|她开始剥光你的衣服，并迅速将你捆住）,170,0,0,PlayerSlaved()
112,0,0,,（在她身上蹭来蹭去）,你可真是个小骚蹄子呀，让我来帮你|（她剥光了你的衣服，并迅速将你捆住）,170,1,0,PlayerSlaved()
112,0,0,PlayerNotBound,（试着拆下项圈）,奴隶没有是没有权利抵抗的|（她剥光了你的衣服，并迅速将你捆住）,170,0,0,PlayerSlaved()
