Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,你好，你一定是COMMON_PLAYERNAME吧|我是Lauren。,Lauren.jpg
10,0,0,,你好|看起来有人现在有点忙。,Lauren.jpg
15,0,0,,我看得出你更喜欢被绑着。,Lauren.jpg
20,0,0,,你好，你戴上手铐很好看。,Lauren.jpg
25,0,0,,我看得出你更喜欢被堵住嘴。,Lauren.jpg
30,0,0,,你好。,Lauren.jpg
40,0,0,,我正在教Nicole如何在没有钥匙的情况下逃脱手铐。你也想学吗？,Lauren.jpg
45,0,0,,如果你对此感兴趣，我们旁边的小组正在讨论绳索技术。,Lauren.jpg
50,0,0,,你想学习如何摆脱手铐吗？,Lauren.jpg
55,0,0,,找到钥匙了吗？,Lauren.jpg
100,0,0,,手铐机制真的很粗糙。,Lauren.jpg
110,0,0,,你还记得我刚才说的手铐机制吗？,Lauren.jpg
120,0,0,,我只是说我在棘爪和棘轮之间滑动了一条金属,Lauren.jpg
130,0,0,,你现在想学习这项技术吗？,Lauren.jpg
140,0,0,,当你准备好了，给自己戴上手铐，我会告诉你如何逃离他们。,Lauren.jpg
145,0,0,,我只会解释一下，如果你愿意先戴上手铐，该怎么做。,Lauren.jpg
150,0,0,,太好了，你已经准备好开始了。,Lauren.jpg
160,0,0,,,Lauren.jpg
165,0,0,,,LaurenReaching.jpg
170,0,0,,,LaurenReaching.jpg
180,0,0,,,Lauren.jpg
190,0,0,,图像？-球员手中的发夹断了？,Lauren.jpg
200,0,0,,,Lauren.jpg
205,0,0,,,Lauren.jpg
210,0,0,,,Lauren.jpg
220,0,0,,你好，能给我们一点时间吗|Nicole正在挣扎，需要我的帮助。,Lauren.jpg
300,0,0,,你摘下眼罩，看看你抓到了谁。,LaurenCaught.jpg
310,0,0,,,LaurenTalking.jpg
320,0,0,,,LaurenTalking.jpg
330,0,0,,,LaurenEscaped.jpg
340,0,0,,,LaurenEscaped.jpg
350,0,0,,,LaurenEscaped.jpg
360,0,0,,,LaurenUndressed.jpg
370,0,0,,,LaurenSatinComment.jpg
380,0,0,,,LaurenBag.jpg
390,0,0,,,LaurenSat.jpg
400,0,0,,,LaurenLegCuffs.jpg
410,0,0,,,LaurenWristCuffs.jpg
420,0,0,,,LaurenChairCuffed.jpg
430,0,0,,,LaurenRealized.jpg
440,0,0,,,LaurenRealized.jpg
450,0,0,,（Lauren仍在努力逃跑）,LaurenRealized.jpg
455,0,0,,,NicoleOffer.jpg
460,0,0,,（Lauren被铐在椅子上，无法逃脱）,LaurenHelpless.jpg
470,0,0,,（Lauren被铐在椅子上，无法逃脱）,LaurenHelpless.jpg
480,0,0,,,NicoleOffer.jpg
490,0,0,,,PlayerChairCuffed.jpg
500,0,0,,,PlayerChairCuffed.jpg
510,0,0,,,Lauren.jpg
520,0,0,,（Lauren正忙着教Nicole）,LaurenDone.jpg
525,0,0,,,LaurenPlayerGone.jpg
600,0,0,,（你的手臂高高地举在身后，手铐挂在什么东西上）,BlindMansBuff.jpg
610,0,0,,,LaurenCaptor.jpg
620,0,0,,,LaurenGone.jpg
630,0,0,,,PlayerStrappado.jpg
640,0,0,,,PlayerFlip.jpg
650,0,0,,,PlayerGrab.jpg
660,0,0,,,PlayerLegWrap.jpg
670,0,0,,,PlayerHoldingOn.jpg
680,0,0,,,PlayerHelpedDown.jpg
690,0,0,,,PlayerLegCuffs.jpg
700,0,0,,,LaurenCaptor.jpg
710,0,0,,,LaurenCaptor.jpg
720,0,0,,,LaurenPlayerReleased.jpg
730,0,0,,,LaurenCaptor.jpg
735,0,0,,,LaurenPeak.jpg
740,0,0,,,LaurenPeakLegCuffs.jpg
745,0,0,,,LaurenContinue1.jpg
746,0,0,,,LaurenContinue2.jpg
750,0,0,,,PlayerLegCuffs.jpg
800,0,0,,,LaurenPlayerReleased.jpg
810,0,0,,,LaurenPlayerReleased.jpg
900,0,0,,,LaurenCrying.jpg
910,0,0,,,LaurenJenna.jpg
