Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,!Common_PlayerRestrained,（检查内容）,皮包里似乎装满了金属镣铐，|用链条连接在一起。,10,0,0,
0,0,0,,（看看皮包周围）,你注意到黑板下面有一些金属环,20,0,0,
0,0,0,SelfSlaveAvailable,（试着给自己戴上镣铐）,你拿起了镣铐，将一个较大的铁环套在了自己脖子上|如果不把它锁上，可以很容易的打开,100,0,0,
0,0,0,,（回到俱乐部房间）,你现在可以绑架俱乐部成员|并用这些镣铐把她们当作自己的奴隶,40,0,0,Leave()
10,0,0,,（检查镣铐）,金属材质的镣铐，可以把脖子、手腕和脚踝锁在其中|此外还有一根铁链，没有挂任何东西,10,0,0,ManaclesCheck()
10,0,0,,（检查其余内容）,皮包里还有很多用来锁镣铐的挂锁|但你没找到钥匙。,10,0,0,PadlocksCheck()
10,0,0,,（把镣铐拿走）,这个镣铐相当重，最好把它们留在这里,10,0,0,
10,0,0,,（看看皮包周围）,你注意到黑板下面有一些金属环,20,0,0,
10,0,0,SelfSlaveAvailable,（试着给自己戴上镣铐）,你拿起了镣铐，将一个较大的铁环套在了自己脖子上|如果不把它锁上，可以很容易的打开,100,0,0,
10,0,0,,（回到俱乐部房间）,你现在可以绑架俱乐部成员|并用这些镣铐把她们当作自己的奴隶,40,0,0,Leave()
20,0,0,,（看看金属环）,它们似乎牢牢地附着在墙上|感觉可以和镣铐一起使用,20,0,0,RingsCheck()
20,0,0,,（再次查看皮包）,这个皮包里有很多金属物品。,0,0,0,
20,0,0,SelfSlaveAvailable,（试着给自己戴上镣铐）,你拿起了镣铐，将一个较大的铁环套在了自己脖子上|如果不把它锁上，可以很容易的打开,100,0,0,
20,0,0,,（回到俱乐部房间）,你现在可以绑架俱乐部成员|并用这些镣铐把她们当作自己的奴隶,40,0,0,Leave()
40,0,0,,（再次检查皮包）,想象一下你能用那些镣铐做些什么|真是令人垂涎三尺啊,0,0,0,
40,0,0,,（去抓些奴隶）,去抓奴隶了,40,0,0,Leave()
100,0,0,,（用挂锁锁住镣铐）,你扣上挂锁，然后熟练的脱下校服，拿起铁链|将脖子上的镣铐和墙面的金属环扣在了一起,110,0,0,NeckManacle()
100,0,0,,（把镣铐放回皮包里）,还是下次吧|（你把那些镣铐收了起来）,0,0,0,
110,0,0,,（拉扯着墙上的镣铐）,你尽可能用力地去拉镣铐，但墙上的金属环丝毫未动,110,0,0,
110,0,0,,（试着取下挂锁）,挂锁锁锁得很紧|没有钥匙，它们不可能打开。,110,0,0,
110,0,0,,（再次检查袋内）,你仔细检查了一下包，但里面肯定没有钥匙|包里也没有其他东西了,110,0,0,
110,0,0,Common_PlayerGagged,（把你的口塞拿掉）,你趁还没被束缚的时候，取下了口塞,110,0,0,PlayerRemoveGag()
110,0,0,,大声求救,你在房间里大声求救。几个女孩抬起头|咯咯地笑了起来，然后继续做着她们手头上的事情,110,0,0,
110,0,0,,（把其余的镣铐锁上）,你准备好失去所有的自由了吗？|（再次单击以执行此操作）,110,0,0,FullManacle()
115,0,0,,你有这些的钥匙吗？,不，你现在是别人的问题了|（她把你丢在那里）,120,0,0,ActorLeaves()
115,0,0,,对不起，Erica。,现在晚了，下回你会知道怎么做的|（她把你丢在那里）,120,1,-1,ActorLeaves()
115,0,0,,这是不是有点过分了？,这就是你试图羞辱我的代价|（她把你抛弃在那里）,120,0,0,ActorLeaves()
115,0,0,Common_PlayerGagged,@Mrngh Hm'm fhrrn|（乞求的呜咽着）,现在晚了，下回你会知道怎么做的|（她把你丢在那里）,120,1,-1,ActorLeaves()
115,0,0,Common_PlayerGagged,（摇动着这些镣铐）,我没有这些钥匙，你现在成了别人的问题|（她把你丢在那里）,120,0,0,ActorLeaves()
116,0,0,,（请稍后致电）,（Amelia回到她的小组时不理你）,120,0,0,ActorLeaves()
116,0,0,,（忽略Amelia）,（没有Amelia的监视，|你可以专注于摆脱这些枷锁）,120,0,0,ActorLeaves()
120,0,0,,大声求救,你在房间里大声求救。几个女孩抬起头|咯咯地笑了起来，然后继续做着她们手头上的事情,120,0,0,ExploreManacles()
120,0,0,Common_PlayerGagged,（对着笑声大喊）,似乎没有人听到或注意到你低沉的哭声。,120,0,0,ExploreManacles()
120,0,0,,（拼命地挣扎着）,你惊慌失措地摇晃着镣铐|但无情的镣铐只是发出清脆的响声,120,0,0,ExploreManacles()
120,0,0,,（开玩笑地挣扎着）,你在试探镣铐的极限，不停的弄出响声|总有人会对你的存在产生兴趣,120,0,0,ExploreManacles()
120,0,0,!ShortLeash,（试着躺下）,墙上的链子不够长|你必须保持跪立着，以免项圈勒到你。,120,0,0,ExploreManacles()
120,0,0,!ShortLeash,（试着站起来）,项圈和脚踝之间的链子太短了|你无法站起来，也不能舒服地蹲着，只可以跪在地上,120,0,0,ExploreManacles()
120,0,0,!ShortLeash,（试着离开）,你可以蠕动着向前，但只有很短的距离|墙上的铁链将你牢牢的拴住了,120,0,0,ExploreManacles()
120,0,0,,（检查挂锁）,你细心地检查着手腕上的挂锁|但它们都已经牢牢地锁上了,120,0,0,ExploreManacles()
120,0,0,ShortLeash,（试着移动）,Jenna在离开前缩短了镣铐|你现在几乎动不了了,120,0,0,
120,0,0,,（耐心等待）,你像一个乖巧的奴隶一样，静静地等待着,120,0,0,WaitJenna()
120,0,0,JennaWillGag,Jenna！|你不能就这样离开我。,你说得对，我忘了堵住你的嘴|（Jenna再次离开前，把你的嘴巴堵了起来）,120,0,0,PlayerGagged()
130,0,0,,嘿，Jenna|快把我弄出去。,放松点，不是我把你锁在里面的|是谁把你锁在里面的？,140,0,1,
130,0,0,,你好，Jenna,你好，那些镣铐真的很适合你|是谁把你锁在里面的？,140,1,0,
130,0,0,,Jenna，请帮帮我,（Jenna同情地笑了）哇，你这可怜的女孩|是谁把你锁在里面的？,140,0,-1,
130,0,0,Common_PlayerGagged,（盯着Jenna）,（你努力了，但在Jenna强烈的注视下屈服了）|你想把那个口塞拿掉吗？,135,0,1,StareJenna()
130,0,0,Common_PlayerGagged,（抬头看着她）,真乖，你想把那个肛塞拿掉吗？,135,1,0,
130,0,0,Common_PlayerGagged,（对着她吼）,（Jenna同情地笑了）哇，你这可怜的女孩|你想把那个肛塞拿掉吗？,135,1,-1,
135,0,0,,（点了点头）,好吧，我觉得它很适合你，你还是保持这样吧|是谁把你锁在里面的？,140,0,0,PlayerMightRemoveGag()
135,0,0,,（摇头）,很好，反正我也不会把它取下来的|是谁把你锁在里面的？,140,0,-1,
140,0,0,,是我干的。,我早知道了，Cassidy给我发了一条信息|没关系，你现在是我的奴隶了。,150,0,-1,ClaimSelf()
140,0,0,,Erica做到了,我早知道了，Cassidy给我发了一条信息|没关系，你现在是我的奴隶了。,150,0,0,ClaimErica()
140,0,0,,Amelia做到了,我早知道了，Cassidy给我发了一条信息|没关系，你现在是我的奴隶了。,150,0,0,ClaimAmelia()
140,0,0,,她们所有人,我早知道了，Cassidy给我发了一条信息|没关系，你现在是我的奴隶了。,150,0,0,ClaimAll()
140,0,0,Common_PlayerGagged,（低着头）,我早知道了，Cassidy给我发了一条信息|没关系，你现在是我的奴隶了。,150,0,-1,ClaimSelf()
140,0,0,Common_PlayerGagged,（看看Erica）,我早知道了，Cassidy给我发了一条信息|没关系，你现在是我的奴隶了。,150,0,0,ClaimErica()
140,0,0,Common_PlayerGagged,（看Amelia）,我早知道了，Cassidy给我发了一条信息|没关系，你现在是我的奴隶了。,150,0,0,ClaimAmelia()
140,0,0,Common_PlayerGagged,（看看她们所有人）,我早知道了，Cassidy给我发了一条信息|没关系，你现在是我的奴隶了。,150,0,0,ClaimAll()
150,0,0,,什么？,那些镣铐是我的，所以锁在里面的东西也属于我|整个俱乐部的人都知道这一点。,160,0,0,EricaTrick()
150,0,0,,是的，小姐,那是个好奴隶。,160,1,-1,
150,0,0,,我不是你的奴隶,你有权发表自己的意见|但以你现在的处境来看，你是否同意完全不重要,160,0,0,
150,0,0,Common_PlayerGagged,（点了点头）,那是个好奴隶。,160,1,-1,
150,0,0,Common_PlayerGagged,（摇头）,你有权发表自己的意见|但以你现在的处境来看，你是否同意完全不重要,160,0,0,
150,0,0,Common_PlayerGagged,@呜呜呜？|（疑惑的呻吟着）,那些镣铐是我的，所以锁在里面的东西也属于我|整个俱乐部的人都知道这一点。,160,0,0,
155,0,0,ChloeIsSlave,,Jenna放开了Chloe，给了她一个拥抱。,160,,,
