AbandonedBuilding,Abandoned Building
AbandonedSideRoom,Abandoned Side Room
Agora1,Palace Agora
AlchemistOffice,Alchemist Office
AncientRuins,Ancient Ruins
AsylumBedroom,Bedroom
AsylumEntrance,Entrance
AsylumGGTSRoom,GGTS Computer Room
AsylumMeeting,Meeting
AsylumTherapy,Therapy
BackAlley,Back Alley
BalconyNight,Balcony Night
BalletClass1,Ballet Class
BarRestaurant,Bar Restaurant
Bar2,Small Bar
BDSMRoomBlue,BDSM Room Blue
BDSMRoomCage1,BDSM Room Cage
BDSMRoomPurple,BDSM Room Purple
BDSMRoomRed,BDSM Room Red 1
BDSMRoomRed2,BDSM Room Red 2
BDSMRoomRed3,BDSM Room Red 3
Beach,Beach
BeachCafe,Beach Promenade Café
BeachHotel1,Beach Hotel 1
BeachHotel2,Beach Hotel 2
BeachSunset,Beach Sunset
Bedroom,Bedroom
Bedroom2,Japanese Bedroom
Bedroom3,Boy Bedroom
Bedroom4,Girl Bedroom 1
Bedroom5,Evelyn's Bedroom
Bedroom6,Girl Bedroom 2
BondageBedChamber,Bondage Bedchamber
Boudoir,Boudoir
BoutiqueBack,Shop Dressing Rooms
BoutiqueMain,Boutique Shop
BoxingRing1,Boxing Ring
CaptainCabin,Captain Cabin
Casino1,Casino
Castle,Fancy Castle
CastleHall1,Stone Castle Hall
Cellar,Cellar
CeremonialVenue,Ceremony Venue
ChillRoom,Chill Room
CollegeBuilding1,College Building
CollegeCafeteria,Cafeteria 1
CollegeCafeteria2,Cafeteria 2
CollegeClass1,Classroom 1
CollegeClass2,Classroom 2
CollegeClass3,Classroom 3
CollegeConcertStage,Concert Stage
CollegeDetention,Detention Class
CollegeEntrance,College Entrance
CollegeHall1,College Hall 1
CollegeHall2,College Hall 2
CollegeHall3,College Hall 3
CollegePool,College Pool
CollegeTeacherLounge2,Teachers' Lounge
CollegeTennis,Tennis Court
CollegeTheater,Theater
CollegeTheater2,Theater 2
CollegeShowerRoom,Shower Room
CollegeSportsGround,Sports Ground
CollegeStaffRoom,Staff Room
CommercialStreetNight1,Commercial Street Night
Confessions,Confessions
CosyChalet,Cosy Chalet
Cottage1,Wooden Cottage
CozyLivingRoom,Cozy Living Room
CreepyBasement,Creepy Basement
DeepForest,Deep Forest
Desert,Desert
DesolateVillage,Desolate Village
DiningRoom,Dining Room
DressingRoom1,Dressing Room
Dungeon,Dungeon
DungeonRuin,Ruined Dungeon
DystopianCity,Dystopian City
EgyptianExhibit,Egyptian Exhibit
EgyptianTomb,Egyptian Tomb
EmptyWarehouse,Empty Warehouse
FancyBathroom1,Fancy Bathroom
FancyBedroom1,Fancy Bedroom
ForestCave,Forest Cave
ForestPath,Forest Path
Garden1,Public Garden
Garden2,Private Garden
GardenCafe1,Garden Café 1
GardenCafe2,Garden Café 2
GardenMuseum1,Garden Museum
Gymnasium,Gymnasium
HairSalon1,Hair Salon
HeavenEntrance,Entrance to Heaven
HellEntrance,Entrance to Hell
HorseStable,Horse Stable
HotelBedroom,Hotel Bedroom
HotelBedroom2,Hotel Bedroom 2
HotelBedroom3,Hotel Bedroom 3
HotelBedroom4,Hotel Bedroom 4
HouseBasement1,Empty Basement 1
HouseBasement2,Empty Basement 2
HouseBasement3,Empty Basement 3
HouseInterior1,Studio Living Room
HouseInterior2,Wooden Living Room
HouseInterior3,Appartment Living Room
HouseInterior4,Japanese Living Room 1
HouseInterior5,Traditional Japanese Room
HypnoSpiral2,Hypnotic Spiral 2
HypnoticSpiral,Hypnotic Spiral
IndoorPool,Indoor Pool
Industrial,Industrial
Infiltration,Infiltration Bunker
Interrogation1,Interrogation Room
Introduction,Introduction
JungleTemple,Jungle Temple
Kennels,Kennels
KidnapLeague,Kidnappers League
KinkyShop1,Kinky Shop
Kitchen1,Modern Kitchen
Kitchen2,Large Kitchen
Kitchen3,Cozy Kitchen
Kitchen4,Dorm Kitchen
LatexRoom,Latex Room
LeatherChamber,Leather Chamber
LingerieShop,Lingerie Shop
LockerRoom,Locker Room
LostVages,Lost Wages Casino
LoungePiano1,Lounge Piano
MaidCafe,Maid Café
MaidQuarters,Maid Quarters
MainHall,Main Hall
MainHall2,Main Hall Gold
Management,Club Management
MedinaMarket,Medina Market
MeetingRoom1,Meeting Room
MiddletownSchool,Middletown School
MovieStudio,Movie Studio
MovieStudio2,Movie Studio Camera
NightClub,Nightclub
Nursery,Nursery
Office1,Luxury Office
Office2,Open Office
Office3,College Small Office
Office4,College Director Office
OldFarm,Old Farm
Onsen,Onsen
OutdoorPool,Outdoor Pool
OutdoorPool2,Luxury Pool
OutsideCells,Outside Cells
PaddedCell,Padded Cell
PaddedCell2,Padded Cell 2
PandoraCell0,Pandora Cell A
PandoraCell1,Pandora Cell B
PandoraCell2,Pandora Cell C
PandoraCell3,Pandora Cell D
PandoraCell4,Pandora Cell E
PandoraCell5,Pandora Cell F
PandoraCell6,Pandora Cell G
ParkDay,Park Day
ParkEntrance1,Park Entrance
ParkNight,Park Night
ParkWinter,Park Winter
PartyBasement,Party Basement
PirateIsland,Pirate Island
PirateIslandNight,Pirate Island Night
PoolBottom,Pool Bottom
PrisonHall,Prison Hall
Private,Private Room
PublicBath,Public Bath
PublicBathroom1,Public Bathroom
RainyForestPathDay,Rainy Forest Path Day
RainyForstPathNight,Rainy Forest Path Night
RainyStreetDay,Rainy Street Day
RainyStreetNight,Rainy Street Night
Ranch,Ranch
ResearchPrep,Research Lab
ResearchProgress,Research Lab
Restaurant1,Restaurant 1
Restaurant2,Restaurant 2
RooftopParty,Rooftop Party
RustySaloon,Rusty Saloon
SchoolHallway,School Hallway
SchoolHospital,School Hospital
SchoolRuins,Abandoned School
SciFiCell,Sci Fi Cell
SciFiOutdoors,Sci Fi Outdoors
SciFiRed,Red Sci-Fi Room
SecretChamber,Secret Chamber
SheikhPrivate,Sheikh Private Room
SheikhTent,Sheikh Tent
Shibari,Shibari Dojo
ShipDeck,Ship's Deck
Shipwreck,Ship Wreck
SlipperyClassroom,Slippery Classroom
SlumApartment,Slum Apartment
SlumCellar,Slum Cellar
SlumRuins,Slum Ruins
SnowyChaletDay,Snowy Chalet Day
SnowyChaletNight,Snowy Chalet Night
SnowyDeepForest,Snowy Deep Forest
SnowyForestPathDay,Snowy Forest Path Day
SnowyForestPathNight,Snowy Forest Path Night
SnowyLakeNight,Snowy Lake Night
SnowyStreet,Snowy Street
SnowyStreetDay1,Snowy Street Day 1
SnowyStreetDay2,Snowy Street Day 2
SnowyStreetNight2,Snowy Street Night
SnowyTown1,Snowy Town 1
SnowyTown2,Snowy Town 2
SpaceCaptainBedroom,Space Station Captain Bedroom
SpookyForest,Spooky Forest
Stage1,Fashion Stage
StreetNight,Christmas Street Night
StudentBedroom1,Student Bedroom
SunTemple,Sun Temple
SuburbStreet1,Quiet Suburb Street
SynthWave,Virtual World
Tavern1,Old Tavern
ThroneRoom,Throne Room
TiledBathroom,Tiled Bathroom
UnderwaterOne,Underwater One
VaultCorridor,Vault Corridor
Wagons,Wagon Circle
WeddingArch,Wedding Arch
WeddingBeach,Wedding Beach
WeddingRoom,Wedding Room
WesternStreet,Western Street
WitchWood,Witch Wood
WoodenCabin,Wooden Cabin
WrestlingRing,Ring
XmasDay,Christmas Day Lounge
XmasEve,Christmas Eve Lounge
Yacht1,Yacht Chill Room
Yacht2,Yacht Main Hall
Yacht3,Yacht Deck
ClubCardPlayBoard1,Wooden Board
