OnlineFriends,Online friends
AllFriends,All friends
Beeps,Beep history
MemberName,Name
MemberNickname,Nickname
MemberNumber,Member number
ChatRoomName,Chat room
ChatRoomType,Room type
RelationType,Relation type
ActionFriends,Send a Beep
ActionRead,Read a Beep
ActionActions,Actions
ActionsNone,No actions available
AutoRefresh,Toggle 30 sec auto-refresh
Refresh,Refresh
ResetSorting,Reset sorting
Exit,Exit
PrevMode,Previous mode
NextMode,Next mode
ToggleRoomOn,Room name: included
ToggleRoomOff,Room name: excluded
TypeOwner,Owner
TypeLover,Lover
TypeSubmissive,Submissive
TypeFriend,Friend
TypePending,Pending friend...
TypeFemale,Female-only room
TypeMale,Male-only room
TypeMixed,Mixed male/female room
TypeAsylum,Asylum room
TypePrivate,Private room
AddFriends,Add friends
AddFriendsPrompt,Add friends (comma separated list of member numbers)
AddFriendsError,No valid member numbers were provided.
AddFriendsSuccess,Added friends numbers: $addedMembers.
AddFriendsNoNewFriends,No new friends were added.
ConfirmDelete,Are you sure you want to delete $memberName ($memberNumber)?
Unknown,Unknown
