Preferences,- Preferences -
GeneralPreferences,- General Preferences -
DifficultyPreferences,- Multiplayer Difficulty Preferences -
RestrictionPreferences,- Restriction Preferences -
ChatPreferences,- Chat Preferences -
AudioPreferences,- Audio Preferences -
ArousalPreferences,- Arousal Meter & Sexual Activities Preferences -
SecurityPreferences,- Security Preferences -
VisibilityPreferences,- Item Preferences -
GraphicsPreferences,- Graphical Preferences -
OnlinePreferences,- Online Preferences -
ImmersionPreferences,- Immersion Preferences -
ControllerPreferences,- Controller Preferences -
NotificationsPreferences,- Notification Preferences -
GenderPreferences,- Gender Preferences -
ScriptsPreferences,- Script Permission Preferences -
ExtensionsPreferences,- Extensions Preferences -
CensoredWordsPreferences,- Censorship Settings -
KeybindingsPreferences,- Keybindings Settings -
HomepageGeneral,General
HomepageDifficulty,Difficulty
HomepageRestriction,Restriction
HomepageChat,Chat
HomepageCensoredWords,Censored Words
HomepageAudio,Audio
HomepageArousal,Arousal
HomepageSecurity,Security
HomepageVisibility,Item Visibility
HomepageOnline,Online
HomepageImmersion,Immersion
HomepageGraphics,Graphics
HomepageController,Controller
HomepageNotifications,Notifications
HomepageGender,Gender
HomepageScripts,Scripts
HomepageKeybindings,Keybindings
HomepageExtensions,Extensions
DifficultyTitle,The difficulty mode enforces BDSM restrictions in multi-player only.  Click for details.
DifficultyLevel0,Roleplay
DifficultyLevel0Title,Roleplay - This mode is fully open to customise your experience.
DifficultyLevel0Text,"It allows you to choose which restrictions or mechanisms to ignore.\nYou can select this mode any time, but you won't be able\nto select the Hardcore or Extreme mode for seven days."
DifficultyLevel1,Regular
DifficultyLevel1Title,Regular - This default mode enforces the basic rules and restrictions.
DifficultyLevel1Text,"It's made to restrict you and keep you safe at the same time.\nLots of options can be configured under this mode.\nYou can select this mode any time, but you won't be able\nto select the Hardcore or Extreme mode for seven days."
DifficultyLevel2,Hardcore
DifficultyLevel2Title,Hardcore - This mode is geared for players wanting to be helpless.
DifficultyLevel2Text,"No rescue maid will come, and no NPC will help you out.\nNo safeword can be used, you must find help from players.\nYou must be a member for at least seven days to select this mode.\nYou cannot select this if you've changed mode in the last seven days."
DifficultyLevel3,Extreme
DifficultyLevel3Title,Extreme - This mode is built for players wanting to be full slaves.
DifficultyLevel3Text,"No rescue maid will come, and no NPC will help you out.\nNo safeword can be used and you cannot leave your owner.\nAll immersion settings are maxed, and you cannot block any item.\nYou cannot select this if you've changed mode in the last seven days."
DifficultyLevel0Label,Easy mode - Restrictions and game mechanisms\ncan be ignored with toggles.  For pure roleplayers.
DifficultyLevel1Label,"Normal mode - Basic restrictions are enforced,\nmany options to protect you.  For most players."
DifficultyLevel2Label,"Hard mode - No rescue maids, no safeword and no\nhelp from any NPC.  For players that want trouble."
DifficultyLevel3Label,"Slavery mode - No maids, no safeword, no NPC help,\nno blocked items, cannot leave owner.  Fully helpless."
DifficultyAlreadyPlayingOn,You're already playing on that difficulty mode.
DifficultyWaitSevenDays,You need to wait NumberOfHours hours before you can activate this mode.
DifficultyIAccept,I accept the consequences and want to use this mode.
DifficultyChangeMode,Go
RestrictionAccess,You can configure game restrictions to bypass in the multi-player environment.
RestrictionNoAccess,Players using the Roleplay difficulty can configure multi-player restrictions to bypass.
RestrictionBypassStruggle,Bypass the struggling mini-game.
RestrictionSlowImmunity,Cannot be slowed down from leaving a room.
RestrictionBypassNPCPunishments,Skip punishment when calling maids from chat room.
RestrictionNoSpeechGarble,Don't garble online chat and whispers when gagged.
CharacterLabelColor,Character label color:
AllowedInteractions,Allowed interactions:
AllowedInteraction0,"Everyone, no exceptions"
AllowedInteraction1,"Everyone, except blacklist"
AllowedInteraction2,"Owner, Lover, whitelist & Dominants"
AllowedInteraction3,"Owner, Lover and whitelist only"
AllowedInteraction4,Owner and Lover only
AllowedInteraction5,Owner only
ErrorInvalidColor,Put a valid hex #red-green-blue color
ColorTheme,Theme:
Light,Light
Dark,Dark
Light2, Light 2
Dark2,Dark 2
EnterLeaveStyle,Enter/Leave message style:
Normal,Normal
Smaller,Smaller
Hidden,Hidden
DisplayMemberNumbers,Display member numbers:
Always,Always
Never,Never
OnMouseover,On Mouseover
FontSize,Font size:
Small,Small
Medium,Medium
Large,Large
DisplayTimestamps,Display timestamps
ColorNames,Color names
ColorActions,Color actions
ColorEmotes,Color emotes
ColorActivities,Color activities
ShrinkNonDialogue,Shrink all messages except dialogue
ShowActivities,Show sexual activities & orgasms
MuStylePoses,Use : as alias for /me and *
AutoBanBlackList,Ban blacklist when creating a room
AutoBanGhostList,Ban ghostlist when creating a room
SearchFriendsFirst,Order rooms by number of friends
DisableAnimations,Disable scripted assets on others
ShowAutomaticMessages,Show all automatic messages
PreserveWhitespace,Preserve whitespace in messages
ShowChatRoomHelp,Show help on first enter
ShowBeepChat,Show beep notifications in chat
PreserveChat,Preserve chat logs between rooms
DisableReplies,Disable reply feature
ShowFriendRequestMessages,Show friend request messages
DefaultChatRoomBackground,Default chatroom background: 
ChatSettingsPage0,Page 1/2
ChatSettingsPage1,Page 2/2
AudioVolume,Audio volume
MusicVolume,Music volume
AudioPlayBeeps,Audio alarm for beeps
AudioPlayItem,Play item sounds in chatrooms
AudioPlayItemPlayerOnly,Only play item sounds if you're involved
AudioNotifications,Allow audio alerts for notifications
ImmersionLockSetting,Lock this menu while bound
