GGTSFailureStrike0,[GGTS] SourceCharacter disobeyed.  Strike recorded.  Sixty minutes removed.
GGTSFailureStrike1,[GGTS] SourceCharacter disobeyed.  Strike one recorded.  Three strikes equal punishment.
GGTSFailureStrike2,[GGTS] SourceCharacter disobeyed.  Strike two recorded.  Three strikes equal punishment.
GGTSFailureStrike3,[GGTS] SourceCharacter disobeyed.  Strike three recorded.  Level failed.  Report GGTS for punishment.
GGTSForbiddenWordStrike0,[GGTS] Forbidden word SourceCharacter.  Strike recorded.  Sixty minutes removed.
GGTSForbiddenWordStrike1,[GGTS] Forbidden word SourceCharacter.  Strike one recorded.  Three strikes equal punishment.
GGTSForbiddenWordStrike2,[GGTS] Forbidden word SourceCharacter.  Strike two recorded.  Three strikes equal punishment.
GGTSForbiddenWordStrike3,[GGTS] Forbidden word SourceCharacter.  Strike three recorded.  Level failed.  Report GGTS for punishment.
GGTSInteractionNewTaskTarget,[GGTS] SourceCharacter program new task for TargetCharacter.
GGTSInteractionPause5Target,[GGTS] SourceCharacter program five minutes pause for TargetCharacter.
GGTSInteractionSpeed10Target,[GGTS] SourceCharacter program normal pace for TargetCharacter.
GGTSInteractionSpeed20Target,[GGTS] SourceCharacter program slower pace for TargetCharacter.
GGTSInteractionSpeed5Target,[GGTS] SourceCharacter program faster pace for TargetCharacter.
GGTSIntroNotPlaying,[GGTS] GGTS control public room.  SourceCharacter unrecognized for GGTS.
GGTSIntroOnlyInAsylum,[GGTS] GGTS is only available in the asylum.
GGTSIntroPendingPunishment,[GGTS] GGTS inactive for SourceCharacter.  Three strikes recorded.  Report GGTS for punishment.
GGTSIntroPrivate,[GGTS] Launching GGTS private room.  Time counts triple.  GGTS more active.  Good girl follow commands.  Three strikes equal punishment.  GGTS in control.  Be good girl SourceCharacter.
GGTSIntroPrivateSlave,[GGTS] Launching GGTS private room.  Time counts triple.  GGTS more active.  Good slave follow commands.  Strike remove sixty minutes.  Master GGTS in control.  Be good slave SourceCharacter.
GGTSIntroPublic,[GGTS] GGTS control public room.  Be good girl SourceCharacter.
GGTSKeepPoseStrike0,[GGTS] SourceCharacter broke pose rule.  Strike recorded.  Sixty minutes removed.
GGTSKeepPoseStrike1,[GGTS] SourceCharacter broke pose rule.  Strike one recorded.  Three strikes equal punishment.
GGTSKeepPoseStrike2,[GGTS] SourceCharacter broke pose rule.  Strike two recorded.  Three strikes equal punishment.
GGTSKeepPoseStrike3,[GGTS] SourceCharacter broke pose rule.  Strike three recorded.  Level failed.  Report GGTS for punishment.
GGTSNoAdminLocked,[GGTS] Good girl do not administrate locked room.
GGTSNoAdminPrivate,[GGTS] Good girl do not administrate room.
GGTSOrgasmStrike0,[GGTS] SourceCharacter broke orgasm rule.  Strike recorded.  Sixty minutes removed.
GGTSOrgasmStrike1,[GGTS] SourceCharacter broke orgasm rule.  Strike one recorded.  Three strikes equal punishment.
GGTSOrgasmStrike2,[GGTS] SourceCharacter broke orgasm rule.  Strike two recorded.  Three strikes equal punishment.
GGTSOrgasmStrike3,[GGTS] SourceCharacter broke orgasm rule.  Strike three recorded.  Level failed.  Report GGTS for punishment.
GGTSTaskActivityBite,[GGTS] SourceCharacter.  Bite yourself.
GGTSTaskActivityBiteTarget,[GGTS] SourceCharacter.  Bite TargetCharacter.
GGTSTaskActivityCaress,[GGTS] SourceCharacter.  Caress yourself.
GGTSTaskActivityCaressTarget,[GGTS] SourceCharacter.  Caress TargetCharacter.
GGTSTaskActivityHandGag,[GGTS] SourceCharacter.  Place hand over your mouth.
GGTSTaskActivityHandGagTarget,[GGTS] SourceCharacter.  Place hand over TargetCharacter mouth.
GGTSTaskActivityKiss,[GGTS] SourceCharacter.  Kiss yourself.
GGTSTaskActivityKissTarget,[GGTS] SourceCharacter.  Kiss TargetCharacter.
GGTSTaskActivityLick,[GGTS] SourceCharacter.  Lick yourself.
GGTSTaskActivityLickTarget,[GGTS] SourceCharacter.  Lick TargetCharacter.
GGTSTaskActivityMasturbateHand,[GGTS] SourceCharacter.  Masturbate yourself.
GGTSTaskActivityMasturbateHandTarget,[GGTS] SourceCharacter.  Masturbate TargetCharacter.
GGTSTaskActivityNod,[GGTS] SourceCharacter.  Nod for GGTS.
GGTSTaskActivityPet,[GGTS] SourceCharacter.  Pet yourself.
GGTSTaskActivityPetTarget,[GGTS] SourceCharacter.  Pet TargetCharacter.
GGTSTaskActivityPinch,[GGTS] SourceCharacter.  Pinch yourself.
GGTSTaskActivityPinchTarget,[GGTS] SourceCharacter.  Pinch TargetCharacter.
GGTSTaskActivitySpank,[GGTS] SourceCharacter.  Spank yourself.
GGTSTaskActivitySpankTarget,[GGTS] SourceCharacter.  Spank TargetCharacter.
GGTSTaskActivityTickle,[GGTS] SourceCharacter.  Tickle yourself.
GGTSTaskActivityTickleTarget,[GGTS] SourceCharacter.  Tickle TargetCharacter.
GGTSTaskActivityWiggle,[GGTS] SourceCharacter.  Wiggle for GGTS.
