PlayerGagged,,,"(She looks at your gag and chuckles.) Someone had fun~ but we can't speak like this, return when you are more available.",,
ClubCardVictory,0,,"Good work~ you have potential to be a great player, enjoy your reward~",,
ClubCardDefeat,,,Now time for my reward: [~More Coming Soon~],,
BattleSuccess,70,,"(She looks at you with hate in her eyes, but you can feel some weakness behind her bravado)",,
BattleFail,70,,Now time for my reward~,,
CompleteQuestRelief,,,"Finally! I can feel the essence you gathered. Good work~ ",,
0,,,(Her predatory gaze locks onto you as her nine tails swaying lazily behind her.) “Welcome~”,,
0,5,Who are you?,"(She smiles softly, though something dangerous lurks behind it.) “My name is Daji. I’m a kitsune… and I’ve been waiting for someone like you~”",,
0,30,Do you play club cards?,I enjoy them~ but if you want to play be ready~ I always play for something ,,
0,,I need to go.  (Leave her.),,DialogLeave()
5,10,What you want from me?,"“I have a task just for you.” (A glint of hunger flickers in her eyes.) “Collect the essence of nine students and bring it to me.”",,
10,15,And what's in it for me?,I will grand you some of kitsune powers,,
10,20,Forget it,You will regret this! (She gets ready to fight.),,
15,95,I will do it,Good~ then I will wait for you here.,KitsuneStartQuest(),
15,20,Forget it,"(Her ears flatten, power crackling around her.) “Oh… you stupid little thing.”",,
20,90,(Run away),"Oh, you came back?",RunAway()
20,,(Fight her),,MagicBattleStart()
30,35,What are the stakes?,"If you win I will give you a card, but if you lose… I will tie you up and enjoy myself~",,
35,,Let's play.,,ClubCardStart()
35,0,I dont want to risk,Shame~,,
70,110,(Reach for her power),"(You sense the weakness she hides and reach for it. Slowly, irresistibly, her power flows into you. She resists, but it is in vain. At last, she lies spent on the ground… and her power is yours.) [(~Kitsune tails unlocked~)]",GiveTails(),
90,,(Fight her),"(Her ears flatten, power crackling around her.) “Oh… you stupid little thing.”",MagicBattleStart(),
90,95,Wait! I want to work with you!,"(She smiles, clearly pleased.) “I knew you’d make the right decision~”",KitsuneStartQuest(),
95,100,How I'm supposed to do this?,"Go back to school, after you defeat students, when they are bound and helpless, use this spell. (She teaches you a spell to drain essence)",KitsuneStartQuest(),"KitsuneQuestStarted()"
100,,(Leave for School),"How long I need to wait? You are still missing LEFTDEFEATCOUNT students to defeat!!!",RunAway(),"!KitsuneQuestCompleted()"
100,105,I did it!,"“Good work~” (A soft pink fog envelops you as she leans closer, her lips brushing your skin.) “Come… I will share secrets of my power~” (You hear her whisper and everything goes dark)",,"KitsuneQuestCompleted()"
105,130,(You look around), Daji is nowhere to be seen. You’re alone… yet you can feel your new power dwelling inside… and ready to be unleashed… [(~Kitsune tails unlocked~)],KitsuneDisappear(),
110,0,(Leave with your new powers),,RunAwayEnd()
130,0,(Leave with your new powers),,RunAwayEnd()
200,210,(Struggle and test your bondage.),(She smiles and removes your gag.)  You're cute when you struggle.  I won't let you go that easily.,UngagPlayer(0),
200,210,(Bow your head and whimper silently.),(She smirks and removes your gag.)  Such a cute subbie in bondage.  I won't let you go easily.,UngagPlayer(-3),
200,210,(Stare at her and grumble in your gag.),(She stares at you and removes your gag.)  You're a feisty one.  I won't let you go that easily.,UngagPlayer(1),
210,220,What do you have in mind?,I have some new spells I want to try on you.  You will be my guinea pig.,,
210,220,You have to let me go.,"Not yet, I have some new spells I want to try on you.  You will be my guinea pig.",,
220,230,"Fine, try your spell quick and let me go.",,LoserSpell(1),
220,230,"Alright, lets see your magic.",,LoserSpell(0),
220,230,(Bow your head.),,LoserSpell(-1),
SpellTightIntro,,,"(By waving her hands in the air, you can feel your restraints tighten and loosen with every move.  She's plays with your body like an orchestra conductor.)",,
SpellTight,,Be careful with that spell.,,LoserSpell(0),
SpellTight,,We're not at a concert you know.,,LoserSpell(0),
SpellTight,,(Sigh and endure.),,LoserSpell(0),
SpellFailIntro,,,(She tries to cast a complicated spell but loses her focus and completely misses the formula.  Nothing happens as she looks silly.),,
SpellFail,,What were you trying?,,LoserSpell(0),
SpellFail,,Try again Miss.,,LoserSpell(-1),
SpellFail,,What a sorry magician.,,LoserSpell(1),
SpellFail,,(Look at the clock.),,LoserSpell(0),
SpellHogtieIntro,,,(She prepares a bondage spell and your restraints tighten by magic.  Forcing you into a strict hogtie.),,
SpellHogtie,,I need to master that spell.,,LoserSpell(0),
SpellHogtie,,This is tight!,,LoserSpell(0),
SpellHogtie,,(Struggle playfully.),,LoserSpell(0),
SpellReleaseHogtieIntro,,,"(After many incantations, she successfully releases you from your hogtie, using her magic.)",,
SpellReleaseHogtie,,Thanks… I guess.,,LoserSpell(0),
SpellReleaseHogtie,,Will you release me now?,,LoserSpell(0),
SpellFlyingHogtieIntro,,,"(She summons the spirits of bondage.  You slowly start to move in the air in your hogtie.  Going up and down, floating and helpless.)",,
SpellFlyingHogtie,,Weeeeeeeee!,,LoserSpell(0),
SpellFlyingHogtie,,I'll show you true suspension soon.,,LoserSpell(2),
SpellFlyingHogtie,,Vincula magic is tight and comfy.,,LoserSpell(0),
SpellFlyingHogtie,,Oh please!  Let me down!,,LoserSpell(-2),
SpellArousalIntro,,,(She gazes deep in your eyes.)  You are now under my control~.  Surrender your body and soul and feel the pleasure building within you.  (You suddenly feel very aroused.),,
SpellArousal,,No!  (Try to resist her control magic.),,LoserSpell(2),
SpellArousal,,What?  What is going on?,,LoserSpell(0),
SpellArousal,,Oh yes Miss!  (Surrender to her magic.),,LoserSpell(-2),
SpellTickleIntro,,,"(She starts to chants a special spell.  Many feathers appear and start to fly all around you, tickling your body without mercy, making you laugh without control.)",,
SpellTickle,,Whaaahaha kind of magic is that?,,LoserSpell(0),
SpellTickle,,YYEEEEEEEEAAAAHAHAHA!,,LoserSpell(-2),
SpellTickle,,(Fight the tickling.)  That's not funny!,,LoserSpell(2),
SpellPainIntro,,,Now time for some flame fun~  (She does a fire spell and candles starts to light up everywhere.  Many of them fly around you and start to drip hot wax all over on your body.),,
SpellPain,,(Whimper from the pain and beg.),,LoserSpell(-2),
SpellPain,,That's a fire or an ice spell?,,LoserSpell(2),
SpellPain,,Your magic is interesting.,,LoserSpell(0),
SpellPain,,(Stay silent and try to avoid the wax.),,LoserSpell(0),
SpellSwitchRopeIntro,,,"(She dances a slow and strange magic ritual.  In a flash of light, your chains are suddenly replaced by ropes.)",,
SpellSwitchRope,,Well done girl.,,LoserSpell(0),
SpellSwitchRope,,Metal isn't my thing.,,LoserSpell(0),
SpellSwitchRope,,(Stay silent.),,LoserSpell(0),
SpellSwitchChainIntro,,,(She sings a magic spell in a foreign language.  All the lights turn dark for a second and your ropes are transformed in chains.),,
SpellSwitchChain,,You're getting good.,,LoserSpell(0),
SpellSwitchChain,,I've seen that trick before.,,LoserSpell(0),
SpellSwitchChain,,Can you change them back?,,LoserSpell(0),
