Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,自助餐厅的食物怎么样？,老实说这并不好，但总比饿死好。,10,0,0,
0,0,0,,学院食堂？我打赌这|食物一定很恶心。,你应该先自己判断|但我想你是对的，这并不好。,10,-1,0,
0,0,0,,今天的菜单上有什么？,今天是意大利面，但我必须提醒你，|意大利面不是他们最好的菜。,10,0,0,
0,0,0,,太好了！|我现在饿极了！,（她咯咯地笑了起来）好吧，别期望太高，食物不好吃。,10,1,0,
10,0,0,,像你这样聪明的女孩|一定知道更好的地方。,我…我…我想你可以试试|附近的一家小咖啡馆。,20,0,1,
10,0,0,,那还有更好的地方吃饭吗？,对附近有一家小咖啡馆，你可以试试。,20,0,0,
10,0,0,,拜托，拜托！|有更好的选择吗？,（她咯咯地笑了起来）|附近有一家小咖啡馆，你可以试试。,20,0,-1,
20,5,0,,太棒了！你愿意和我一起去吗？,当然我们现在该走了吗？,30,1,0,
20,0,5,,太好了！你会和我一起去。,我…但是……我想我可以带你去咖啡馆，小姐。,30,0,1,
20,1,-3,,Amanda小姐。你愿意和我一起去吗？,去拿你的钱包，我们现在就出发|（她抓住你的胳膊，不让你走）,30,0,-1,NoLeave()
20,0,0,NoOption,你想和我一起去吗？,不行，我的午饭已经安排好了。,40,0,0,
20,0,0,NoOption,你能带我看看那个地方吗？,不行，我的午饭已经安排好了。,40,0,0,
20,0,0,,我会去咖啡馆试试的|回头见。,那里会欢迎你的。|（她转过身去吃午饭）,50,0,0,EndLunch()
30,0,0,,我们走吧|（和Amanda一起吃饭）,（你们俩都走到附近的一家|餐馆，发现一张空桌子）,100,0,0,StartLunch()
40,0,0,,好吧，回头见。,到时候见|（她起身去吃午饭）,50,0,0,EndLunch()
40,0,0,,那就吃顿丰盛的午餐吧！,谢谢，我会的！你也一样|（她出去吃午饭）,50,1,0,EndLunch()
40,0,0,,你真差劲。,嗯。（她转过身去吃午饭）,50,-1,0,EndLunch()
100,0,0,,那么，你有什么建议吗？,汤和沙拉是我最喜欢的|对了，到目前为止你喜欢我们的学校吗？,110,0,0,
100,0,0,,我饿死了！|这里有什么好吃的？,（她看向别处）这的一切都很好吃|对了，到目前为止你喜欢我们的学校吗？,110,-1,1,
100,0,0,,我不知道该吃什么|你能帮我点菜吗？,如果你愿意，可以尝尝汤和沙拉|对了，到目前为止你喜欢我们的学校吗？,110,0,-1,
110,0,0,,哦，很棒！这似乎是|一所好学校。,没有错！你在这里学习是为了成为…？,120,0,0,GoodMatch()
110,0,0,,这所学校简直|就是个疯人院。,我不太同意，你在这里学习是为了成为…？,120,-1,0,BadMatch()
110,0,0,,我从未见过如|此另类的学校。,（她咯咯地笑了）那你在这里学习是为了成为…？,120,0,0,
110,0,0,,从几个小时的|时间里很难判断。,的确如此，那你在这里学习是为了成为…？,120,0,0,GoodMatch()
110,0,0,,这是一所相当|无聊的学校。,我想有些课程确实可能会有点无聊。|那你在这里学习是为了成为…？,120,0,0,
120,0,0,,音乐家,很不错，你最喜欢的课是什么？,130,0,0,
120,0,0,,医生,非常好啊，你最喜欢的课是什么？,130,0,0,GoodMatch()
120,0,0,,运动员,我的运动很差。|你最喜欢的课是什么？,130,0,0,BadMatch()
120,0,0,,老师,非常好啊，你最喜欢的课是什么？,130,0,0,GoodMatch()
120,0,0,,演员,很不错。你最喜欢的课是什么？,130,0,0,
120,0,0,,施虐狂,认真点，你最喜欢的课是什么？,130,0,0,
120,0,0,,建筑师,非常好啊，你最喜欢的课是什么？,130,0,0,GoodMatch()
120,0,0,,农民,很不错，你最喜欢的课是什么？,130,0,0,
120,0,0,,程序员,非常好啊，你最喜欢的课是什么？,130,0,0,GoodMatch()
120,0,0,,我还不知道,你很快就会知道的|你最喜欢的课是什么？,130,0,0,BadMatch()
130,0,0,,数学,太棒了，你最喜欢的爱好是什么？,140,0,0,GoodMatch()
130,0,0,,音乐,好吧，你最喜欢的爱好是什么？,140,0,0,
130,0,0,,英语,好吧，你最喜欢的爱好是什么？,140,0,0,
130,0,0,,健身房,我不太喜欢运动|那你最喜欢的爱好是什么？,140,0,0,BadMatch()
130,0,0,,化学,太棒了，你最喜欢的爱好是什么？,140,0,0,GoodMatch()
130,0,0,,法语,太棒了，你最喜欢的爱好是什么？,140,0,0,GoodMatch()
130,0,0,,艺术,好吧，那你最喜欢的爱好是什么？,140,0,0,
130,0,0,,历史,太棒了，你最喜欢的爱好是什么？,140,0,0,GoodMatch()
130,0,0,,剧院,好吧，那你最喜欢的爱好是什么？,140,0,0,
130,0,0,,我不知道。,胡说，每个人都有自己喜欢的课|那你最喜欢的爱好是什么？,140,0,0,BadMatch()
140,0,0,,打篮球,我不喜欢运动。|（一位女服务员进来打断了你们，询问点餐的需求）,150,0,0,BadMatch()
140,0,0,,玩摇滚乐,真的么？|（一位女服务员进来打断了你们，询问点餐的需求）,150,0,0,
140,0,0,,打电子游戏,哇哦！|（一位女服务员进来打断了你们，询问点餐的需求）,150,0,0,GoodMatch()
140,0,0,,去当啦啦队,真的么？|（一位女服务员进来打断了你们，询问点餐的需求）,150,0,0,
140,0,0,,去参加聚会,真的么？|（一位女服务员进来打断了你们，询问点餐的需求）,150,0,0,
140,0,0,,去玩角色扮演,哇哦！|（一位女服务员进来打断了你们，询问点餐的需求）,150,0,0,GoodMatch()
140,0,0,,喝酒,这太糟糕了。|（一位女服务员进来打断了你们，询问点餐的需求）,150,0,0,BadMatch()
140,0,0,,古典音乐,哇哦！|（一位女服务员进来打断了你们，询问点餐的需求）,150,0,0,GoodMatch()
140,0,0,,做爱,（她脸红了）天哪！！|（一位女服务员进来打断了你们，询问点餐的需求）,150,0,0,GoodMatch()
140,0,0,,我没有什么爱好,真的么？|（一位女服务员进来打断了你们，询问点餐的需求）,150,0,0,
150,0,0,,请给我一份沙拉。,（她微笑着点了同样的菜）|同学，这是个很好的选择。,160,0,0,GoodMatch()
150,0,0,,请给我来一份牛排。,（她微笑着点了汤和沙拉）|你午餐可以吃下一整块牛排吗？,160,0,0,BadMatch()
150,0,0,,请给我一碗汤就好,（她微笑着点了同样的菜）|同学，这是个很好的选择。,160,0,0,GoodMatch()
150,0,0,,请给我一个汉堡包。,（她微笑着点了汤和沙拉）|希望你喜欢这里的食物。,160,0,0,
150,0,0,,请给我一份|墨西哥卷饼。,（她微笑着点了汤和沙拉）|希望你喜欢这里的食物。,160,0,0,
150,0,0,,请给我来一份|芝士蛋糕。,（她微笑着点了汤和沙拉）|希望你喜欢这里的食物。,160,0,0,
150,0,0,,请给我汤和沙拉。,（她微笑着点了同样的菜）|同学，这是个很好的选择。,160,0,0,GoodMatch()
150,0,0,,请给我来一只|辣味的热狗。,（她微笑着点了汤和沙拉）|希望你喜欢这里的食物。,160,0,0,
150,0,0,,请给我来一份|意大利面。,（她微笑着点了同样的菜）|同学，这是个很好的选择。,160,0,0,GoodMatch()
150,0,0,,请给我来杯水就好。,（她点了汤和沙拉）|你应该多喝水。,160,0,0,BadMatch()
160,0,0,,祝你用餐愉快|（开始吃着午餐）,你也是~|（你们吃完午餐后，账单送了过来）,170,1,0,EatLunch()
160,0,0,,我先开动啦|（开始吃着午餐）,（你们吃完午餐后，账单送了过来）,170,0,0,EatLunch()
160,0,0,,赶快吃！|（开始吃着午餐）,请不要催促……|（你们吃完午餐后，账单送了过来）,170,-1,1,EatLunch()
170,0,0,,我一分钱都没有，|你能付账吗？,你应该早点说|我们回学校吧,180,-1,-1,BadMatch()
170,0,0,,你能请我这顿饭吗？|下次换我请你。,（她皱着眉头）好吧。|我们回学校吧。,180,-1,0,
170,0,0,,我来买单,你真是太好了|那我们回学校去吧。,180,0,1,
170,0,0,,我们应该平分账单,这听起来很公平|那我们回学校吧。,180,0,0,GoodMatch()
170,0,0,,我们逃单吧？,别傻了，我会付钱的|我们回学校吧。,180,-1,0,BadMatch()
180,0,0,,好的|（回到学校）,,0,0,0,TestMatch()
180,0,0,,我们也想回学校了|（回到学校）,,0,0,0,TestMatch()
200,0,0,,铃响之前我们还有时间吗？,（她咯咯地笑了）|这点时间你想做什么呢？,210,0,0,
200,0,0,,谢谢你带我参观|这家可爱的咖啡馆。,那真荣幸！我们玩得很开心。,210,1,-1,
200,0,0,,我想让你知道|我玩得很开心。,我也是！我们似乎相处得很好。,210,1,0,
200,0,0,HasSeduction,Amanda，你是这所|学院里最可爱的人。,（她脸红了，咯咯地笑了起来）|你也很可爱~COMMON_PLAYERNAME。,210,2,0,
200,0,0,,我可以吻你吗？ADD_MINUTES:1,（她点了点头，把嘴唇贴在你的嘴唇上）,220,1,0,Kiss()
200,0,0,,（保持沉默，然后吻她）,,220,0,1,Kiss()
200,0,0,,最好不要迟到了|（回到学院）,,0,0,0,EndBonus()
210,0,0,,我爱你，Amanda。ADD_MINUTES:1,（她脸红了，把嘴唇贴在你的嘴唇上）,220,1,0,Kiss()
210,0,0,,我可以吻你吗？ADD_MINUTES:1,（她点了点头，把嘴唇贴在你的嘴唇上）,220,1,-1,Kiss()
210,0,0,,（保持沉默，然后吻她）,（你们一声不吭地亲吻对方的嘴唇）,220,0,1,Kiss()
210,0,0,,最好不要迟到了|（回到学院）,,0,0,0,EndBonus()
220,0,0,,（再次吻她）ADD_MINUTES:1,（你抓住她，再次亲吻她，而她则轻声呻吟）,220,0,0,
220,0,0,,你的嘴唇像天使一样甜美。ADD_MINUTES:1,（你们紧紧相拥，用舌头深情地亲吻对方）,230,1,0,
220,0,0,,（和她来了一个法式热吻）ADD_MINUTES:1,（你们紧紧相拥，用舌头深情地亲吻对方）,230,0,0,
220,0,0,,最好不要迟到了|（回到学院）,,0,0,0,EndBonus()
230,0,0,,♥嗯…嗯!!|(紧紧的亲吻在一起)ADD_MINUTES:1,（你们俩都跟上节奏，玩着彼此的舌头）,230,0,0,
230,0,0,MakeLoveReady,你想和我做爱吗？,对不起，我已经心有所属了|即使她还不知道（轻轻的叹了口气）,230,0,0,TestMakeLove()
230,0,0,,最好不要迟到了|（回到学院）,,0,0,0,EndBonus()
240,0,0,,（吻她）ADD_MINUTES:1,（你们温柔地亲吻对方。|每次触碰都会发出呻吟）,240,0,0,Kiss()
240,0,0,,（按摩她的乳房）ADD_MINUTES:1,（你们深情地互相按摩乳房|轻轻挤压而不受伤）,240,0,0,
240,0,0,,（抚摸她的私处）ADD_MINUTES:1,（你们俩互相手淫，轻声呻吟，确保没有人在看）,240,0,0,LoveMasturbate()
240,0,0,,最好不要迟到了|（回到学院）,,0,0,0,EndBonus()
250,0,0,,我从来没有被那样碰过,（她咯咯地笑了起来）天哪|我肯定你在夸大其词。,260,0,-1,
250,0,0,,哇！我完全说不出话来了。,（她点了点头，脸红了）|这太出乎意料了。,260,0,0,
250,0,0,,这感觉太棒了！,（她脸红了）是的|这太出乎意料了。,260,0,0,
250,0,0,,你也高潮了吗？,（她红着脸）这感觉真是棒极了。,260,0,1,
250,0,0,,你在想别人吗？,我…没有！这个…对不起。,260,-1,1,
250,0,0,,最好不要迟到了|（回到学院）,,0,0,0,EndBonus()
260,0,0,,我需要一个吻，|亲爱的ADD_MINUTES:1,（她点点头，温柔地吻了你）,280,1,0,Kiss()
260,0,0,,（保持沉默，然后吻她）,（你们温柔地亲吻对方）,280,0,1,Kiss()
260,0,0,,下次我会做的更好的,别这么说，这次已经很棒了|我们回学校去吧。,270,0,-1,
260,0,0,,下次你高潮时|一定会更加疯狂的,（她对你的话皱眉头）|我们回学校去吧。,270,-1,1,
260,0,0,,最好不要迟到了|（回到学院）,,0,0,0,EndBonus()
270,0,0,,我们一起走吧|（回到学院）,,0,0,0,EndBonus()
270,0,0,,我一个人走回去|（回到学院）,,0,-1,0,EndBonus()
270,0,0,,最好不要迟到了|（回到学院）,,0,0,0,EndBonus()
280,0,0,,（再次吻住她）ADD_MINUTES:1,（她咯咯地笑着又吻了你）,280,0,0,
280,0,0,,最好不要迟到了|（回到学院）,,0,0,0,EndBonus()
300,0,0,,（保持沉默，然后强吻她）,（你把她推到栅栏上，吻了吻她的嘴唇）,310,0,1,Kiss()
300,0,0,,我现在想要一个吻~ADD_MINUTES:1,（你把她推到栅栏上，吻了吻她的嘴唇）,310,0,1,Kiss()
300,0,0,,你真漂亮~|我可以吻你吗？ADD_MINUTES:1,（当你把她推到栅栏上，亲吻她的嘴唇时，她点了点头）,310,1,0,Kiss()
300,1,0,,我想让你知道|我玩得很开心。,我也是！我们似乎相处得很好。,320,1,0,
300,0,0,,你今天玩得开心吗？,哦，是的！我们似乎相处得很好。,320,0,0,
