Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,A jak se v té|jídelně vaří?,"Abych pravdu řekla, nic moc,|ale je to lepší, než hladovět.",10,0,0,
0,0,0,,"Školní jídelna? Vsadím se,|že tam vaří hnusně.","Asi bys to měla posoudit sama,|ale víceméně máš pravdu, není to nic moc.",10,-1,0,
0,0,0,,Co dnes dávají?,"Dneska jsou špagety, ale musím tě varovat.|Těstoviny jim moc nejdou.",10,0,0,
0,0,0,,Mňam!|Mám hlad jako vlk!,"(Chichotá se.) No, nedělej si velké naděje.|Jídlo tam moc dobré nedělají.",10,1,0,
10,0,0,,Chytrá holka jako ty musí|vědět o lepším místě.,"Já… Já… Já si myslím,|že bys mohla zkusit nedalekou kavárnu.",20,0,1,
10,0,0,,A dá se tady|někde najíst líp?,"Ano. Tady kousek je kavárna, co bys mohla zkusit.",20,0,0,
10,0,0,,"Je nějaká lepší možnost?|Prosím, prosím, prosím!","(Chichotá se.) Kousek odsud je kavárna,|co bys mohla zkusit.",20,0,-1,
20,5,0,,"Super! Půjdeš|se mnou, kámoško?",Jistě! Vyrazíme hned teď?,30,1,0,
20,0,5,,Perfektní!|A ty půjdeš se mnou!,"Já… Ale… Myslím, že bych vám|tu kavárnu mohla ukázat, slečno.",30,0,1,
20,1,-3,,"Půjdete tam se mnou,|slečno Amando?",Vezmi si peněženku a vyrazíme!|(Popadne tě za paži a nenechá tě odejít.),30,0,-1,NoLeave()
20,0,0,NoOption,Chceš tam jít se mnou?,"Nemůžu, na oběd už mám jiné plány.",40,0,0,
20,0,0,NoOption,Mohla bys mi|to místo ukázat?,"Nemůžu, na oběd už mám jiné plány.",40,0,0,
20,0,0,,"Já tu kavárnu tedy|zkusím, tak zatím!",Měj se. (Otáčí se a míří na oběd.),50,0,0,EndLunch()
30,0,0,,Tak jdeme!|(Najez se s Amandou.),(Odcházíte spolu do nedaleké restaurace|a nacházíte si volný stůl.),100,0,0,StartLunch()
40,0,0,,"Tak jo,|uvidíme se později.",Zatím ahoj!|(Vyráží na oběd.),50,0,0,EndLunch()
40,0,0,,Tak si to pořádně užij!,"Díky, užiju! A ty taky!|(Vyráží na oběd.)",50,1,0,EndLunch()
40,0,0,,S tebou je otrava!,Hm.|(Otáčí se a odchází na oběd.),50,-1,0,EndLunch()
100,0,0,,Tak co doporučuješ?,"Nejraději mám polévku a salát.|Tak co, líbí se ti zatím naše škola?",110,0,0,
100,0,0,,Mám hlad jak vlk!|Co tady mají dobrého?,"(Dívá se jinam.) Všechno tady mají dobré.|Tak co, líbí se ti zatím naše škola?",110,-1,1,
100,0,0,,"Nevím, co si dát. Mohla|bys objednat za mě?","Můžeš zkusit polévku a salát, jestli chceš.|Tak co, líbí se ti zatím naše škola?",110,0,-1,
110,0,0,,"Moc! Zdá se, že|je to dobrá univerzita.",Je to tak! A co bys vlastně chtěla být?,120,0,0,GoodMatch()
110,0,0,,"Tahle škola, to je|hotový blázinec.",Nesouhlasím. A co bys vlastně chtěla být?,120,-1,0,BadMatch()
110,0,0,,Takhle úchylnou školu|jsem ještě neviděla.,(Chichotá se.) A co bys vlastně chtěla být?,120,0,0,
110,0,0,,"Těžko soudit,|z těch pár hodin.",Máš naprostou pravdu.|A co bys vlastně chtěla být?,120,0,0,GoodMatch()
110,0,0,,Je to pěkně|nudná škola.,Některé hodiny jsou asi nudné.|A co bys vlastně chtěla být?,120,0,0,
120,0,0,,Muzikantka.,Aha. A co je tvůj oblíbený předmět?,130,0,0,
120,0,0,,Doktorka.,To je pěkné! A co je tvůj oblíbený předmět?,130,0,0,GoodMatch()
120,0,0,,Atletka.,Sport mi nikdy moc nešel.|A co je tvůj oblíbený předmět?,130,0,0,BadMatch()
120,0,0,,Učitelka.,To je pěkné! A co je tvůj oblíbený předmět?,130,0,0,GoodMatch()
120,0,0,,Herečka.,Aha. A co je tvůj oblíbený předmět?,130,0,0,
120,0,0,,Domina.,"Nezlehčuj to! A co je tvůj oblíbený předmět?",130,0,0,
120,0,0,,Architektka.,To je pěkné! A co je tvůj oblíbený předmět?,130,0,0,GoodMatch()
120,0,0,,Farmářka.,Aha. A co je tvůj oblíbený předmět?,130,0,0,
120,0,0,,Programátorka.,To je pěkné! A co je tvůj oblíbený předmět?,130,0,0,GoodMatch()
120,0,0,,Ještě nevím.,Brzy se už budeš muset rozhodnout.|A co je tvůj oblíbený předmět?,130,0,0,BadMatch()
130,0,0,,Matika.,Super! A jakého máš koníčka?,140,0,0,GoodMatch()
130,0,0,,Hudebka.,Dobře. A jakého máš koníčka?,140,0,0,
130,0,0,,Čeština.,Dobře. A jakého máš koníčka?,140,0,0,
130,0,0,,Tělocvik.,Sportování nemám moc ráda.|A jakého máš koníčka?,140,0,0,BadMatch()
130,0,0,,Chemie.,Super! A jakého máš koníčka?,140,0,0,GoodMatch()
130,0,0,,Francouzština.,Super! A jakého máš koníčka?,140,0,0,GoodMatch()
130,0,0,,Výtvarka.,Dobře. A jakého máš koníčka?,140,0,0,
130,0,0,,Dějepis.,Super! A jakého máš koníčka?,140,0,0,GoodMatch()
130,0,0,,Drama.,Dobře. A jakého máš koníčka?,140,0,0,
130,0,0,,Nevím.,"Nesmysl, každý má nějakou oblíbený předmět!|A jakého máš koníčka?",140,0,0,BadMatch()
140,0,0,,Basketbal.,Já sport ráda nemám.|(Servírka vás přerušuje s objednávkou jídla.),150,0,0,BadMatch()
140,0,0,,Rockovou muziku.,Fakt?|(Servírka vás přerušuje s objednávkou jídla.),150,0,0,
140,0,0,,Videohry.,Skvěle!|(Servírka vás přerušuje s objednávkou jídla.),150,0,0,GoodMatch()
140,0,0,,Roztleskávání.,Fakt?|(Servírka vás přerušuje s objednávkou jídla.),150,0,0,
140,0,0,,Chození na párty.,Fakt?|(Servírka vás přerušuje s objednávkou jídla.),150,0,0,
140,0,0,,Hry na hrdiny.,Skvěle!|(Servírka vás přerušuje s objednávkou jídla.),150,0,0,GoodMatch()
140,0,0,,Pořádně se opít.,To je pěkné hnusné!|(Servírka vás přerušuje s objednávkou jídla.),150,0,0,BadMatch()
140,0,0,,Klasickou hudbu.,Skvěle!|(Servírka vás přerušuje s objednávkou jídla.),150,0,0,GoodMatch()
140,0,0,,Milování.,(Červená se.) Božíčku!|(Servírka vás přerušuje s objednávkou jídla.),150,0,0,GoodMatch()
140,0,0,,Já žádné koníčky nemám.,Fakt?|(Servírka vás přerušuje s objednávkou jídla.),150,0,0,
150,0,0,,"Salát, prosím.","(Usmívá se a objednává si totéž.)|Velmi dobrá volba, spolužačko.",160,0,0,GoodMatch()
150,0,0,,"Steak, prosím.",(Usmívá se a objednává si polévku a salát.)|To opravdu dokážeš k obědu sníst celý steak?,160,0,0,BadMatch()
150,0,0,,"Polévku, prosím.","(Usmívá se a objednává si totéž.)|Velmi dobrá volba, spolužačko.",160,0,0,GoodMatch()
150,0,0,,"Hamburger, prosím.","(Usmívá se a objednává si polévku a salát.)|Doufám, že ti tu bude chutnat.",160,0,0,
150,0,0,,"Talíř nachos, prosím.","(Usmívá se a objednává si polévku a salát.)|Doufám, že ti tu bude chutnat.",160,0,0,
150,0,0,,"Jen cheesecake, prosím.","(Usmívá se a objednává si polévku a salát.)|Doufám, že ti tu bude chutnat.",160,0,0,
150,0,0,,"Polévku a salát, prosím.","(Usmívá se a objednává si totéž.)|Velmi dobrá volba, spolužačko.",160,0,0,GoodMatch()
150,0,0,,"Hot dog s chilli, prosím.","(Usmívá se a objednává si polévku a salát.)|Doufám, že ti tu bude chutnat.",160,0,0,
150,0,0,,"Fettuccine alfredo,|prosím.","(Usmívá se a objednává si totéž.)|Velmi dobrá volba, spolužačko.",160,0,0,GoodMatch()
150,0,0,,"Jen vodu, prosím.",(Objednává si polévku a salát.)|Měla by sis dát víc než jen vodu.,160,0,0,BadMatch()
160,0,0,,Bon appetite!|(Sněz svůj oběd.),"Bon appetite! (Obě jste obslouženy,|sníte svůj oběd a přichází účet.)",170,1,0,EatLunch()
160,0,0,,Dobrou chuť!|(Sněz svůj oběd.),"Tobě taky! (Obě jste obslouženy,|sníte svůj oběd a přichází účet.)",170,0,0,EatLunch()
