Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,"Ahoj COMMON_PLAYERNAME, jak to jde?",JenniferIntro.jpg
0,4,0,,COMMON_PLAYERNAME! Ráda tě zase vidím!,JenniferIntroHappy.jpg
0,0,4,,Zdravím Vás slečno Miss COMMON_PLAYERNAME.|Co pro vás můžu udělat?,JenniferIntroSubbie.jpg
0,0,0,JudoVictory,Ooo! Černý pás v judu!|Co pro tebe můžu udělat?,JenniferIntroSubbie.jpg
0,0,0,JudoDefeat,Ooo! Můj parťák v judu!|Co pro tebe můžu udělat?,JenniferIntro.jpg
0,0,0,HasEgg,Ta věc ve mně pořád vibruje!|Doufám že už brzy půjde vyndat.,JenniferIntroSubbie.jpg
10,0,0,,Půjdu si před obědem zahrát tenis.|Nechceš jít se mnou?,JenniferIntro.jpg
10,4,0,,Půjdu si před obědem zahrát tenis.|Nechceš jít se mnou?,JenniferIntroHappy.jpg
10,0,4,,Půjdu si před obědem zahrát tenis.|Nechceš jít se mnou?,JenniferIntroSubbie.jpg
15,0,0,,Půjdu si před obědem zahrát tenis.|Nechceš si jít zítra zahrát se mnou?,JenniferIntro.jpg
15,4,0,,Půjdu si před obědem zahrát tenis.|Nechceš si jít zítra zahrát se mnou?,JenniferIntroHappy.jpg
15,0,4,,Půjdu si před obědem zahrát tenis.|Nechceš si jít zítra zahrát se mnou?,JenniferIntroSubbie.jpg
20,0,0,,Chtěla by sis zahrát tenis?|Co máš na mysli?,JenniferIntro.jpg
20,4,0,,Chtěla by sis zahrát tenis?|Co máš na mysli?,JenniferIntroHappy.jpg
20,0,4,,Chtěla by sis zahrát tenis?|Co máš na mysli?,JenniferIntroSubbie.jpg
30,0,0,,O co by ses vlastně chtěla vsadit?|Poražený zaplatí oběd?,JenniferIntro.jpg
30,4,0,,O co by ses vlastně chtěla vsadit?|Poražený zaplatí oběd?,JenniferIntroHappy.jpg
30,0,4,,O co by ses vlastně chtěla vsadit?|Poražený zaplatí oběd?,JenniferIntroSubbie.jpg
40,0,0,,Jsi připravená hrát?,JenniferIntro.jpg
40,4,0,,Jsi připravená hrát?,JenniferIntroHappy.jpg
40,0,4,,Jsi připravená hrát?,JenniferIntroSubbie.jpg
90,0,0,,(Jennifer je pryč.),JenniferIntroGone.jpg
100,0,0,TennisVictory,"(Po hře jdete do kavárny.)|Hrála jsi dobře, zasloužíš si oběd zadarmo.",JenniferPlayerLunch0.jpg
100,0,0,!TennisVictory,"(Po hře jdete do kavárny.)|Nic si z té prohry nedělej, hraju už roky.",JenniferPlayerLunch0.jpg
105,0,0,,,JenniferPlayerLunch0.jpg
110,0,0,,,JenniferPlayerLunch0.jpg
113,0,0,,,JenniferPlayerLunch0.jpg
116,0,0,,,JenniferPlayerLunch0.jpg
120,0,0,,,JenniferPlayerLunch0.jpg
130,0,0,,,JenniferPlayerLunch0.jpg
140,0,0,,,JenniferPlayerLunch0.jpg
150,0,0,,,JenniferPlayerLunch0.jpg
160,0,0,,,JenniferPlayerLunch0.jpg
170,0,0,,,JenniferPlayerLunch0.jpg
175,0,0,,,JenniferPlayerLunch0.jpg
180,0,0,,,JenniferPlayerLunch0.jpg
185,0,0,,,JenniferPlayerLunch0.jpg
200,0,0,,,JenniferPlayerTennis.jpg
210,0,0,,,JenniferPlayerKiss.jpg
215,0,0,,,JenniferPlayerTennis.jpg
220,0,0,,,JenniferPlayerTennis.jpg
230,0,0,,,JenniferPlayerTennis.jpg
240,0,0,,,JenniferStrip.jpg
250,0,0,,,JenniferPlayerTennis.jpg
260,0,0,,,JenniferPlayerTennis.jpg
270,0,0,,,JenniferPlayerKiss.jpg
300,0,0,,,JenniferPlayerTennis.jpg
310,0,0,,,JenniferPlayerTennis.jpg
320,0,0,,,JenniferPlayerTennis.jpg
330,0,0,,,JenniferPlayerPushUp.jpg
340,0,0,,,JenniferPlayerTennis.jpg
350,0,0,,,JenniferPlayerTennis.jpg
360,0,0,,,JenniferPlayerTennis.jpg
400,0,0,,,JenniferPlayerPunish.jpg
410,0,0,,,JenniferPlayerPunish.jpg
420,0,0,,,JenniferPlayerPunish.jpg
430,0,0,,,JenniferPlayerPunish.jpg
440,0,0,,,JenniferPlayerPunishStrip.jpg
450,0,0,,,JenniferPlayerPunishStrip.jpg
460,0,0,,,JenniferPlayerPunishRacket.jpg
470,0,0,,,JenniferPlayerPunishStrip.jpg
480,0,0,,,JenniferPlayerPunish.jpg
