Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,EggRemarkAvail,跳蛋会让你想起你的位置。,我的地方？（她往下看）|那……那不太好。,0,-1,1,EggRemark()
0,0,0,EggRemarkAvail,跳蛋的事我很抱歉|你会在家里把它拿走。,我想没关系。我们不要再谈这个了。,0,1,-1,EggRemark()
0,0,0,,你要去打网球吗？,对你想和我玩吗？,10,0,0,
0,0,0,,你为什么穿成那样？,我要去打网球|你想和我玩吗？,10,0,0,
0,0,0,,你穿那条裙子很可爱。,谢谢！我要去打网球|你想和我玩吗？,10,1,0,
0,0,0,,你穿那条裙子看起来很傻,它过时了吗？我要去打网球|你想和我玩吗？,10,-1,0,
0,0,0,,这条裙子让你的臀部|看起来很丰满。,（她看了看裙子，脸红了）|你想和我打网球吗？,10,0,1,
10,4,0,,如果获胜有奖励的话，|我们可以一起。,奖励？你有什么想法？,20,0,0,
10,0,4,,如果能让比赛更|有趣点，那可以考虑。,为比赛增添趣味|你有什么想法？,20,0,0,
10,0,0,NoOption,如果你愿意，我们|可以一起打。,好啊!不过我今天不能和你玩|明天可以一起吗？,15,0,0,
10,0,0,NoOption,当然了！我们一起吧|这会很有趣,太棒了不过我今天不能和你玩|明天可以一起吗？,15,1,0,
10,0,0,,我现在不能玩|不过祝你玩得很开心。,当然了~谢谢（她去打网球了）,90,0,0,EndLunch()
10,0,0,,抱歉，只有小孩|才会玩网球。,好吧，小姐。祝你午餐愉快|（她低下头去打网球）,90,-1,1,EndLunch()
10,0,0,,我当然想了，但我网球|打得不好，还是算了。,你这种态度永远不会打好球的！|（她带上行李去打网球）,90,0,-1,EndLunch()
15,0,0,,好的，那我们|明天再一起玩。,就这么说定！祝你午餐愉快|（她收拾行李去打网球）,90,0,0,EndLunch()
15,0,0,,不行！现在你就要|和我一起玩！,那就没得谈了，好好吃午饭吧|（她收拾行李去打网球）,90,-1,0,EndLunch()
20,0,0,,输的人要给赢家当|奴隶，一直到午饭结束。,奴隶？你是说输家需要付午餐钱？,30,0,1,
20,0,0,,输的人要服从赢家|一直到午饭结束。,服从？你是说输家得付午餐钱？,30,0,0,
20,0,0,,让我再考虑一下。|我不想玩了。,好吧，回头见|（她收拾行李出发去打网球）,90,0,0,EndLunch()
30,0,0,HasSeduction,可爱的Jennifer~|你无法拒绝这挑战。,（她脸红了，看着地板）|确实如此，你现在准备好了吗？,40,1,1,
30,0,0,,是的，谁输了，谁就会|付出代价并服从对方。,你这赌注真的很奇怪，|但我愿意！我们现在出发吗？,40,0,0,
30,0,0,,别让我重复|你到底玩不玩？,（她皱了皱眉头，为了证明自己）|好吧！你现在准备好了吗？,40,-1,0,
30,0,0,,让我再考虑一下。|我不想玩了。,好吧，回头见|（她收拾行李出发去打网球）,90,0,0,EndLunch()
40,0,0,,放轻松，别太认真|（去打网球）,,100,0,0,"PlayTennis(""Easy"")"
40,0,0,,这是一个有趣的游戏~|（去打网球）,,100,0,0,"PlayTennis(""Normal"")"
40,0,0,,我要碾压你！|（去打网球）,,100,0,0,"PlayTennis(""Hard"")"
40,0,0,,让我再考虑一下。|我不想玩了。,好吧，回头见|（她收拾行李出发去打网球）,90,0,0,EndLunch()
100,0,0,TennisVictory,你还记得那个赌注吗？|午饭期间你要服从~,我还是不知道你想做什么|但当然，我会服从并支付午餐费用。,110,0,1,
100,0,0,TennisVictory,这个赌注|让我发挥的很好。,我仍然不确定你在想什么|当然，我会为你支付餐费。,110,0,0,
100,0,0,TennisVictory,你打得很好|我只是运气好。,谢谢，我会多练习，变得更好|现在，您将享受免费用餐。,110,1,0,
100,0,0,!TennisVictory,太阳太刺眼了，而你有|遮阳帽这不公平。,不要那样找借口|我公平地赢得了比赛和赌注。,105,-1,0,
100,0,0,!TennisVictory,对我而言，|你真的太强了,振作起来，开始练习吧|下次你可能会赢。,105,0,-1,
100,0,0,!TennisVictory,这真是一场有趣的比赛,没错，如果我们再比一次|你可能会赢。,105,0,0,
105,0,0,,好吧，小姐。|午餐我会听你的。,服从我？你听起来很顺从|我肯定会喜欢我的免费餐。,110,0,-1,
105,0,0,,你还记得赌注的条款吗？,（她笑了）是的，你午饭要听我的|我一定会喜欢这顿免费饭的。,110,0,0,
105,0,0,,我会做你的奴隶，|直到午饭结束。,我的奴隶？听起来很糟糕|不过，我会享受我的免费餐。,110,-1,-1,
110,0,0,,你想要吃什么？,什么都可以，只要是健康的东西|你也有健康的饮食吗？,113,0,0,
110,0,0,,我们应该吃点什么？,沙拉或纯素餐|你有健康的饮食吗？,113,0,0,
110,0,0,,你找到的地方|看起来真不错,我不常来这里|我很少和朋友一起吃饭。,116,0,0,
110,0,0,,这家餐馆看起来不错,我不常来这里|我很少和朋友一起吃饭。,116,0,0,
113,0,0,,健康饮食？|这可不太合我的胃口,你错了，健康的饮食非常重要|那么，你未来想从事哪方面的工作呢？,120,0,0,BadMatch()
113,0,0,,不|我经常喝啤酒吃蛋糕,你应该更认真地对待饮食|那么，你未来想从事哪方面的工作呢？,120,0,0,BadMatch()
113,0,0,,我会在健康和快乐|之间找到平衡点的,年轻的话这样也没问题|那么，你未来想从事哪方面的工作呢？,120,0,0,
113,0,0,,我会时不时地|尝试吃些健康的食物,年轻的话这样也没问题|那么，你未来想从事哪方面的工作呢？,120,0,0,
113,0,0,,我尽量吃纯素食。,这是个非常好的信仰|那么，你未来想从事哪方面的工作呢？,120,0,0,GoodMatch()
