Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,EggRemarkAvail,"To vajíčko ti ukazuje,|kde je tvoje místo.",Moje místo? (Dívá se dolů.)|To… to od tebe není moc hezké.,0,-1,1,EggRemark()
0,0,0,EggRemarkAvail,Promiň za to vajíčko.|Doma si ho vyndáš.,To je asi v pohodě.|Už o tom nebudeme mluvit.,0,1,-1,EggRemark()
0,0,0,,Chystáš se hrát tenis?,Ano! Chceš si zahrát se mnou?,10,0,0,
0,0,0,,Proč jsi|takhle oblečená?,Chystám se zahrát si tenis.|Chtěla by sis zahrát se mnou?,10,0,0,
0,0,0,,V té sukýnce|vypadáš roztomile.,Díky moc! Jdu si zahrát tenis.|Nechceš si jít zahrát se mnou?,10,1,0,
0,0,0,,V té sukni|vypadáš směšně.,Vyšla z módy? Chystám se na tenis.|Nechceš si zahrát se mnou?,10,-1,0,
0,0,0,,Ta sukýnka ti|dělá úžasný zadek.,(Podívá se na svou sukni a začervená se.)|Nechtěla bys si se mnou zahrát tenis?,10,0,1,
10,4,0,,"Můžeme si zahrát, pokud|vítěz dostane odměnu.",Odměnu? Co máš na mysli?,20,0,0,
10,0,4,,"Jdu do toho, děvče!|Ale trochu to okořeníme!",Okořeníme? Jak to myslíš?,20,0,0,
10,0,0,NoOption,"Mohli bychom si zahrát|tenis, jestli chceš.",Tak jo. Ale dnes s tebou hrát nemůžu.|Chtěla by sis zkusit zahrát zítra?,15,0,0,
10,0,0,NoOption,Určitě! Pojďme na to.|Bude to psina.,Super! Ale dnes s tebou hrát nemůžu.|Chtěla by sis zkusit zahrát zítra?,15,1,0,
10,0,0,,"Já teď hrát nemůžu,|ale užij si to.","Užiju, díky!|(Odchází hrát tenis.)",90,0,0,EndLunch()
10,0,0,,"Promiň děvče, ale|tenis je hra pro děcka.",Dobře slečno. Užijte si oběd!|(Dívá se dolů a odchází na tenis.),90,-1,1,EndLunch()
10,0,0,,"Ráda bych, ale|v tenisu jsem hrozná.",S takovýmhle přístupem nikdy dobrá nebudeš.|(Bere si své věci a odchází na tenis.),90,0,-1,EndLunch()
15,0,0,,"Tak jo,|zítra si zahrajem.",Dohodnuto! Užij si oběd.|(Balí si své věci a odchází hrát tenis.),90,0,0,EndLunch()
15,0,0,,Ne! Já chci hrát teď!,"Tak tedy nic, užij si oběd.|(Balí si své věci a odchází hrát tenis.)",90,-1,0,EndLunch()
20,0,0,,Poražený bude během|oběda vítězův otrok.,"Otrok? Jako, že poražený zaplatí oběd?",30,0,1,
