Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,午餐时间到了，COMMON_PLAYERNAME|你饿了吗？,SarahIntro.jpg
0,5,0,,COMMON_PLAYERNAME！很高兴在午餐时间见到你。你饿了吗？,SarahIntroHappy.jpg
0,0,5,,你好，COMMON_PLAYERNAME小姐。（她看着地板）|午饭时间到了。你饿了吗？,SarahIntroSubbie.jpg
0,0,0,SubdueMildred,你对Mildred老师所做的一切太棒了|现在是午饭时间。你饿了吗？,SarahIntroSubbie.jpg
0,0,0,HasEgg,COMMON_PLAYERNAME！鸡蛋还在里面，我喜欢这种随机的嗡嗡声。（她咯咯地笑了）你饿了吗？,SarahIntroHappy.jpg
5,0,0,,（Sarah看见你却跑开了。|她假装很着急）,SarahIntroGone.jpg
10,0,0,,如果你愿意，你可以试试学院食堂，|但那的食物并不好吃。,SarahIntro.jpg
10,0,5,,如果你真的饿了，你可以试试食堂，但我并不推荐，小姐。,SarahIntroSubbie.jpg
20,0,0,,附近有一家小咖啡馆|如果你愿意，可以试试。,SarahIntro.jpg
20,0,5,,小姐，附近有一家咖啡馆|如果你愿意，可以试试。,SarahIntroSubbie.jpg
30,0,0,,你想和我一起去咖啡馆吗？,SarahIntro.jpg
30,0,5,,小姐，你想和我一起去咖啡馆吗？,SarahIntroSubbie.jpg
40,0,0,,对不起，我不能和你一起去吃饭|我已经有午饭的计划了。,SarahIntro.jpg
50,0,0,,,SarahIntroGone.jpg
100,0,0,,,SarahPlayerLunch0.jpg
110,0,0,,,SarahPlayerLunch0.jpg
120,0,0,,,SarahPlayerLunch0.jpg
130,0,0,,,SarahPlayerLunch0.jpg
140,0,0,,,SarahPlayerLunch0.jpg
150,0,0,,,SarahPlayerLunch0.jpg
160,0,0,,,SarahPlayerLunch0.jpg
170,0,0,,,SarahPlayerLunchGone.jpg
180,0,0,,,RestroomDoor.jpg
190,0,0,,,SarahPlayerLunch0.jpg
200,0,0,,,SarahRestroom.jpg
210,0,0,,,SarahRestroom.jpg
220,0,0,,,SarahPlayerRestroomKiss.jpg
230,0,0,,,SarahRestroom.jpg
240,0,0,,,SarahPlayerRestroomNaked.jpg
250,0,0,,,SarahPlayerRestroomLove.jpg
260,0,0,,,SarahPlayerRestroomLove.jpg
270,0,0,,,SarahPlayerRestroomNaked.jpg
300,0,0,,,SarahPlayerLunch0.jpg
310,0,0,,,SarahPlayerLunch0.jpg
320,0,0,,,SarahPlayerLunch0.jpg
330,0,0,,,SarahLocker.jpg
340,0,0,,,SarahLocker.jpg
350,0,0,,,SarahLocker.jpg
