Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,发生了什么？,我找不到我的钱包了，我饿得要命！,10,0,0,
0,0,0,,冷静,冷静？你没看见我饿了吗？我找不到我的钱包了！,10,-1,0,
0,0,0,,女孩，你有什么问题么？,我快疯了！我找不到我的钱包了，我饿得要命！,10,0,1,
0,0,0,,也许我可以试着帮你,帮我搜索！我丢了钱包，我他妈的饿了！,10,0,-1,
10,0,0,,你最后一次看到|你的钱包是在哪里？,我不知道！我饿的时候想不起来。你能给我一些钱吗？,20,0,0,
10,0,0,,这所学院里有小偷吗？,他们偷我的东西是疯了。|现在你能给我一些钱吗？,20,0,0,
10,0,5,,别担心，女孩|我请你吃午饭。,未击中你会？这真的很棒|等你准备好了，我们现在就走吗？,30,0,1,
10,5,0,,跟我来，朋友|我请你吃午饭。,真正地这他妈的太棒了|我准备好了，我们现在走吗？,30,1,0,
10,0,0,,少吃一顿饿不死的,操你这个婊子|（她走开了）,90,-1,0,EndLunch()
10,0,0,,我好像看见一个金发|女孩在拿着钱包跑。,（她像公牛一样在走廊里猛冲，然后消失在眼前）,90,1,0,EndLunch()
20,0,0,,去别处乞讨。,操你这个婊子|（她走开了）,90,-1,1,EndLunch()
20,0,0,,对不起，我破产了。,该死，该死，该死|（她走开了）,90,0,0,EndLunch()
20,0,0,,有一些钱|（把钱给Sidney）,谢谢你，蠢货|（她抢了你的钱就跑了）,90,1,-1,EndLunch()
20,0,5,,别担心，女孩|我请你吃午饭。,未击中你会？这真的很棒|等你准备好了，我们现在就走吗？,30,0,1,
20,5,0,,跟我来，朋友|我请你吃午饭。,真正地这他妈的太棒了|我准备好了，我们现在走吗？,30,1,0,
30,0,0,,我们走吧|（和Sidney一起吃饭）,你走得很快就到了附近的一家餐馆|Sidney很快挑了一张桌子，看起来真的很饿。,200,0,0,StartLunch()
100,0,0,,发生了什么？,我找不到我的钱包了，我饿得要命！,110,0,0,
100,0,0,,女孩，你有什么问题么？,我快疯了！我找不到我的钱包了，我饿得要命！,110,0,1,
100,0,0,,我能帮助你吗？,不，你不能！我他妈的丢了钱包，饿得要命！,110,0,-1,
110,0,0,,也许我可以帮你找到它。,他妈的不！我不想搜索|我想吃！给我一些钱。,120,0,-1,NoLeave()
110,0,0,,你有足够的时间找到它。,闭嘴！我现在想吃|给我一些钱。,120,0,0,NoLeave()
110,0,0,,那你就别吃午饭了。,操你，我不会不吃午饭的|给我点钱！,120,-1,0,NoLeave()
110,0,0,,你可以靠储备生存。,再说一遍，我就打断你的骨头|在我杀你之前给我点钱。,120,-2,1,NoLeave()
110,0,0,,我好像看见一个金发|女孩在拿着钱包跑。,（她像公牛一样在走廊里猛冲，然后消失在眼前）,90,1,0,EndLunch()
110,0,0,,那就有钱吧|（把钱给Sidney）,谢谢你，蠢货|（她抢了你的钱就跑了）,90,1,-1,EndLunch()
120,0,0,,在这里，这是一份礼物|（把钱给Sidney）,谢谢你，蠢货|（她抢了你的钱就跑了）,90,1,-1,EndLunch()
120,0,0,,明天还我钱|（把钱给Sidney）,好的（她抢了你的钱就跑了）,90,1,0,EndLunch()
120,0,0,,我没有钱。,你这小骗子！跟我来。|（她抓住你的胳膊，把你拖到地下室）,130,-1,0,
120,0,0,,我不会给你任何东西的。,你这该死的婊子！跟我来。|（她抓住你的胳膊，把你拖到地下室）,130,-1,1,
130,0,0,,噢好痛！,而且很快就会痛得多|这是你最后的机会。要么付钱，要么受苦。,140,0,-1,
130,0,0,,我们在哪里？,一个我知道但你不想知道的地方|现在这是你最后的机会了。要么付钱，要么受苦。,140,0,0,
130,0,0,,你这该死的猪！,（她愤怒地盯着你）|这是你最后的机会。要么付钱，要么受苦。,140,-1,0,
130,0,0,,好的，好的，给你。|（把钱给Sidney）,最后（她抢了你的钱就跑了）,90,0,0,EndLunch()
140,0,0,,这是你的钱|（把钱给Sidney）,笨蛋！（她抢了你的钱就跑了）,90,0,0,EndLunch()
140,0,0,,我不会给你任何东西的。,那就受苦吧！（她抓住你，把你拖进木枕里）,150,-1,-1,Pillory()
150,0,0,,搞什么鬼|你不能那样做。,享受你的午餐，婊子，我稍后回来|（她抓起你的钱包跑掉了）,160,0,0,
150,0,0,,你会为此付出代价的！,你现在付钱，我稍后回来|（她抓起你的钱包跑掉了）,160,0,1,
150,0,0,,对不起，Sidney|你能放了我吗？,太晚了，婊子！我稍后回来|（她抓起你的钱包跑掉了）,160,0,-1,
160,0,0,,（请耐心等待）,（你耐心地等待，你的胃在抱怨，但没有Sidney的迹象）,160,0,0,PilloryWait()
160,0,0,,救命！有人能听到我吗？,（你大声呼救，但没有人来）,160,0,0,PilloryWait()
160,0,0,,（尝试损坏|设备）,（你试图强行或打破|碉堡，但它一动不动）,160,0,0,PilloryWait()
160,0,0,,（试着把手滑一下）,（你试图把手伸出来，但洞太窄了）,160,0,0,PilloryWait()
170,0,0,,我会服从的|（低头）,太好了！现在滚出我的脸|（你拿起钱包和物品）,180,0,-1,PilloryFree()
170,0,0,,这是敲诈！,这才是真正的小贱人。现在滚开。|（你拿起你的钱包和物品）,180,0,0,PilloryFree()
170,0,0,,总有一天你会为此付出代价的。,我们拭目以待。现在滚开。|（你拿起你的钱包和物品）,180,0,1,PilloryFree()
180,0,0,,（午休结束）,,180,0,0,EndChapter()
200,0,0,,你找到的地方真不错。,我愚蠢的室友总是在这里，所以我不经常来这里。,210,0,0,
200,0,0,,这家餐馆看起来不错。,我愚蠢的室友总是在这里，所以我不经常来这里。,210,0,0,
200,0,0,,我该买什么？,我不在乎！（她环顾四周）|我那些愚蠢的室友在这里吗？,210,0,0,
200,0,0,,你在吃什么？,该死的肉！（她环顾四周）|我那些愚蠢的室友在这里吗？,210,0,0,
210,0,0,,你有室友吗|你很幸运。,哦，他妈的，不！这是地狱|总有一天我会让他们付出代价的。,220,0,0,BadMatch()
210,0,0,,你有室友吗|这可能会很痛苦。,是啊，他们是个讨厌鬼|总有一天我会让他们付出代价的。,220,0,0,GoodMatch()
210,0,0,,我希望我有几个室友。,你想要我的吗？他们很痛苦|总有一天我会让他们付出代价的。,220,0,0,
220,0,0,,你需要帮助吗？,好主意！我们放学后再聊吧|跟我说说你，你想在生活中做什么？,230,1,0,GoodMatch()
220,0,0,,你应该试着和解。,和平他妈的不！我们换个话题吧|跟我说说你，你想在生活中做什么？,230,-1,0,BadMatch()
220,0,0,,总有一天你会报仇的。,是的！这一天很快就会到来|跟我说说你，你想在生活中做什么？,230,0,0,GoodMatch()
230,0,0,,音乐家。,你最终会变得很穷|你最喜欢的课是什么？,240,0,0,BadMatch()
230,0,0,,医生。,美好的你会赚很多钱的|你最喜欢的课是什么？,240,0,0,GoodMatch()
230,0,0,,运动员。,你最终会变得很穷|你最喜欢的课是什么？,240,0,0,BadMatch()
230,0,0,,一个老师。,不错，总会有工作的|你最喜欢的课是什么？,240,0,0,
230,0,0,,一个演员。,你最终会变得很穷|你最喜欢的课是什么？,240,0,0,BadMatch()
230,0,0,,一个施虐狂。,哈你那个愚蠢的回答让我措手不及。你最喜欢的课是什么？,240,0,0,
230,0,0,,一位建筑师。,不错的选择，我也想过。|你最喜欢的课是什么？,240,0,0,GoodMatch()
230,0,0,,一个农民。,太棒了我爸爸是个农民|你最喜欢的课是什么？,240,0,0,GoodMatch()
230,0,0,,程序员。,不错，总会有工作的|你最喜欢的课是什么？,240,0,0,
230,0,0,,我还不知道。,这里也是，我还不确定|你最喜欢的课是什么？,240,0,0,GoodMatch()
240,0,0,,数学,这很无聊，但我想它可能会对你有所帮助|你在校外做什么？,250,0,0,
240,0,0,,音乐,这是一门毫无意义的课|你在校外做什么？,250,0,0,BadMatch()
240,0,0,,英语,我他妈的英语烂透了|你在校外做什么？,250,0,0,BadMatch()
240,0,0,,健身房,我想它不像其他课那么无聊|你在校外做什么？,250,0,0,
240,0,0,,化学,太棒了你能为我做个炸弹吗|你在校外做什么？,250,0,0,GoodMatch()
240,0,0,,法语,这很无聊，但我想它可能会对你有所帮助|你在校外做什么？,250,0,0,
240,0,0,,艺术,这是一门毫无意义的课|你在校外做什么？,250,0,0,BadMatch()
240,0,0,,历史,是的，战争史可以很有趣|你在校外做什么？,250,0,0,GoodMatch()
240,0,0,,剧院,这是一门毫无意义的课|你在校外做什么？,250,0,0,
240,0,0,,我不知道。,是 啊不管怎样，操这些课|你在校外做什么？,250,0,0,GoodMatch()
250,0,0,,打篮球,我想还有更糟糕的爱好|（一位女服务员打断你们的谈话，询问点餐需求）,260,0,0,
250,0,0,,玩摇滚乐,我更喜欢金属，但摇滚也不错|（一位女服务员打断你们的谈话，询问点餐需求）,260,0,0,GoodMatch()
250,0,0,,打电子游戏,我想还有更糟糕的爱好|（一位女服务员打断你们的谈话，询问点餐需求）,260,0,0,
250,0,0,,去当啦啦队,多么无聊的爱好啊|（一位女服务员打断你们的谈话，询问点餐需求）,260,0,0,
250,0,0,,去参加聚会,这所学院的聚会很无聊|（一位女服务员打断你们的谈话，询问点餐需求）,260,0,0,
