Stage,LoveReq,SubReq,VarReq,IntroText,Image
100,0,0,PlayerIsHeroine,（作为白骑士，你应该开始表演）,Background.jpg
100,0,0,!PlayerIsHeroine,（白骑士即将开始演奏）,Background.jpg
110,0,0,PlayerIsHeroine,（黑骑士是下一个）,Background.jpg
110,0,0,!PlayerIsHeroine,（她在看黑骑士）,Background.jpg
120,0,0,PlayerIsHeroine,（作为白骑士，这是你的下一行）,Background.jpg
120,0,0,!PlayerIsHeroine,（白骑士正要说话）,Background.jpg
130,0,0,PlayerIsHeroine,（黑骑士是下一个）,Background.jpg
130,0,0,!PlayerIsHeroine,（她在看黑骑士）,Background.jpg
140,0,0,PlayerIsHeroine,（下一个是少女）,Background.jpg
140,0,0,!PlayerIsHeroine,（她在看那位少女）,Background.jpg
150,0,0,PlayerIsHeroine,（下一个是少女）,Background.jpg
150,0,0,!PlayerIsHeroine,（她在看那位少女）,Background.jpg
160,0,0,PlayerIsHeroine,（下一个是少女）,Background.jpg
160,0,0,!PlayerIsHeroine,（她在看那位少女）,Background.jpg
200,0,0,PlayerIsHeroine,（黑骑士是下一个）,Background.jpg
200,0,0,!PlayerIsHeroine,（她在看黑骑士）,Background.jpg
210,0,0,PlayerIsHeroine,（黑骑士是下一个）,Background.jpg
210,0,0,!PlayerIsHeroine,（她在看黑骑士）,Background.jpg
220,0,0,PlayerIsHeroine,（作为白骑士，这是你的下一行）,Background.jpg
220,0,0,!PlayerIsHeroine,（白骑士正要说话）,Background.jpg
225,0,0,,,Background.jpg
226,0,0,,,Background.jpg
230,0,0,PlayerIsHeroine,（黑骑士是下一个）,Background.jpg
230,0,0,!PlayerIsHeroine,（她在看黑骑士）,Background.jpg
240,0,0,PlayerIsHeroine,（作为白骑士，这是你的下一行）,Background.jpg
240,0,0,!PlayerIsHeroine,（白骑士正要说话）,Background.jpg
250,0,0,PlayerIsHeroine,（下一个是少女）,Background.jpg
250,0,0,!PlayerIsHeroine,（她在看那位少女）,Background.jpg
251,0,0,,,Background.jpg
260,0,0,,,Background.jpg
270,0,0,PlayerIsHeroine,（黑骑士是下一个）,Background.jpg
270,0,0,!PlayerIsHeroine,（她在看黑骑士）,Background.jpg
280,0,0,PlayerIsHeroine,（下一个是少女）,Background.jpg
280,0,0,!PlayerIsHeroine,（她在看那位少女）,Background.jpg
300,0,0,!PlayerIsHeroine,这真是太好了。|我希望我是一名优秀的白骑士。,Background.jpg
300,0,0,IsGagged,哎呀，哎呀！,Background.jpg
300,0,0,PlayerIsHeroine,（戏结束了）,Background.jpg
400,0,0,PlayerIsVillain,黑骑士！你这个重罪犯！|你现在想要什么？,Background.jpg
400,0,0,PlayerIsDamsel,我可爱的未婚妻|我能为你做什么？,Background.jpg
400,0,0,Common_PlayerGagged,（她看着你的恶作剧|咯咯地笑了起来）,Background.jpg
400,0,0,IsGagged,啊，你好！,Background.jpg
500,0,0,,（这出戏似乎还没有完全结束|你仍然可以和其他人互动）,Background.jpg
