Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
100,0,0,PlayerIsHeroine,恶徒！|你竟敢玷污我的未婚妻。,Amanda很快走了进来，回答说|“她的心曾为你真挚地跳动。”,120,0,0,"GlobalStage(120, 1, 0)"
100,0,0,PlayerIsHeroine,曹贼！|安敢偷走吾妻！,即兴的台词让Amanda感到很困惑，回答说|“她的心因真爱而跳动。”,120,0,0,"GlobalStage(120, -1, 0)"
100,0,0,PlayerIsHeroine,对不起，Julia|我忘了我的台词。,Julia轻声对你说：|“恶徒！你竟敢玷污我的未婚妻。”,100,0,0,ForgetLine()
100,0,0,!PlayerIsHeroine,（静静地听着）,白骑士慢慢地走了进来，说：|“恶徒！你竟敢玷污我的未婚妻。”,110,0,0,"GlobalStage(110, 0, 0)"
100,0,0,!PlayerIsHeroine,（不耐烦地拍手）,白骑士迅速走了进来，大喊道：|“恶徒！你竟敢玷污我的未婚妻。”,110,0,0,"GlobalStage(110, 0, 1)"
120,0,0,PlayerIsHeroine,废话真多|现在马上放开她。,Amanda咯咯地笑着回答：|“再进一步，你就会见识我的剑有多厉害”,140,0,0,"GlobalStage(140, -1, 0)"
120,0,0,PlayerIsHeroine,废话真多|赶紧放了她,Amanda盯着你，严肃地回答：|“来呀，我的剑等着你”,140,0,0,"GlobalStage(140, 1, 0)"
120,0,0,PlayerIsHeroine,对不起，Julia|我忘了我的台词。,Julia叹了口气，低声说：|“脏话，赶紧解放吧。”,120,0,0,ForgetLine()
120,0,0,!PlayerIsHeroine,（静静地听着）,白骑士表明立场说：|“废话真多，赶紧放了她”,130,0,0,"GlobalStage(130, 0, 0)"
120,0,0,!PlayerIsHeroine,（不耐烦地拍手）,白骑士赶紧说：|“废话真多赶紧放了她”,130,0,0,"GlobalStage(130, 0, 1)"
120,0,0,!PlayerIsHeroine,（做些鬼脸来|分散她的注意力）,白骑士笑着说：|“嘴巴真脏现在马上放开她。”,130,0,0,"GlobalStage(130, -1, 0)"
220,0,0,PlayerIsHeroine,既然命运已定，拔剑吧！,你们同时拔出剑，向前迈进一步。,230,0,0,"GlobalStage(230, -1, 0)"
220,0,0,PlayerIsHeroine,命运已定，钢铁为证|拔剑吧！,你们同时拔出剑，向前迈进一步。,230,0,0,"GlobalStage(230, 1, 0)"
220,0,0,CanProposeTrio,等下，你听过“三人同居”么？,Amanda看起来很惊讶，回答道：|“同居？情侣？我们三个？你确定吗？”,225,0,0,
220,0,0,PlayerIsHeroine,对不起，Julia|我忘了我的台词。,Julia轻声对你说：|“命运已定，钢铁为证，拔剑吧！”,220,0,0,ForgetLine()
220,0,0,VillainCanTaunt,被捆绑的少女是我的,Amanda愤怒地抓起剑说：|“命运已定，钢铁为证，拔剑吧！”,230,0,1,"GlobalStage(230, 0, 1)"
220,0,0,!PlayerIsHeroine,（静静地听着）,白骑士抓起她的剑说：|“命运已定，钢铁为证，拔剑吧！”,230,0,0,"GlobalStage(230, 0, 0)"
220,0,0,PlayerIsVillain,（无聊地打呵欠）,白骑士抓起她的剑说：|“命运已定，钢铁为证，拔剑吧！”,230,0,0,"GlobalStage(230, -1, 0)"
220,0,0,PlayerIsVillain,（轻轻鼓掌）,白骑士抓起她的剑说：|“命运已定，钢铁为证，拔剑吧！”,230,0,0,"GlobalStage(230, 1, 0)"
220,0,0,DamselCanInteract,（无聊地打呵欠）,白骑士抓起她的剑说：|“命运已定，钢铁为证，拔剑吧！”,230,0,0,"GlobalStage(230, -1, 0)"
220,0,0,DamselCanInteract,（轻轻鼓掌）,白骑士抓起她的剑说：|“命运已定，钢铁为证，拔剑吧！”,230,0,0,"GlobalStage(230, 1, 0)"
225,0,0,,算了，小心！,你同时拔出剑，向前迈进一步。,230,0,0,"GlobalStage(230, 0, 0)"
225,0,0,,是啊|让我们分享被禁止的爱,你们聚在一起分享亲吻，以爱情三人组的形式结束这部剧。,226,0,0,FinalTrio()
240,0,0,PlayerIsHeroine,法律会审判你的（束缚她） ADD_MINUTES:1,你从剧院里挑选了一些物品，并束缚了黑骑士Amanda。,250,0,0,"GlobalStage(250, 1, 0)"
240,0,0,PlayerIsHeroine,你将受到审判（束缚她） ADD_MINUTES:1,你从剧院里挑选了一些物品，并束缚了黑骑士Amanda。,250,0,0,"GlobalStage(250, -1, 0)"
240,0,0,PlayerIsHeroine,对不起，Julia|我忘了我的台词。,Julia轻声对你说：“法律会审判你的。”,240,0,0,ForgetLine()
240,0,0,PlayerIsVillain,（静静地听着） ADD_MINUTES:1,白骑士剥去你的衣服，束缚你说：“法律会审判你的。”,250,0,0,"GlobalStage(250, 0, 0)"
240,0,0,PlayerIsVillain,（向白骑士鞠躬） ADD_MINUTES:1,白骑士剥去你的衣服，束缚你说：“法律会审判你的。”,250,0,-1,"GlobalStage(250, 0, -1)"
240,0,0,PlayerIsVillain,太糟糕了！ ADD_MINUTES:1,白骑士剥去你的衣服，束缚你说：“法律会审判你的。”,250,-1,0,"GlobalStage(250, -1, 0)"
240,0,0,PlayerIsDamsel,（观看现场） ADD_MINUTES:1,女主角剥去并束缚了反派，同时说：“法律会审判你的。”,250,0,0,"GlobalStage(250, 0, 0)"
240,0,0,PlayerIsDamsel,万岁白骑士！ ADD_MINUTES:1,女主角剥去并束缚了反派，同时说：“法律会审判你的。”,250,1,0,"GlobalStage(250, 1, 0)"
250,0,0,Common_PlayerGagged,@呜呜..!！,Amanda听了你的咕哝，咯咯地笑了笑，但仍然专注于她的角色。,250,0,0,
