Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Julia！！|（拥抱Julia） ADD_MINUTES:1,没错！|（她搂着你，把你挤在胸前）,10,1,0,Hug()
0,0,0,,拥抱？好吧...|（拥抱Julia） ADD_MINUTES:1,太胆小了！|（她搂着你，把你挤在胸前）,10,1,-1,Hug()
0,0,0,,抱歉，我还不适应,新来的这么害羞么|欢迎来到戏剧课！,20,0,-1,
0,0,0,,不行，Julia。,（她皱着眉头，但很快又笑了）欢迎来到戏剧课COMMON_PLAYERNAME！,20,-1,1,
10,0,0,,这是一个很好的拥抱。,没错！我喜欢给你温暖的拥抱！|欢迎来到戏剧课程COMMON_PLAYERNAME。,20,0,0,
10,0,0,,你给了我最好的拥抱。,没错！我喜欢给你温暖的拥抱！|欢迎来到戏剧课程COMMON_PLAYERNAME。,20,0,0,
10,0,0,,我无法呼吸！,对不起，新来的小朋友|欢迎来到戏剧课！,20,0,-1,
10,0,0,,（亲吻她的胸部）,不要这样，COMMON_PLAYERNAME。（她把你往后推）|不过还是欢迎来到戏剧课。,20,-1,0,
20,0,0,,戏剧课？,没错！今天需要你们扮演角色|为我们的戏剧做准备。,30,0,0,
20,0,0,,你在演戏剧吗？,没错！今天需要你们扮演角色|为我们的戏剧做准备。,30,0,0,
30,0,0,,这是怎么回事？,这是一部中世纪戏剧，叫做《两个骑士的故事》|一部关于两个对手爱上同一个女孩的戏剧。,40,0,0,
30,0,0,,我们要演莎士比亚的吗？,不，这是一部中世纪戏剧，叫做《两个骑士的故事》|一部关于两个对手爱上同一个女孩的戏剧。,40,0,0,
40,0,0,,我将扮演什么角色？,你可以是英雄的白骑士|邪恶的黑骑士或遇险的少女。,50,0,0,CheckRole()
40,0,0,,太棒了我扮演什么角色？,你可以是英雄的白骑士|邪恶的黑骑士或遇险的少女。,50,1,0,CheckRole()
40,0,0,,戏剧不是我的强项。,胡说！你可以是英雄的白骑士|邪恶的黑骑士或遇险的少女。,50,-1,0,CheckRole()
40,0,0,,我想扮演一个坚强的角色。,你可以是英雄的白骑士|邪恶的黑骑士或遇险的少女。,50,0,1,CheckRole()
40,0,0,,我太害羞了|不敢在人群面前表演。,别害羞！你可以是英雄的白骑士|邪恶的黑骑士或遇险的少女。,50,0,-1,CheckRole()
50,0,0,,我将扮演英雄。,很好。去更衣室，穿上英勇的白骑士盔甲。,60,0,0,"SetRole(""Heroine"")"
50,0,0,,我将扮演反派角色。,很好。去更衣室，穿上臭名昭著的黑骑士盔甲。,60,0,0,"SetRole(""Villain"")"
50,0,0,,我将扮演少女。,很好。去更衣室，穿上少女婚纱。,60,0,0,"SetRole(""Damsel"")"
60,0,0,,我去换衣服|（去更衣室）,,60,0,0,DressingRoom()
