Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,你好，COMMON_PLAYERNAME。你能帮我找到我的服装吗？,Background.jpg
0,5,0,,哦，太好了！COMMON_PLAYERNAME！|你能帮我找到我的服装吗？,Background.jpg
0,0,5,,你好，COMMON_PLAYERNAME小姐。|你能帮我找到我的服装吗？,Background.jpg
0,0,0,AmandaMissing,发生什么事？Amanda迟到了|我找不到我的服装了。你能帮助我吗？,Background.jpg
10,0,0,,我终于有了我的服装。你介意我在这里脱衣吗？,Background.jpg
20,0,0,IsDamsel,我有我的婚纱，你能帮我换衣服吗？,Background.jpg
20,0,0,!IsDamsel,我有我的白色盔甲。你能帮我换衣服吗？,Background.jpg
20,0,0,AmandaMissing,真奇怪...Amanda从不迟到|好吧！你能帮我换衣服吗？,Background.jpg
20,0,0,Common_PlayerGagged,我喜欢你的笑话，能给我一个吗？|或者你能帮我换衣服吗？,Background.jpg
20,0,0,Common_PlayerRestrained,（她咯咯地笑着，似乎很嫉妒）|为什么你被束缚了，而不是我？,Background.jpg
20,0,0,IsRestrained,你太变态了！但我们应该专注于戏剧。你能帮我一下吗，这样我就可以穿上我的戏服了？,Background.jpg
20,0,0,IsGagged,哎呀，哎呀！（她似乎很喜欢她的恶作剧）,Background.jpg
30,0,0,,你喜欢我的服装吗？我们准备好看戏了吗？,Background.jpg
30,0,0,AmandaMissing,我们该不该丢下Amanda？我们准备好看戏了吗？,Background.jpg
30,0,0,IsChaste,真不敢相信你把贞操带锁在我身上了。|演出结束后我们真的需要解开它。,Background.jpg
100,0,0,,（她看着你，咯咯地笑了起来）你需要帮忙吗？,Background.jpg
100,0,0,AmandaMissing,这太疯狂了！Amanda迟到了，|而你被堵住了嘴。你需要帮助吗？,Background.jpg
200,0,0,,（Sarah仍在慢慢从性高潮中恢复过来）,BackgroundOrgasm.jpg
300,0,0,,,Background.jpg
310,0,0,,,Background.jpg
