Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
110,0,0,PlayerIsVillain,她的心曾为你真挚地跳动,白骑士上前回答：|“废话真多赶紧放了她”,130,0,0,"GlobalStage(130, 1, 0)"
110,0,0,PlayerIsVillain,她的心因真爱而跳动,白骑士困惑地回答：|“废话真多现在马上放开她”,130,0,0,"GlobalStage(130, -1, 0)"
110,0,0,PlayerIsVillain,对不起，Julia|我忘了我的台词。,Julia轻声对你说：“她的心曾为你真挚地跳动。”,110,0,0,ForgetLine()
110,0,0,!PlayerIsVillain,（静静地听着）,黑骑士摆了个姿势说：“她的心曾为你真挚地跳动。”,120,0,0,"GlobalStage(120, 0, 0)"
110,0,0,!PlayerIsVillain,（不耐烦地拍手）,黑骑士迅速跳了进去，说：“她的心曾为你真挚地跳动。”,120,0,1,"GlobalStage(120, 0, 1)"
130,0,0,PlayerIsVillain,再进一步，你就会见识|到我的剑有多厉害,当少女登台时，两位骑士面面相觑。,140,0,0,"GlobalStage(140, -1, 0)"
130,0,0,PlayerIsVillain,来呀|我的剑等着你,当少女登台时，两位骑士面面相觑。,140,0,0,"GlobalStage(140, 1, 0)"
130,0,0,PlayerIsVillain,对不起，Julia|我忘了我的台词。,Julia叹了口气，低声说：|“再进一步，你就会见识到我的剑有多厉害。”,130,0,0,ForgetLine()
130,0,0,!PlayerIsVillain,（静静地听着）,黑骑士威胁地看了一眼，说：|“再进一步，你就会见识到我的剑有多厉害。”,140,0,0,"GlobalStage(140, 0, 0)"
130,0,0,!PlayerIsVillain,（不耐烦地拍手）,黑骑士迅速回答：|“再进一步，你就会见识到我的剑有多厉害。”,140,0,0,"GlobalStage(140, 0, 1)"
130,0,0,!PlayerIsVillain,（做些鬼脸来|分散她的注意力）,黑骑士咯咯地笑着回答：|“再进一步，你就会见识到我的剑有多厉害。”,140,0,0,"GlobalStage(140, -1, 0)"
200,0,0,PlayerIsVillain,你赢得了她的心，但我赢得了肉体,白骑士拿起剑大喊：“命运已定，钢铁为证，拔剑吧！”,230,0,0,"GlobalStage(230, 1, 0)"
200,0,0,PlayerIsVillain,你有她的心，但我有她的身体。,白骑士用剑摸索着说：“命运已定，钢铁为证，拔剑吧！”,230,0,0,"GlobalStage(230, -1, 0)"
200,0,0,PlayerIsVillain,对不起，Julia|我忘了我的台词。,Julia轻声对你说：“你赢得了她的心，但我赢得了肉体”,200,0,0,ForgetLine()
200,0,0,!PlayerIsVillain,（静静地听着）,黑骑士抓住少女说：|“白骑士！你赢得了她的心，但我赢得了肉体”,220,0,0,"GlobalStage(220, 0, 0)"
200,0,0,PlayerIsHeroine,（轻轻鼓掌）,黑骑士抓住少女说：|“白骑士！你赢得了她的心，但我赢得了肉体”,220,1,0,"GlobalStage(220, 1, 0)"
200,0,0,PlayerIsHeroine,（无聊地打呵欠）,黑骑士抓住少女说：|“白骑士！你赢得了她的心，但我赢得了肉体”,220,-1,0,"GlobalStage(220, -1, 0)"
200,0,0,DamselCanInteract,（轻轻鼓掌）,黑骑士抓住少女说：|“白骑士！你赢得了她的心，但我赢得了肉体”,220,1,0,"GlobalStage(220, 1, 0)"
200,0,0,DamselCanInteract,（无聊地打呵欠）,黑骑士抓住少女说：|“白骑士！你赢得了她的心，但我赢得了肉体”,220,-1,0,"GlobalStage(220, -1, 0)"
210,0,0,PlayerIsVillain,承认你的失败吧，她是我的,白骑士拿起剑大喊：“命运已定，钢铁为证，拔剑吧！”,230,0,0,"GlobalStage(230, 1, 0)"
210,0,0,PlayerIsVillain,你是失败的|她是我的。,白骑士用剑摸索着说：“命运已定，钢铁为证，拔剑吧！”,230,0,0,"GlobalStage(230, -1, 0)"
210,0,0,PlayerIsVillain,对不起，Julia|我忘了我的台词。,Julia叹了口气，低声对你说：“承认你的失败吧，她是我的”,200,0,0,ForgetLine()
210,0,0,!PlayerIsVillain,（静静地听着）,黑骑士看着少女说：“承认你的失败吧，她是我的”,220,0,0,"GlobalStage(220, 0, 0)"
210,0,0,PlayerIsHeroine,（轻轻鼓掌）,黑骑士看着少女说：“承认你的失败吧，她是我的”,220,1,0,"GlobalStage(220, 1, 0)"
210,0,0,PlayerIsHeroine,（无聊地打呵欠）,黑骑士看着少女说：“承认你的失败吧，她是我的”,220,-1,0,"GlobalStage(220, -1, 0)"
210,0,0,DamselCanInteract,（轻轻鼓掌）,黑骑士看着少女说：“承认你的失败吧，她是我的”,220,1,0,"GlobalStage(220, 1, 0)"
210,0,0,DamselCanInteract,（无聊地打呵欠）,黑骑士看着少女说：“承认你的失败吧，她是我的”,220,-1,0,"GlobalStage(220, -1, 0)"
230,0,0,PlayerIsVillain,小心！|（进行一场剑术对决）,你们互相攻击，开始了一场有趣但激烈的剑战。,235,0,0,NoLeave()
230,0,0,PlayerIsVillain,不要打了，我认输。|（不战而退）,你放下剑，白骑士笑着向前走去。,240,0,0,Surrender()
230,0,0,PlayerIsHeroine,（进行一场剑术对决）,你们互相攻击，开始了一场有趣但激烈的剑战。,235,0,0,NoLeave()
230,0,0,PlayerIsHeroine,（不战而退）,你放下剑，黑骑士笑着向前走去。,270,0,0,Surrender()
230,0,0,PlayerIsDamsel,（观看比赛）,两位骑士相互冲锋，进行了一场非常巧妙的剑战。,235,0,0,NoLeave()
235,0,0,CanDoSwordDance,（跳剑舞） ADD_MINUTES:1,你在对手周围优雅舞剑，当她被你迷住时|你很容易解除她的武装。,270,0,0,SwordDance()
235,0,0,CanIntimidate,（恐吓她） ADD_MINUTES:1,你威胁地看了Amanda一眼，她几乎不敢还手|让你解除了她的武装。,270,0,0,"GlobalStage(270, 0, 1)"
235,0,0,CanDisarm,（解除她的武装） ADD_MINUTES:1,Amanda打了一场漂亮的仗，但你可以通过解除她的武装来获胜。,270,0,0,"GlobalStage(270, 0, 0)"
235,0,0,PlayerIsVillain,（防守） ADD_MINUTES:1,你坚持防守动作，Amanda利用这一点解除了你的武装。,240,0,0,"GlobalStage(240, 0, 0)"
235,0,0,PlayerIsVillain,（让Amanda赢） ADD_MINUTES:1,你不怎么还手，Amanda很容易解除你的武装。,240,0,0,"GlobalStage(240, 0, -1)"
235,0,10,PlayerIsHeroine,（恐吓她） ADD_MINUTES:1,你威胁地看了Amanda一眼，她几乎不敢还手|让你解除了她的武装。,240,0,0,"GlobalStage(240, 0, 1)"
235,0,2,PlayerIsHeroine,（解除她的武装） ADD_MINUTES:1,Amanda打了一场漂亮的仗，但你还是解除了她的武装。,240,0,0,"GlobalStage(240, 0, 0)"
235,0,0,PlayerIsHeroine,（防守） ADD_MINUTES:1,你坚持防守动作，Amanda利用这一点解除了你的武装。,270,0,0,"GlobalStage(270, 0, 0)"
235,0,0,PlayerIsHeroine,（让Amanda赢） ADD_MINUTES:1,你不怎么还手，Amanda很容易解除你的武装。,270,0,0,"GlobalStage(270, 0, -1)"
235,0,0,PlayerIsDamsel,为你的白骑士欢呼！,,235,0,0,AmandaSarahFight(-4)
235,0,0,PlayerIsDamsel,为你的黑骑士欢呼！,,235,0,0,AmandaSarahFight(4)
235,0,0,PlayerIsDamsel,加油，Amanda！,,235,0,0,AmandaSarahFight(2)
