Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,你想做什么？,Dorm.jpg
0,10,0,,好吧，我的朋友|你想做什么？,Dorm.jpg
0,0,-10,,好吧，女孩。我们该怎么办？,Dorm.jpg
0,0,10,,小姐，你想做什么？,Dorm.jpg
0,0,0,Common_PlayerNaked,你真是个淘气的女孩,Dorm.jpg
0,10,0,Common_PlayerNaked,（她尽量避免盯着你看）|你裸体的时候很漂亮,Dorm.jpg
0,0,-10,Common_PlayerNaked,姑娘，你真淘气,Dorm.jpg
0,0,10,Common_PlayerNaked,（她尽量避免盯着你看）|小姐，你的身体真是美极了,Dorm.jpg
0,0,0,Common_ActorIsLover,亲爱的，你想做什么？,Dorm.jpg
0,0,0,Common_ActorIsOwner,好吧，我的奴隶。我们该怎么办？,Dorm.jpg
0,0,0,Common_ActorIsOwned,主人，你想做什么？,Dorm.jpg
0,0,0,IsRoped,（她挣扎着脸红了）|你当然知道诀窍,Dorm.jpg
0,0,0,IsStrapped,（她在单手套里挣扎着，脸红了）|这是一个很好的装置，根本没法逃脱,Dorm.jpg
0,0,0,IsGagged,哎哟！,Dorm.jpg
10,0,0,,,Dorm.jpg
20,0,0,,,Dorm.jpg
100,0,0,,（她脸红了）非常感谢|你看起来也很漂亮,Dorm.jpg
100,0,0,Common_ActorIsOwned,（她脸红了）谢谢小姐|你今晚看起来也很棒,Dorm.jpg
100,0,0,Common_ActorIsOwner,谢谢我的顺从|你看起来也很棒,Dorm.jpg
105,0,0,,,Dorm.jpg
106,0,0,,,Dorm.jpg
107,0,0,,,Dorm.jpg
110,0,0,,,Dorm.jpg
111,0,0,,,Dorm.jpg
112,0,0,,,Dorm.jpg
120,0,0,,,Dorm.jpg
121,0,0,,,Dorm.jpg
122,0,0,,,Dorm.jpg
123,0,0,,,Dorm.jpg
124,0,0,,,Dorm.jpg
130,0,0,,,Dorm.jpg
140,0,0,,,Dorm.jpg
150,0,0,,,Dorm.jpg
160,0,0,,,StartDating.jpg
170,0,0,,,Dorm.jpg
190,0,0,,,Dorm.jpg
191,0,0,,,Dorm.jpg
192,0,0,,,StopDating.jpg
193,0,0,,,StopDating.jpg
194,0,0,,,Dorm.jpg
200,0,0,,我…我…我承认我有点喜欢它。|（她脸红了，低下头）,Dorm.jpg
200,0,0,Common_ActorIsLover,你太了解我了，亲爱的|（她脸红了，低下头）,Dorm.jpg
210,0,0,,,Dorm.jpg
220,0,0,,,Dorm.jpg
230,0,0,,,Dorm.jpg
240,0,0,,,Dorm.jpg
250,0,0,,,Dorm.jpg
260,0,0,,,Dorm.jpg
270,0,0,,,Dorm.jpg
280,0,0,,,Dorm.jpg
290,0,0,,,Dorm.jpg
291,0,0,,,Dorm.jpg
292,0,0,,,Dorm.jpg
293,0,0,,,Dorm.jpg
294,0,0,,,Dorm.jpg
295,0,0,,,Dorm.jpg
296,0,0,,,Dorm.jpg
297,0,0,,,Dorm.jpg
300,0,0,,女孩，你所钦佩的是我们的学院纪律和意志力|这就是你所看到的我,Dorm.jpg
310,0,0,,,Dorm.jpg
320,0,0,,,Dorm.jpg
330,0,0,,,Dorm.jpg
340,0,0,,,Dorm.jpg
350,0,0,,,Dorm.jpg
360,0,0,,,Dorm.jpg
370,0,0,,,Dorm.jpg
380,0,0,,,Dorm.jpg
390,0,0,,,Dorm.jpg
391,0,0,,,Dorm.jpg
392,0,0,,很好，现在跪下,Dorm.jpg
392,0,0,Common_ActorIsLover,我的爱。现在跪下,Dorm.jpg
393,0,0,,,Dorm.jpg
394,0,0,,,Dorm.jpg
395,0,0,,,Dorm.jpg
400,0,0,,那么，你和Sarah在约会？,Dorm.jpg
410,0,0,,,Dorm.jpg
420,0,0,,,Dorm.jpg
430,0,0,,,Dorm.jpg
450,0,0,,（Amanda逗你开心，哈哈大笑）|好吧，我的小家伙。是时候玩了,Dorm.jpg
450,0,0,Common_ActorIsLover,（Amanda逗你开心，哈哈大笑）|好吧，我的小家伙。是时候玩了,Dorm.jpg
500,0,0,,,Dorm.jpg
510,0,0,,,Dorm.jpg
520,0,0,,,Dorm.jpg
530,0,0,,,Dorm.jpg
531,0,0,,,Dorm.jpg
532,0,0,,,Dorm.jpg
540,0,0,,,Dorm.jpg
541,0,0,,,Dorm.jpg
600,0,0,,,Dorm.jpg
610,0,0,,,Dorm.jpg
630,0,0,,,Dorm.jpg
631,0,0,,,Dorm.jpg
632,0,0,,,Dorm.jpg
633,0,0,,,Dorm.jpg
634,0,0,,,Dorm.jpg
635,0,0,,,Dorm.jpg
636,0,0,,,Dorm.jpg
637,0,0,,,Dorm.jpg
640,0,0,,,Dorm.jpg
641,0,0,,,Dorm.jpg
642,0,0,,,DormOrgasm.jpg
650,0,0,,是的，做爱会很愉快|我们应该在你的房间里做吗？,Dorm.jpg
650,0,0,Common_ActorIsLover,当然，我的爱,Dorm.jpg
650,0,0,Common_ActorIsOwned,当然，主人,Dorm.jpg
650,0,0,Common_ActorIsOwner,是的，我的奴隶，我们可以做爱,Dorm.jpg
660,0,0,,时间不早了。我去拿睡衣可以吗？,Dorm.jpg
660,0,0,Common_ActorIsOwned,主人。我去拿睡衣可以吗？,Dorm.jpg
661,0,0,,,Dorm.jpg
670,0,0,,我想我穿睡衣会更舒服。我在这里换衣服可以吗？,Dorm.jpg
671,0,0,,,Dorm.jpg
700,0,0,,为什么Sidney在这里？,Dorm.jpg
700,0,0,Common_ActorIsLover,我的爱。为什么Sidney在这里？,Dorm.jpg
700,0,0,Common_ActorIsOwned,主人。为什么Sidney在这里？,Dorm.jpg
700,0,0,Common_ActorIsOwner,苏比，Sidney为什么在这里？,Dorm.jpg
701,0,0,,,Dorm.jpg
702,0,0,,,Dorm.jpg
790,0,0,,你要把我赶出宿舍？,Door.jpg
790,0,0,Common_ActorIsLover,你要把我赶出宿舍|这就是我们短暂爱情的结束？,StopDating.jpg
791,0,0,,,Door.jpg
800,0,0,,（Amanda走近Sarah，脸红了）|Sarah，我有件事想告诉你,Dorm.jpg
801,0,0,,,Dorm.jpg
802,0,0,,,Dorm.jpg
803,0,0,,,Dorm.jpg
804,0,0,,,Dorm.jpg
810,0,0,,,Dorm.jpg
811,0,0,,,Dorm.jpg
812,0,0,,,Dorm.jpg
813,0,0,,,Dorm.jpg
820,0,0,,,StartDating.jpg
821,0,0,,,Dorm.jpg
822,0,0,,,Dorm.jpg
823,0,0,,你介意我和我女朋友在你床上放松一下吗？,Dorm.jpg
823,0,0,Common_ActorIsOwned,主人，我现在可以用你的床和Sarah放松一下吗？,Dorm.jpg
823,0,0,Common_ActorIsOwner,我的儿子，我会用你的床|和我的女朋友放松一下,Dorm.jpg
3000,0,0,,我的奴隶，现在裸体,Dorm.jpg
3000,0,0,Common_ActorIsLover,亲爱的，现在就裸体吧,Dorm.jpg
3010,0,0,,我的副手，穿上你的内衣,Dorm.jpg
3010,0,0,Common_ActorIsLover,亲爱的，穿上你的内衣,Dorm.jpg
