Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,IsolationEscape,这是我今天逃离的|同一个地方,你能逃离这里吗|我需要向你学习一些技巧,10,0,1,
0,0,0,IsolationStuck,我今天被困在同一个地方,（她点了点头）我也在这里被拘束了几次,10,0,-1,
0,0,0,,这个地方看起来|既可怕又有趣,是的，他们第一次把我锁在这里的时候，我吓死了,10,1,-1,
0,0,0,,这里很黑,是的，我认为他们故意放了很少的灯,10,0,0,
0,0,0,,你真变态|居然带我来到这种地方,（她压低了声音）我已经警告过你，这是个危险的地方,10,-1,1,
10,0,0,,我害怕Sarah,你可以看看这些刑具|没有那么可怕,20,0,-1,
10,0,0,,这太刺激了！,对！你想看看这些刑具吗？,20,1,0,
10,0,0,,我已经迫不及待地|想把你绑起来,（她脸红了，高兴地点了点头）|你想看哪种刑具？,20,0,1,
10,0,0,,我们可以试试这些刑具吗？,当然，但我们需要小心|您想看哪种刑具？,20,0,0,
10,0,0,,这所学校真有病,我想有些纪律已经过时了|有你想看的刑具吗？,20,-1,0,
20,0,0,!SarahOnCross,（检查十字架）,（墙上有一个巨大的木制十字架，用链子锁住四肢）,100,0,0,
20,0,0,SarahOnCross,（检查十字架）,（Sarah还在木十字架上挣扎）|这是我最喜欢的，挣扎很有趣,110,0,0,
20,0,0,!SarahOnPillory,（检查木枷）,（地板上栓着一个木制枷锁|三个孔用来约束手腕和脖子）,200,0,0,
20,0,0,SarahOnPillory,（检查木枷）,（Sarah还在木制的碉堡里挣扎）|我觉得自己就像一个中世纪的少女,210,0,0,
20,0,0,!SarahOnHorse,（看看木马）,（地板上栓着一匹木马。|有两条链子锁住腿）,300,0,0,
20,0,0,SarahOnHorse,（看看木马）,（Sarah还在木马上挣扎）！我的双手是自由的，但我无法逃脱,310,0,0,
20,0,0,,（搜索该地点）,你在隔离室里搜索，但没有找到任何有趣的东西,20,0,0,Search()
20,0,0,,我不喜欢这个地方,别那么害怕和沮丧|这些是有趣的刑具,20,0,0,DontLikeRemark()
20,0,0,SarahRestrained,你在后面还好吗？,（她在远处挣扎着大喊）|是的！这真是一个激动人心的局面,20,0,0,
20,0,0,!SarahRestrained,我已经看够了|我们回去吧,（她撅着嘴）该走了吗？,30,0,0,
20,0,0,SarahRestrained,我已经看够了|我要回去了,（她在远处挣扎着大喊）|你不会就这样把我留在这里吧？,40,0,0,
30,0,0,,我要回我的住处|你想来吗？,当然！我们去看看你的住处吧,50,0,0,
30,0,0,,我要回我的住处|再见，Sarah,好吧！这很有趣。当心,60,0,0,
30,0,0,,也许我们可以|在这里多呆一会儿,太酷了！这就是精神|我们应该检查哪种刑具？,20,0,0,
40,0,0,,玩得开心奋斗|（让她陷入困境）,,40,-2,2,"Leave(""Stranded"")"
40,0,0,,我只是在开玩笑|（待在房间里）,（她叹了口气，不再挣扎。|你想看哪个刑具？）,20,0,0,
50,0,0,,（和Sarah回宿舍去）,,50,1,0,"Leave(""Sarah"")"
60,0,0,,（回到你的宿舍）,,60,0,0,"Leave("""")"
100,0,0,!SarahRestrained,我能把你锁在十字架上吗？,当然！我喜欢在十字架上无助|（她躺在十字架上，而你锁上了锁链）,110,0,0,"LockSarah(""Cross"")"
100,0,0,SarahRestrained,我能把你锁在十字架上吗？,（她高兴地点了点头）|当然，帮帮我，我试试十字架,100,0,0,
100,0,0,!SarahRestrained,Sarah|你能把我锁在里面吗？,当然！用你的胳膊和腿跟着形状走|（你躺在十字架上，而Sarah锁上了锁链）,120,0,0,"LockPlayer(""Cross"")"
100,0,0,SarahRestrained,Sarah|你能把我锁在里面吗？,（她笑了）这个不错|帮帮我，我就把你关起来,100,0,0,
100,0,0,,（把自己锁起来）,（你先锁住脚踝，深呼吸，然后扣上手腕上的袖口）,120,0,0,"LockPlayer(""Cross"")"
100,0,0,,（离开这片区域）,（您从刑具后退一步。|您想看到哪一个？）,20,0,0,
110,0,0,,你在十字架上看起来很可爱,（她咯咯地笑着，高兴地点了点头）|谢谢！我喜欢被拘束,110,0,0,CuteRemark()
110,0,0,,你已经湿了么？,（她点了点头，脸红了一点）|哦，是的。这真的让我很兴奋,110,0,0,WetRemark()
110,0,0,,（吻她）,（她对你的吻感到惊讶）|哦！我没想到,110,0,0,
110,0,0,,（挠她一下）,（她笑了一点，但似乎没那么喜欢）,110,0,0,
110,0,0,,（放她出来）,（你解开锁链，她笑着从十字架上下来）,100,0,0,"LockSarah("""")"
110,0,0,,（离开这片区域）,（你离开那片区域，留下Sarah。|你想看哪台刑具？）,20,0,0,
120,0,0,!SarahRestrained,这很有趣！,你在十字架上看起来不错|我应该为自己的房间买一个,120,0,0,DommeRemark()
120,0,0,SarahRestrained,这很有趣！,对！但要确保你能出去|我们不想被困一整夜,120,0,0,DommeRemark()
120,0,0,,那台刑具叫什么名字？,他们称之为圣安德鲁十字架|别问我为什么知道,120,0,0,
120,0,0,!SarahRestrained,（拨弄链子）,（你拨弄着链子，而她却敲着盒子的声音）,120,0,0,
120,0,0,SarahRestrained,（拨弄链子）,（你在她担心的时候拨弄着链子）|该死的！我们怎么会如此愚蠢？,120,0,0,
120,0,0,!SarahRestrained,你能帮助我吗？,当然！我会解开锁链|（她给你开锁，帮你下车）,100,0,0,"LockPlayer("""")"
120,0,0,SarahRestrained,你能帮助我吗？,你是认真的吗？你也被困住了|（她挣扎着，却无法挣脱）,120,0,0,
120,0,0,,（试着出去）,（你用四肢拉扯，但无法脱身）,120,0,0,
120,0,0,SarahRestrained,（检查Sarah）,（Sarah似乎和你处于类似的困境中）,120,0,0,CheckSarah()
120,0,0,SarahRestrained,（大声呼救）,（你们俩都喊救命，但没人来救）,120,0,0,Wait()
120,0,0,SarahRestrained,（等待帮助）,（你和Sarah一起等，但没人来）|这不好笑！我今晚有安排,120,0,0,Wait()
200,0,0,!SarahRestrained,我能把你|锁在这上面吗？,当然！我很想试试木枷|（当她把肢体伸进刑具后，你锁上了木枷）,210,0,0,"LockSarah(""Pillory"")"
200,0,0,SarahRestrained,我能把你|锁在这上面吗？,（她高兴地点了点头）当然|帮帮我，我试试木枷,200,0,0,
200,0,0,!SarahRestrained,Sarah|你能把我锁在里面吗？,当然！进来，我会把它锁在你身上|（你钻进刑具里，她就把它关上）,220,0,0,"LockPlayer(""Pillory"")"
200,0,0,SarahRestrained,Sarah|你能把我锁在里面吗？,（她笑了）这个不错|帮帮我，我就把你关起来,200,0,0,
200,0,0,,（把自己锁起来）,（你把你的头和手放在木枷里|摇晃它，直到它把你关起来）,220,0,0,"LockPlayer(""Pillory"")"
200,0,0,,（离开这片区域）,（你离开了那片区域）,20,0,0,
210,0,0,,你戴上木枷真好看,（她咯咯地笑着，高兴地点了点头）|谢谢！我喜欢被拘束,210,0,0,CuteRemark()
210,0,0,,你已经湿了么？,（她点了点头，脸红了一点）|哦，是的。这真的让我很兴奋,210,0,0,WetRemark()
210,0,0,,你觉得自己像个|遇险的少女吗？,对！也许Julia可以在我们的|下一部戏中加入一个木枷,210,0,0,
210,0,0,,（打她）,（当她高兴地呻吟时，你狠狠地打了她屁股）,210,0,0,Spank()
210,0,0,,（放她出来）,（你打开刑具，放她出去）,200,0,0,"LockSarah("""")"
210,0,0,,（离开这片区域）,（你离开那片区域，留下Sarah。|你想看哪台刑具？）,20,0,0,
220,0,0,!SarahRestrained,这很有趣！,你穿带着木枷很好看|下次我需要骗Sidney,220,0,0,DommeRemark()
220,0,0,SarahRestrained,这很有趣！,对！但要确保你能出去|我们不想被困一整夜,220,0,0,DommeRemark()
220,0,0,,在中世纪都是|使用这个吗？,是的。如果我有烂番茄，|你现在就会一团糟,220,0,0,
220,0,0,!SarahRestrained,（伸出舌头享受着）,（她拉了拉你的舌头）|你真适合做奴隶呢~,220,0,0,
220,0,0,SarahRestrained,（伸出舌头享受着）,（她拉了拉你的舌头）|说真的，你能挣扎吗？,220,0,0,
220,0,0,!SarahRestrained,你能帮助我吗？,是的！让我帮你打开那个刑具|（你出去的时候，她打开了枕头）,200,0,0,"LockPlayer("""")"
220,0,0,SarahRestrained,你能帮助我吗？,你是认真的吗？你也被困住了|（她挣扎着，却无法挣脱）,220,0,0,
220,0,0,,（试着出去）,（你试着把手或头伸出来，但你做不到）,220,0,0,
220,0,0,SarahRestrained,（检查Sarah）,（Sarah似乎和你处于类似的困境中）,220,0,0,CheckSarah()
220,0,0,SarahRestrained,（大声呼救）,（你们俩都喊救命，但没人来救）,220,0,0,Wait()
220,0,0,SarahRestrained,（等待帮助）,（你和Sarah一起等，但没人来）|这不好笑！我今晚有安排,220,0,0,Wait()
300,0,0,!SarahRestrained,我能把你锁在木马上吗？,哦，是的！我喜欢这匹古怪的鞭打马|（她坐着，你把她锁在触手可及的地方）,310,0,0,"LockSarah(""Horse"")"
300,0,0,SarahRestrained,我能把你锁在木马上吗？,（她高兴地点了点头）当然|帮帮我，我试试这匹马,300,0,0,
300,0,0,!SarahRestrained,Sarah|你能把我锁起来吗？,当然！坐着，把腿张大|（Sarah把你的腿锁在手臂够不着的地方）,320,0,0,"LockPlayer(""Horse"")"
300,0,0,SarahRestrained,Sarah|你能把我锁起来吗？,（她笑了）这个不错|帮帮我，我就把你关起来,300,0,0,
300,0,0,,（把自己锁起来）,（你很难用脚够到链子|但你可以把它们锁在手臂够不到的地方）,320,0,0,"LockPlayer(""Horse"")"
300,0,0,,（离开这片区域）,（您从刑具后退一步。|您想看到哪一个？）,20,0,0,
310,0,0,,你骑在木马上|看起来很可爱,（她咯咯地笑着，高兴地点了点头）|谢谢！我喜欢被拘束,310,0,0,CuteRemark()
310,0,0,,你已经湿了么？,（她点了点头，脸红了一点）|哦，是的。这真的让我很兴奋,310,0,0,WetRemark()
310,0,0,,你在上面玩得开心吗？,没错！这个木马唯一的缺点|就是两腿之间少了点东西,310,0,0,
310,0,0,,（挠她一下）,（她笑了一点，但似乎没那么喜欢）,310,0,0,
310,0,0,,（放她出来）,（你解开她的腿|扶她下来）,300,0,0,"LockSarah("""")"
310,0,0,,（离开这片区域）,（你离开那片区域，留下Sarah。|你想看哪台刑具？）,20,0,0,
320,0,0,!SarahRestrained,这很有趣！,你骑那匹马很好看|可惜我不擅长鞭打,320,0,0,DommeRemark()
320,0,0,SarahRestrained,这很有趣！,对！但要确保你能出去|我们不想被困一整夜,320,0,0,DommeRemark()
320,0,0,,（模拟骑马）,（你模拟骑马）|打起精神来！去牛仔女孩！,320,0,0,
320,0,0,!Common_PlayerChaste,（自慰）,（你在马上蹭，但自慰不好）|我看见你了！你真是个淘气的女孩,320,0,0,Masturbate()
320,0,0,!SarahRestrained,你能帮助我吗？,当然！让我帮你下马|（她解开你的腿，把你拉下来）,300,0,0,"LockPlayer("""")"
320,0,0,SarahRestrained,你能帮助我吗？,你是认真的吗？你也被困住了|（她挣扎着，却无法挣脱）,320,0,0,
320,0,0,,（试着出去）,（你拉扯脚踝的袖口，但它们不会脱下来）,320,0,0,
320,0,0,SarahRestrained,（检查Sarah）,（Sarah似乎和你处于类似的困境中）,320,0,0,CheckSarah()
320,0,0,SarahRestrained,（大声呼救）,（你们俩都喊救命，但没人来救）,320,0,0,Wait()
320,0,0,SarahRestrained,（等待帮助）,（你和Sarah一起等，但没人来）|这不好笑！我今晚有安排,320,0,0,Wait()
400,0,0,,你没事吧？,是的，我很好。独自留在这里有点可怕,410,1,0,
400,0,0,,没人来帮你吗？,不但谢谢你回来|独自留在这里很可怕,410,0,0,
400,0,0,,你学过功课了吗？,我想我错过了。|我应该更小心,410,-1,1,
400,0,0,,对不起，Sarah,现在没事了。独自留在这里有点可怕,410,2,-1,
410,0,0,,跟我回去。|（跟Sarah回去）,,410,0,0,"Leave(""Sarah"")"
410,0,0,,回家吧，女孩|（独自回去）,,410,0,0,"Leave("""")"
500,0,0,,你没事吧？,是的，我很好，但我需要跑|我晚上在市中心要迟到了,510,0,0,
500,0,0,,没人来帮你吗？,不现在我需要快速奔跑|我晚上在市中心要迟到了,510,-1,0,
500,0,0,,你学过功课了吗？,是的，我应该更加小心|现在我迟到了，我得走了,510,-1,1,
500,0,0,,对不起，Sarah,现在没事了。但我需要逃跑|我晚上在市中心要迟到了,510,1,-1,
510,0,0,,Sarah快跑|（独自回去）,,510,0,0,"Leave("""")"
