Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,那么，这里发生了什么？,Dorm.jpg
0,10,0,,你的宿舍很漂亮|这是怎么回事？,Dorm.jpg
0,0,-10,,嘿，姑娘，这是怎么回事？,Dorm.jpg
0,0,10,,小姐，你家怎么了？,Dorm.jpg
0,0,0,Common_PlayerNaked,（她看着你赤裸的身体）|你真是个淘气的小奴,Dorm.jpg
0,10,0,Common_PlayerNaked,（她看着你赤裸的身体）|你真是个淘气的朋友,Dorm.jpg
0,0,-10,Common_PlayerNaked,（她看着你赤裸的身体）|你真是个淘气的女孩,Dorm.jpg
0,0,10,Common_PlayerNaked,（她看着你赤裸的身体）|小姐，你太淘气了,Dorm.jpg
0,0,0,Common_ActorIsLover,亲爱的，发生什么事了？,Dorm.jpg
0,0,0,Common_ActorIsOwner,我的顺从者怎么了？,Dorm.jpg
0,0,0,Common_ActorIsOwned,怎么了，主人？,Dorm.jpg
0,0,0,IsRoped,（她挣扎着试图打结）|这很紧，你能帮帮我吗？,Dorm.jpg
0,0,0,IsStrapped,（她挣扎着试图解开单手套）|这不舒服。你能帮帮我吗？,Dorm.jpg
0,0,0,IsGagged,哦，哦，哦！,Dorm.jpg
10,0,0,,,Dorm.jpg
20,0,0,,,Dorm.jpg
100,0,0,,（她看着你笑了）|你真是个好朋友,Dorm.jpg
100,0,0,Common_ActorIsOwned,（她看着你笑了）|你真是个好小姐,Dorm.jpg
100,0,0,Common_ActorIsOwner,（她看着你笑了）|你真是个可爱的顺从者,Dorm.jpg
105,0,0,,,Dorm.jpg
106,0,0,,,Dorm.jpg
110,0,0,,,Dorm.jpg
120,0,0,,,Dorm.jpg
130,0,0,,,Dorm.jpg
140,0,0,,,Dorm.jpg
150,0,0,,,Dorm.jpg
160,0,0,,,StartDating.jpg
170,0,0,,,Dorm.jpg
190,0,0,,,Dorm.jpg
191,0,0,,,Dorm.jpg
192,0,0,,,StopDating.jpg
193,0,0,,,StopDating.jpg
194,0,0,,,Dorm.jpg
200,0,0,,训练？但我做很多运动，小姐,Dorm.jpg
200,0,0,Common_ActorIsLover,亲爱的，你是认真的吗|我已经做了很多运动,Dorm.jpg
210,0,0,,,Dorm.jpg
220,0,0,,,Dorm.jpg
230,0,0,,,Dorm.jpg
240,0,0,,,Dorm.jpg
245,0,0,,,Dorm.jpg
250,0,0,,,Dorm.jpg
260,0,0,,,Dorm.jpg
270,0,0,,,Dorm.jpg
280,0,0,,,Dorm.jpg
290,0,0,,,Dorm.jpg
291,0,0,,,Dorm.jpg
292,0,0,,,Dorm.jpg
293,0,0,,,Dorm.jpg
294,0,0,,,Dorm.jpg
295,0,0,,,Dorm.jpg
296,0,0,,,Dorm.jpg
297,0,0,,,Dorm.jpg
300,0,0,,我看到了你在我周围的行为方式。|你以前有过导师吗？,Dorm.jpg
300,0,0,Common_ActorIsLover,宝贝，我想我很了解你|你以前有过导师吗？,Dorm.jpg
301,0,0,,,Dorm.jpg
302,0,0,,,Dorm.jpg
303,0,0,,,Dorm.jpg
304,0,0,,,Dorm.jpg
305,0,0,,,Dorm.jpg
306,0,0,,,Dorm.jpg
307,0,0,,,Dorm.jpg
308,0,0,,,Dorm.jpg
309,0,0,,,Dorm.jpg
320,0,0,,,Dorm.jpg
321,0,0,,,Dorm.jpg
322,0,0,,,Dorm.jpg
323,0,0,,,Dorm.jpg
324,0,0,,,Dorm.jpg
325,0,0,,,Dorm.jpg
326,0,0,,,Dorm.jpg
327,0,0,,,Dorm.jpg
328,0,0,,,Dorm.jpg
329,0,0,,,Dorm.jpg
330,0,0,,,Dorm.jpg
331,0,0,,,Dorm.jpg
399,0,0,,,Dorm.jpg
450,0,0,,（Jennifer把手指伸进你的项圈里）|你准备好训练我的顺从者了吗？,Dorm.jpg
450,0,0,Common_ActorIsLover,（Jennifer把手指伸进你的项圈里）|你准备好训练我的孩子了吗？,Dorm.jpg
500,0,0,,,Dorm.jpg
510,0,0,,,Dorm.jpg
520,0,0,,,Dorm.jpg
530,0,0,,,Dorm.jpg
540,0,0,,,PlayerJenniferFight.jpg
550,0,0,,,PlayerJenniferFightDefeat.jpg
560,0,0,,,PlayerJenniferFightVictory.jpg
570,0,0,,,Dorm.jpg
590,0,0,,,Dorm.jpg
591,0,0,,,PlayerJenniferFight.jpg
592,0,0,,,PlayerJenniferFightDefeat.jpg
593,0,0,,,PlayerJenniferFightVictory.jpg
594,0,0,,,Dorm.jpg
600,0,0,,,Dorm.jpg
610,0,0,,,Dorm.jpg
630,0,0,,,Dorm.jpg
631,0,0,,,Dorm.jpg
632,0,0,,,Dorm.jpg
633,0,0,,,Dorm.jpg
634,0,0,,,Dorm.jpg
635,0,0,,,Dorm.jpg
640,0,0,,,Dorm.jpg
641,0,0,,,Dorm.jpg
642,0,0,,,DormOrgasm.jpg
650,0,0,,那太好了|我有一个玩具，我们可以试试,Dorm.jpg
650,0,0,Common_ActorIsLover,那太好了，亲爱的|我有一个很好的玩具，我们可以试试,Dorm.jpg
650,0,0,Common_ActorIsOwned,当然，主人|我有一个玩具，我们可以试试,Dorm.jpg
650,0,0,Common_ActorIsOwner,那将是我的得意顺从者|我有一个很好的玩具，我们可以试试,Dorm.jpg
651,0,0,,,Dorm.jpg
790,0,0,,你真的要把我赶出去吗？,Door.jpg
790,0,0,Common_ActorIsLover,你真的要把我赶出去吗|这就是我们爱情故事的结局？,StopDating.jpg
791,0,0,,,Door.jpg
800,0,0,,,Dorm.jpg
810,0,0,,,JenniferPushUps.jpg
820,0,0,,,JenniferSitUps.jpg
830,0,0,,,JenniferSquats.jpg
840,0,0,,,JenniferJumpingJacks.jpg
3010,0,0,,你要换衣服和我一起做运动。|我想看看你穿内衣的样子,Dorm.jpg
3010,0,0,Common_ActorIsLover,你要换衣服，和我一起做运动。|宝贝，我想看看你穿内衣的样子,Dorm.jpg
3020,0,0,,你要换衣服和我一起做运动。|我想看看你穿校服的样子,Dorm.jpg
3020,0,0,Common_ActorIsLover,你要换衣服和我一起做运动。|宝贝，我想看看你穿校服的样子,Dorm.jpg
3030,0,0,,你要换衣服和我一起做运动。|我想看看你穿泳衣的样子,Dorm.jpg
3030,0,0,Common_ActorIsLover,你会换衣服和我一起锻炼的。|我想看看你穿比基尼的样子,Dorm.jpg
3050,0,0,,你要换衣服和我一起做运动。|我想看看你穿一件普通的衣服,Dorm.jpg
3050,0,0,Common_ActorIsLover,你要换衣服和我一起做运动。|宝贝，我想看看你穿得漂亮,Dorm.jpg
3060,0,0,,你要换衣服和我一起做运动。|我想看看你穿网球服的样子,Dorm.jpg
3060,0,0,Common_ActorIsLover,你会换衣服和我一起锻炼的。|宝贝，我想看看你穿着网球装备的样子,Dorm.jpg
3090,0,0,,,Dorm.jpg
3091,0,0,,（她竖起大拇指）你看起来很完美|保持这样，你不允许改变,Dorm.jpg
3091,0,0,Common_ActorIsLover,（她竖起大拇指）亲爱的，我喜欢它|保持这样，你不允许改变,Dorm.jpg
3092,0,0,,,Dorm.jpg
3093,0,0,,,Dorm.jpg
3100,0,0,,我的顺从者，我会把你绑起来，堵住你的嘴，训练你的灵活性和逃跑技能,Dorm.jpg
3110,0,0,,我的奴隶，我会约束你训练你的灵活性和逃跑技能,Dorm.jpg
3120,0,0,,现在，你将接受保持沉默的训练|我会用你的一个噱头来对付你,Dorm.jpg
3130,0,0,,在这里，让我来帮你我的顺从者|（她放开你，向你眨眼）,Dorm.jpg
3140,0,0,,你不需要钥匙来训练|在这里！我会拿走的,Dorm.jpg
3150,0,0,,那是鞭子吗？这是一个针对导师而非奴隶的培训工具。我接受,Dorm.jpg
3160,0,0,,（你的震动蛋开始随机嗡嗡作响）|你包里的是粉红色的震动蛋吗？,Dorm.jpg
3161,0,0,,,Dorm.jpg
3162,0,0,,,Dorm.jpg
3190,0,0,,,Dorm.jpg
3191,0,0,,,Dorm.jpg
3200,0,0,,你该训练了。你将穿着内衣做一些俯卧撑,Dorm.jpg
3201,0,0,,,PlayerPushUp.jpg
3210,0,0,,你该训练了。你会穿着内衣做仰卧起坐,Dorm.jpg
3211,0,0,,,PlayerSitUp.jpg
3230,0,0,,这种作物有点有趣|我们将训练你的耐力,Dorm.jpg
3231,0,0,,,Dorm.jpg
3290,0,0,,,Dorm.jpg
3291,0,0,,,Dorm.jpg
3800,0,0,,（Jennifer抓住你，严厉地看了你一眼）|规则很明确。你在干什么？,Dorm.jpg
3801,0,0,,,Dorm.jpg
3810,0,0,,（Jennifer抓住你，严厉地看了你一眼）|规则很明确。你在干什么？,Dorm.jpg
3811,0,0,,,Dorm.jpg
3900,0,0,,够了！你应该接受惩罚训练|这会给你一个教训,Dorm.jpg
3901,0,0,,,Dorm.jpg
3902,0,0,,,Dorm.jpg
3903,0,0,,,Dorm.jpg
3910,0,0,,COMMON_PLAYERNAME。你现在被禁足了,Dorm.jpg
3911,0,0,,,Dorm.jpg
3912,0,0,,,Dorm.jpg
3913,0,0,,,Dorm.jpg
3914,0,0,,,Dorm.jpg
3915,0,0,,你学到什么了吗？,Dorm.jpg
3920,0,0,,我的奴隶，你的训练将是纯洁的|你会戴上自己的贞操带,Dorm.jpg
3921,0,0,,,Dorm.jpg
3922,0,0,,,Dorm.jpg
3923,0,0,,,Dorm.jpg
3930,0,0,,你需要记住你的位置|一些羞辱会帮助你,Dorm.jpg
3931,0,0,,,Dorm.jpg
3932,0,0,,,Dorm.jpg
3940,0,0,,为了惩罚你，你必须边睡边训练,Dorm.jpg
3941,0,0,,,Dorm.jpg
3999,0,0,,,Dorm.jpg
