Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,Common_ActorIsOwner,导师，是时候对我进行培训了吗？,现在不行，我们正在短暂休息|你的训练稍后将恢复,0,0,0,RandomJenniferDommeEvent()
0,0,0,Common_ActorIsOwner,导师，我能穿点别的吗？,当然是我的小徒弟|你可以穿你想穿的,0,0,0,IsChangingBlocked()
0,5,0,!Common_ActorIsLover,你看起来真漂亮，Jennifer,你看起来比我好多了。|（你需要+20的爱才能和Jennifer约会）,0,0,0,TestLove()
0,0,0,,我们需要谈谈,是 啊？你在想什么？,0,0,0,TestTalk()
0,0,5,!Common_ActorIsOwned,女孩，你需要一些训练,我几乎每天都在训练，小姐。|（你需要+20分才能领Jennifer）,0,0,0,TestDomme()
0,0,-5,!Common_ActorIsOwner,Jennifer小姐|我很佩服你,我不知道你为什么这么佩服我|（你需要-20的顺从度才能提交给Jennifer）,0,0,0,TestSub()
0,0,0,Common_PlayerGagged,@天哪！,如果你天天练习|也许你能做到被堵住嘴的时候清晰地说话,0,0,0,TestUnbind()
0,0,0,Common_ActorIsOwner,（哼一首性感的歌|跳舞取乐）,现在不行，我们正在短暂休息|你的训练稍后将恢复,0,0,0,RandomJenniferDommeEvent()
0,0,0,Common_PlayerRestrained,（在束缚中挣扎）,不，你不能出去|很高兴看到你挣扎,0,0,0,TestUnbind()
0,0,0,!Common_ActorIsOwner,你应该换件衣服,不用了，谢谢。我这样很好,0,0,0,TestChange()
0,0,0,SexAvail,你想和我做爱吗？,不，我不喜欢。|我们做点别的吧,0,0,0,TestSex()
0,0,0,PleasurePlayerAvail,我的奴隶|你要怎么取悦我,你高兴吗，主人？,630,0,0,TestPleasurePlayer()
0,0,0,!Common_PlayerRestrained,（和她一起玩）,（你向她迈出了一步）,10,0,0,
10,5,0,!Common_PlayerGagged,（吻她）,（你靠近她，甜蜜地吻她的嘴唇）,10,0,0,Kiss()
10,1,0,!Common_PlayerRestrained,（挠她一下）,（你靠近她，挠她的胸口，但她没有那么大反应）,10,0,0,Tickle()
10,0,5,!Common_PlayerRestrained,（打她）,（你狠狠地打了她屁股，她却茫然地盯着你看）,10,0,0,Spank()
10,0,0,CanMasturbate,（抚摸她的阴部）,（你伸手靠近她的私处，但她把你推开了）,10,0,0,StartMasturbate()
