Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,AmandaAvail,认识一下Amanda,,0,0,0,AmandaStart()
0,0,0,,学习一段时间,你学习一段时间，然后做一些家庭作业,0,0,0,Wait()
0,0,0,,搜索这个地方,你在图书馆里找了找，但没有找到任何有趣的东西,0,0,0,Search()
0,0,0,,离开图书馆,,0,0,0,Leave()
10,0,0,,离开图书馆,,0,0,0,Leave()
100,0,0,,我不需要你的帮助,（她皱着眉头）很好|那你可以和我一起学习,200,-1,0,
100,0,0,,是啊，这太难了,也许我能帮你|你可以和我一起学习,200,0,-1,
100,0,0,,你在做什么？,我正在为下周的考试做准备|如果你愿意，你可以和我一起学习,200,0,0,
100,0,0,,别担心，我很好,你看起来很自信，这很好|如果你愿意，你可以在这里和我一起学习,200,0,1,
100,0,0,,不，我是来看你的,你真是太好了|你可以和我一起学习,200,1,0,
110,0,0,,别叫我小姐|听起来很奇怪,（她低下头）对不起，演员姓名|如果你愿意，你可以在这里和我一起学习,200,0,-1,
110,0,0,,我是来看你的,你真是太好了|你可以和我一起学习,200,1,0,
110,0,0,,我很无聊|所以我来了这里,厌倦了我们伟大的学院？真奇怪|如果你愿意，你可以在这里和我一起学习,200,-1,0,
110,0,0,,我来图书馆找书,这是一个学习的好地方|如果你愿意，你可以和我一起学习,200,0,0,
110,0,0,,我在学校闲逛|想给女孩惹麻烦,（她被你的回答惊呆了）嗯|我的…如果你愿意，你可以在这里和我一起学习,200,0,1,
120,0,0,,女孩，你就是这|样对待新生的吗？,对不起，我想我有点粗鲁|如果你愿意，你可以和我一起学习,200,0,1,
120,0,0,,你一直在学习吗？,没有，但我想取得好成绩|如果你愿意，你可以和我一起学习,200,-1,0,
120,0,0,,我们能实现和平吗？,好吧。（她握了握你的手）|如果你愿意，可以和我一起学习,200,1,0,
120,0,0,,今天的事我很抱歉|请不要生气,我想我们开始走错了路|如果你愿意，你可以在这里和我一起学习,200,0,-1,
120,0,0,,我只是来看看|学校图书馆,这是一个学习的好地方|如果你愿意，你可以和我一起学习,200,0,0,
130,0,0,,对！我有一份|家庭作业要做,很好，我的朋友|你可以和我一起学习,200,1,0,
130,0,0,,不，我是来看图书馆的,这是一个学习的好地方|如果你愿意，你可以和我一起学习,200,0,0,
130,0,0,,做作业只适合失败者,（她皱着眉头）你不可能是认真的|如果你愿意，你可以和我一起学习,200,-1,0,
130,0,0,,是的，我需要学习|这样我就不会失败,很好，不要放弃|你可以和我一起学习,200,0,-1,
130,0,0,,是的！所以我会得|到完美的成绩,完美的成绩？这令人印象深刻|如果你愿意，你可以和我一起学习,200,0,1,
140,0,0,Common_PlayerChaste,对不起，我不能。|我也被锁上了,我想我们可以互相理解|如果你愿意，你可以在这里和我一起学习,200,1,-1,
140,0,0,,我无法解锁它,好吧，我会找个好锁匠的|如果你愿意，你可以在这里学习,200,0,0,
140,0,0,,保持贞洁有助于你集中注意力,什么？我…但是...但是...好吧|如果你愿意，你可以和我一起学习,200,0,1,
