Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,请稍等片刻,你坐一会儿，看看谁来了谁走,0,0,0,Wait()
0,0,0,,检查淋浴,淋浴间是空的,100,0,0,EnterShower()
0,0,0,JenniferAvail,和Jennifer一起游泳,,230,0,0,SwimWithJennifer()
0,0,0,,独自游泳,你独自游了一会儿|这是一项很好的锻炼，而且很放松,10,0,0,Swim()
0,0,0,,搜索这个地方,你找到了一些救生衣和救生圈，但没有什么真正有趣的,0,0,0,Search()
0,0,0,,回到你的宿舍,,0,0,0,Leave()
10,0,0,,独自游泳,你独自游了一会儿|这是一项很好的锻炼，而且很放松,10,0,0,Swim()
10,0,0,HasSports,做一些动作,你在水中做了一些令人印象深刻的动作只是为了好玩,20,0,0,Swim()
10,0,0,,离开游泳池,你从水里出来，看看有没有人来,0,0,0,
20,0,0,,独自游泳,你独自游了一会儿|这是一项很好的锻炼，而且很放松,10,0,0,Swim()
20,0,0,HasSports,做更多的动作,你在水中做更多精彩的动作只是为了好玩,20,0,0,Swim()
20,0,0,,离开游泳池,你从水里出来，看看有没有人来,0,0,0,
100,0,0,,洗澡,你洗个热水澡放松一下,101,0,0,Shower()
100,0,0,,搜索这个地方,你找到了一些肥皂和洗发水，但没有什么真正有趣的,100,0,0,SearchShower()
100,0,0,,检查游泳池,你回到游泳池去,0,0,0,EnterPool()
100,0,0,,回到你的宿舍,,100,0,0,Leave()
101,0,0,,再洗个澡,你待在热水澡里,101,0,0,Shower()
101,0,0,,停止淋浴,你走出淋浴间,100,0,0,EnterShower()
110,0,0,,别碰她！,（女孩威胁地看了你一眼）|你是谁？离开这里！,120,0,2,FaceFront()
110,0,0,,发生什么事？,（女孩愤怒地看了你一眼）|不关你的事！离开这里！,120,1,1,FaceFront()
110,0,0,,（保持沉默）,（女孩注意到你了）|离开这里，女孩！,120,0,0,FaceFront()
110,0,0,,救命！救命！救命|（奔跑并尖叫）,（你跑回游泳池。Jennifer跟着你跳进游泳池）,0,0,-2,EnterPool()
110,0,0,,（安静地离开）,（你悄悄地朝水边走去，而|Jennifer在你身后冲刺，跳进游泳池）,0,-1,-1,EnterPool()
