Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,EmptyPub,这个时候酒吧里空荡荡的|学校里没有人在附近,Pub.jpg
0,0,0,!EmptyPub,放学后，学生们聚集在酒吧|你想见谁？,Pub.jpg
100,0,0,,你来了！因为你，我仍然被困在这条该死的贞操带里,PubActor.jpg
100,-8,0,,TMD！COMMON_PLAYERNAME|马上解开贞操带！,PubActor.jpg
100,0,8,,哦！COMMON_PLAYERNAME小姐|你现在能解开贞操带吗？,PubActor.jpg
101,0,0,,,PubActor.jpg
102,0,0,,,PubActor.jpg
110,0,0,,你来了！因为你，我仍然被困在这个该死的跳蛋里,PubActor.jpg
110,-8,0,,TMD！COMMON_PLAYERNAME|现在把跳蛋拿走！,PubActor.jpg
110,0,8,,哦！COMMON_PLAYERNAME小姐|你现在能把跳蛋拿走吗？,PubActor.jpg
111,0,0,,,PubActor.jpg
112,0,0,,,PubActor.jpg
120,0,0,,嘿，女孩！如果你想坐在这里，|你需要给我拿瓶啤酒,PubActor.jpg
120,8,0,,嘿，小可爱！如果你想坐在这里，|你需要给我拿瓶啤酒,PubActor.jpg
120,-8,0,,嘿，他妈的脸！如果你想坐在这里，你需要给我拿瓶啤酒,PubActor.jpg
121,0,0,,,PubActor.jpg
122,0,0,,,PubActor.jpg
130,0,0,,你好，COMMON_PLAYERNAME小姐|你为什么来酒吧？,PubActor.jpg
131,0,0,,,PubActor.jpg
132,0,0,,,PubActor.jpg
140,0,0,,性交！你为什么跟我说话？,PubActor.jpg
141,0,0,,,PubActor.jpg
142,0,0,,,PubActor.jpg
150,0,0,,很高兴见到你|和我一起喝杯啤酒,PubActor.jpg
151,0,0,,,PubActor.jpg
152,0,0,,,PubActor.jpg
160,0,0,,我不敢相信你接管了文学课,PubActor.jpg
161,0,0,,,PubActor.jpg
162,0,0,,,PubActor.jpg
170,0,0,,我仍然不敢相信你剥光我的衣服，把我绑在外面。我应该踢你屁股,PubActor.jpg
180,0,0,,嘿，拘留所的伙计|你还在制造麻烦吗？,PubActor.jpg
190,0,0,,哦！是你。你想要什么？,PubActor.jpg
191,0,0,,,PubActor.jpg
192,0,0,,,PubActor.jpg
200,0,0,,,PubActor.jpg
201,0,0,,,PubActor.jpg
202,0,0,,,PubActor.jpg
203,0,0,,,PubActor.jpg
204,0,0,,,PubActor.jpg
205,0,0,,,PubActor.jpg
210,0,0,,,PubPusher.jpg
211,0,0,,,PubPusher.jpg
212,0,0,,,PubPusher.jpg
213,0,0,,,PubPusher.jpg
214,0,0,,,PubPusher.jpg
215,0,0,,,PubPusher.jpg
216,0,0,,,PubPusher.jpg
217,0,0,,,PubPusher.jpg
219,0,0,,,PubPusher.jpg
220,0,0,,,PubActor.jpg
221,0,0,,,PubActor.jpg
222,0,0,,,PubActor.jpg
223,0,0,,,PubActor.jpg
224,0,0,,,PubActor.jpg
225,0,0,,,PubActor.jpg
300,0,0,,,Dorm.jpg
310,0,0,,,Dorm.jpg
320,0,0,,,Dorm.jpg
330,0,0,,,Dorm.jpg
