Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,这个地方太拥挤了,是啊，有当地乐队的时候很拥挤|你以前听过吗？他们摇滚！,10,-1,0,Wait(50000)
0,0,0,,我们找到了一个好地方,妈的，是的，我们离乐队很近|你以前听过吗？他们摇滚！,10,1,0,Wait(50000)
0,0,0,,人群相当大,是啊，有当地乐队的时候很拥挤|你以前听过吗？他们摇滚！,10,0,0,Wait(50000)
10,0,0,,这是我第一次,他们主要演奏金属音乐和一些民谣|（她随着金属曲调摇头）,20,0,0,Wait(50000)
10,0,0,,太吵了,别担心，会有一些民谣|（她随着金属曲调摇头）,20,0,-1,Wait(50000)
10,0,0,,他们最好演奏一些金属乐器,（她用手指做魔鬼手势，然后在金属曲调上摇头）,20,0,1,Wait(50000)
10,0,0,,我以前见过他们,太棒了我两年前见过他们|（她随着金属曲调摇头）,20,0,0,Wait(50000)
20,0,0,,（欣赏这首金属曲调）,（你和Sidney喜欢这首金属曲。|紧接着，他们换了一首慢民谣）,30,0,0,Wait(230000)
20,0,0,,（和你的邻居大吵一架）,（你和Sidney在金属曲调上砰砰作响。|紧接着，乐队换成了一首慢民谣）,30,0,1,Wait(230000)
20,0,0,,（捂住耳朵）,（Sidney欣赏这首曲子时，你遮住了脸。|紧接着，乐队换了一首慢民谣）,30,0,-1,Wait(230000)
30,0,0,,这很好,没关系，但还不够摇滚|我想这很浪漫。（她眨了眨眼）,40,0,0,Wait(50000)
30,0,0,,这是我最喜欢的歌,他们有比这更好的歌|但我想这很浪漫。（她眨了眨眼）,40,-1,0,Wait(50000)
30,0,0,,（唱这首歌）,（她和你一起哼这首歌）||这很浪漫。（她眨了眨眼）,40,0,0,Wait(50000)
30,0,0,,另一首曲子更好,是啊，这首歌太慢了|但我想这很浪漫。（她眨了眨眼）,40,0,0,Wait(50000)
40,0,0,,（握住她的手）,（你们牵着手微笑）|（这首歌变得非常浪漫）,50,1,0,Wait(50000)
40,0,0,,（亲吻她的脖子）,（你亲吻她的脖子，她咯咯地笑了起来）|（这首歌变得非常浪漫）,50,1,0,Wait(50000)
40,0,0,,我爱你，Sidney,我爱你COMMON_PLAYERNAME|（这首歌变得非常浪漫）,50,1,0,Wait(50000)
40,0,0,,（听这首歌）,（你们俩都喜欢这首曲子，它变得非常浪漫）,50,0,0,Wait(50000)
50,0,0,,（享受表演）,（你们俩都喜欢这个节目，一起度过了美好的时光）,50,0,0,NextSong()
50,0,0,CanMasturbateSidney,（把手伸进她的短裤里）,（确保没有人能看到你，你把手伸进她的短裤里，让她惊讶地跳了起来）,100,0,0,StartMasturbateSidney()
50,0,0,,（搜索该地点）,（你四处搜寻了一段时间，但没有找到任何有用的东西）,50,0,0,Search()
50,0,0,,（退出演出）,你想离开亲爱的吗|我们应该回你宿舍吗？,60,0,0,
60,0,0,,好的，我们走吧,,60,0,0,Leave()
60,0,0,,不，我们留下来,加油！（你们两个都看这个节目）,50,0,0,
100,0,0,,（玩弄她的阴蒂）,（你慢慢地玩弄她的阴蒂，而她的心跳则快了一点）,100,0,0,MasturbateSidney(1)
100,0,0,,（抚摸她的阴部）,（你深情地抚摸她的阴部，而她呻吟着，身体有轻微的痉挛）,100,0,0,MasturbateSidney(2)
100,0,0,,（让她休息一下）,（你把手伸进她的短裤里，但不要自慰。她困惑地看了你一眼）,100,0,0,MasturbateSidney(-1)
100,0,0,,（把手往后拉）,（当你退出时，Sidney似乎很失望|但你们俩都很快把注意力放回了节目上）,50,-1,1,BackToShow()
110,0,0,!Common_ActorIsOwned,我爱你，Sidney|（让她达到高潮）,（当她颤抖和呻吟时，你加快了节奏，获得了公共高潮）,120,1,0,OrgasmSidney()
110,0,0,!Common_ActorIsOwned,Cum我的奴隶|（让她达到高潮）,（当她颤抖和呻吟时，你加快了节奏，获得了公共高潮）,120,0,1,OrgasmSidney()
110,0,0,!Common_ActorIsOwned,我控制你的高潮|（把手往后拉）,（当你退出时，Sidney似乎很失望|但你们俩都很快把注意力放回了节目上）,50,-1,2,BackToShow()
110,0,0,Common_ActorIsOwned,我爱你，Sidney|（让她达到高潮）,（当她颤抖和呻吟时，你加快了节奏，获得了公共高潮）,120,1,0,OrgasmSidney()
110,0,0,Common_ActorIsOwned,Cum我可爱的荡妇|（让她达到高潮）,（当她颤抖和呻吟时，你加快了节奏，获得了公共高潮）,120,0,1,OrgasmSidney()
110,0,0,Common_ActorIsOwned,取笑你很有趣|（把手往后拉）,（当你退出时，Sidney似乎很失望|但你们俩都很快把注意力放回了节目上）,50,-1,2,BackToShow()
120,0,0,,我希望你喜欢,地狱，是的，这是他妈的变态|（你们俩都专注于节目）,50,0,0,BackToShow()
120,0,0,,你真是个荡妇,（当你们俩都专注于节目时，她保持沉默，脸红了）,50,-1,1,BackToShow()
120,0,0,,我做过的最淘气的事,（当你们俩都专注于节目时，她竖起大拇指）,50,0,-1,BackToShow()
200,0,0,!Common_ActorIsOwner,哦，是的，我的爱|（让她玩吧）,（她确保没有人在看，并在黑暗和拥挤的表演中玩弄你的阴部）,210,1,0,MasturbatePlayer()
200,0,0,!Common_ActorIsOwner,不要在公共场合|（把她推开）,好的！你真是令人沮丧|（她把手移开）,50,-2,1,BackToShow()
200,0,0,!Common_ActorIsOwner,你确定这是明智的吗？,（她向你眨眼，在黑暗拥挤的表演中玩弄你的阴部）,210,0,-1,MasturbatePlayer()
200,0,0,Common_ActorIsOwner,哦，是的，主人|（让她玩吧）,（她确保没有人在看，并在黑暗和拥挤的表演中玩弄你的阴部）,210,1,0,MasturbatePlayer()
200,0,0,Common_ActorIsOwner,不要在公共场合|（把她推开）,（她皱着眉头，用力伸出手，在黑暗拥挤的表演中玩弄你的阴部）,210,-2,1,MasturbatePlayer()
