Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,我们可以做些什么来获得乐趣？,Dorm.jpg
0,10,0,,我的朋友。我们可以做些什么来获得乐趣？,Dorm.jpg
0,0,-10,,嘿，女孩。我们可以做些什么来获得乐趣？,Dorm.jpg
0,0,10,,小姐，我们能做些什么来娱乐呢？,Dorm.jpg
0,0,0,Common_PlayerNaked,你真可爱又古怪,Dorm.jpg
0,10,0,Common_PlayerNaked,（她盯着你，开心地笑着）|你裸体的时候很性感,Dorm.jpg
0,0,-10,Common_PlayerNaked,你真是个可爱又古怪的女孩,Dorm.jpg
0,0,10,Common_PlayerNaked,（她避免盯着你看，脸红了）|小姐，你裸体的时候真漂亮,Dorm.jpg
0,0,0,Common_ActorIsLover,嘿性感！我们可以做些什么来获得乐趣？,Dorm.jpg
0,0,0,Common_ActorIsOwned,我们该怎么做才能玩得开心，主人？,Dorm.jpg
0,0,0,IsRoped,（她拉绳子是为了好玩）|你真是个绳索艺术家,Dorm.jpg
0,0,0,IsStrapped,（她开玩笑地在单手套里挣扎）|我喜欢这个项目！它紧紧地拥抱着我,Dorm.jpg
0,0,0,IsGagged,哎哟！,Dorm.jpg
10,0,0,,,Dorm.jpg
20,0,0,,,Dorm.jpg
100,0,0,,哦，是的！做爱会很棒|我们就在你房间里做？,Dorm.jpg
100,0,0,Common_ActorIsLover,哦，是的，我的性感爱人,Dorm.jpg
100,0,0,Common_ActorIsOwned,是的，主人,Dorm.jpg
110,0,0,,（你们俩都起床了）|你想和我约会吗？,Dorm.jpg
110,0,0,Common_ActorIsOwned,（你们俩都从床上起来伸了个懒腰）|主人，你想和我约会吗？,Dorm.jpg
120,0,0,,,Dorm.jpg
130,0,0,,,Dorm.jpg
140,0,0,,,Dorm.jpg
141,0,0,,,Dorm.jpg
142,0,0,,,Dorm.jpg
143,0,0,,,Dorm.jpg
144,0,0,,,StartDating.jpg
150,0,0,,,Dorm.jpg
151,0,0,,,Dorm.jpg
152,0,0,,,Dorm.jpg
153,0,0,,,StartDating.jpg
190,0,0,,,Dorm.jpg
191,0,0,,,Dorm.jpg
192,0,0,,,StopDating.jpg
200,0,0,,我没有。我是一个免费的奴隶|我想我太麻烦了，主人不会考虑我,Dorm.jpg
210,0,0,,,Dorm.jpg
220,0,0,,,Dorm.jpg
230,0,0,,,Dorm.jpg
240,0,0,,,Dorm.jpg
250,0,0,,,Dorm.jpg
251,0,0,,,Dorm.jpg
252,0,0,,,Dorm.jpg
253,0,0,,,Dorm.jpg
254,0,0,,,Dorm.jpg
260,0,0,,,Dorm.jpg
270,0,0,,,Dorm.jpg
280,0,0,,,Dorm.jpg
300,0,0,,,Dorm.jpg
310,0,0,,,Dorm.jpg
320,0,0,,,Dorm.jpg
330,0,0,,,Dorm.jpg
340,0,0,,,Dorm.jpg
350,0,0,,,Dorm.jpg
360,0,0,,,Dorm.jpg
370,0,0,,,Dorm.jpg
380,0,0,,,Dorm.jpg
400,0,0,,我要去市中心|稍后见,Door.jpg
400,0,0,Common_ActorIsLover,嘿，性感，我要去市中心|我稍后会回来和你一起睡,Door.jpg
400,0,0,Common_ActorIsOwned,主人，我要去市中心|我希望很快能见到你,Door.jpg
400,0,0,BondageClubInvitationBySarah,是时候去束缚俱乐部了|你准备好了吗？这将会很有趣,Door.jpg
401,0,0,,,Door.jpg
402,0,0,,,Door.jpg
410,0,0,,,Door.jpg
500,0,0,,,Dorm.jpg
510,0,0,,,Dorm.jpg
520,0,0,,,Dorm.jpg
530,0,0,,,Dorm.jpg
540,0,0,,,Dorm.jpg
550,0,0,,,Dorm.jpg
560,0,0,,,Dorm.jpg
600,0,0,,,Dorm.jpg
610,0,0,,,Dorm.jpg
630,0,0,,,Dorm.jpg
631,0,0,,,Dorm.jpg
632,0,0,,,Dorm.jpg
633,0,0,,,Dorm.jpg
634,0,0,,,Dorm.jpg
635,0,0,,,Dorm.jpg
640,0,0,,,Dorm.jpg
641,0,0,,,Dorm.jpg
642,0,0,,,DormOrgasm.jpg
700,0,0,,小猪为什么在这里|（她指着Sidney）,Dorm.jpg
700,0,0,Common_ActorIsLover,嘿性感。小猪为什么在这里|（她指着Sidney，盯着他看）,Dorm.jpg
700,0,0,Common_ActorIsOwned,主人，小猪为什么在这里？,Dorm.jpg
701,0,0,,,Dorm.jpg
702,0,0,,,Dorm.jpg
790,0,0,,你要把我赶出去？,Door.jpg
790,0,0,Common_ActorIsLover,你要把我赶出去|我们之间结束了？,StopDating.jpg
791,0,0,,,Door.jpg
2000,0,0,,主人，你能约束我吗？让我窒息|打我屁股？操我？惩罚我？,Dorm.jpg
2100,0,0,,主人，你会在这些约束下操我吗|还是惩罚我？请，请，请,Dorm.jpg
2200,0,0,,好的，好的|（她似乎想要引起注意）,Dorm.jpg
2999,0,0,,,Dorm.jpg
3999,0,0,,,Dorm.jpg
