Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,我们需要谈谈,你想谈些什么？,0,0,0,TestTalk()
0,0,5,!Common_ActorIsOwned,你喜欢BDSM|但你没有主人？,我不是，我是一个自由而快乐的Sub|（你需要+20分才能给Sarah领衔）,0,0,0,TestDomme()
0,0,-10,!BondageClubInvitationBySarah,Sarah小姐|我很佩服你,我想我知道你需要什么，女孩,0,0,0,TestSub()
0,0,0,BondageClubInvitationBySarah,我们现在要去束缚俱乐部吗？,（她看了看时间）不，现在太早了|我们走之前做点别的吧,0,0,0,TestBondageClub()
0,0,0,Common_PlayerGagged,@天哪！,你笑得真可爱|我也可以有一个口球吗？,0,0,0,TestUnbind()
0,0,0,Common_PlayerRestrained,（在束缚中挣扎）,你挣扎的时候很可爱|我也喜欢克制,0,0,0,TestUnbind()
0,0,0,,你应该换件衣服,我更喜欢这样,0,0,0,TestChange()
0,0,0,SexAvail,你想和我做爱吗？,不，我没心情做爱|我们做点别的好吗？,0,0,0,TestSex()
0,0,0,PleasurePlayerAvail,我的奴隶|你要怎么取悦我,你需要我为你服务么？主人|（她看着你笑了）,630,0,0,TestPleasurePlayer()
0,0,0,!Common_PlayerRestrained,（和她一起玩）,（你向她迈出了一步）,10,0,0,
10,5,0,!Common_PlayerGagged,（吻她）,（你靠近她，亲吻她的嘴唇，而她则默默地呻吟）,10,0,0,Kiss()
10,1,0,!Common_PlayerRestrained,（挠她一下）,（你在她笑的时候挠她的胸口，她不太喜欢）,10,0,0,Tickle()
10,0,5,!Common_PlayerRestrained,（打她）,（你狠狠地打了她屁股，她痛苦地呜咽着，充满爱意地呻吟着）,10,0,0,Spank()
10,0,0,CanMasturbate,（抚摸她的阴部）,（你伸手靠近她的私处，但她把你推开了）,10,0,0,StartMasturbate()
10,0,0,IsGagged,（解开她）,（你慢慢地移开她的嘴）|这个嘴很有效,10,0,0,Ungag()
10,0,0,IsRoped,（解开她）,（你解开绳结，解开绳子，让她开心地伸展）,10,0,0,Untie()
10,0,0,IsStrapped,（把她解开）,（你解开带子，把单手套从她胳膊上解开）,10,0,0,Untie()
10,0,0,,（停止玩弄）,（你后退一步）,0,0,0,
20,0,0,Common_ActorIsOwned,让我们复习一下你的规则,哦，我的上帝。是的，主人,610,0,0,
20,0,0,ChatAvail,我想更多地了解你,太酷了！你想知道什么？,500,0,0,StartChat()
20,0,0,DateAmandaAvail,Amanda有什么事吗？,我其实不确定。她给了我一些暗示，但我认为她不是认真的,160,0,0,
20,0,0,DatingAmanda,你想和Amanda一起睡我的床吗？,（她笑了）我当然愿意|但先问她，她是个害羞的人,20,0,0,
20,0,0,AmandaHeartBroken,Amanda会没事吗？,可怜的Amanda，我想她会没事的|我回家后会和她谈谈,20,0,0,
20,0,0,HasPigPicture,这是猪的照片|（分享一张Sidney的照片）,这太完美了！她不会再纠缠我了。|谢谢你，我们还能做些什么好玩的事吗？,0,2,0,PigPictureDone()
20,0,0,Common_PlayerChaste,你能帮我拿这条贞操带吗？,我帮不了你|我没有钥匙,0,0,0,
20,0,0,Common_ActorIsLover,关于我们的关系。。,是我的性感情人吗|（她看起来很紧张）,190,0,0,
20,0,0,,你该离开我家了,你要把我赶出宿舍？,790,-1,1,
20,0,0,,不要介意,很好。你想做什么？,0,0,0,
30,0,0,,对！我们走|（去俱乐部）,,30,0,0,EnterBondageClub()
30,0,0,,还没有，让我收拾行李,好吧，但快点，如果我们迟到了，我们可能会受到惩罚,0,0,0,
100,0,0,,（上床睡觉）,,0,0,0,MakeLove()
100,0,0,,（把她推到床上）,,0,0,0,MakeLove()
100,0,0,!Common_ActorIsOwned,（让她抱着你上床）,,0,0,0,MakeLove()
110,0,0,,你有男朋友吗？,我没有。Amanda不时取笑我，但我认为她不是认真的,120,0,0,
110,0,0,,你有女朋友吗？,我没有。Amanda不时取笑我，但我认为她不是认真的,120,0,0,
110,0,0,,你有爱人吗？,我没有。Amanda不时取笑我，但我认为她不是认真的,120,0,0,
120,0,0,,你爱她吗？,Amanda？当然。她是我最好的朋友|但我也爱你COMMON_PLAYERNAME,130,0,0,
120,0,0,,你们俩怎么不在一起？,我和Amanda？我不知道|我爱她，就像我爱你一样,130,0,0,
120,0,0,,你爱我吗？,我当然爱你|Amanda也是如此,130,0,0,
120,0,0,,Amanda真的很爱你|跟她走,谢谢，也许我应该约她出去|我们还能做些什么来娱乐呢？,0,0,0,
130,0,0,,所以你爱我们俩？,我想是的，这很令人困惑,140,0,0,AmandaJoinForLove()
130,0,0,,你需要下定决心,我现在需要做出选择吗|这太令人困惑了,140,0,0,AmandaJoinForLove()
130,0,0,,倾听你的内心,我现在需要做出选择吗|这太令人困惑了,140,0,0,AmandaJoinForLove()
130,0,0,,你现在不必选择,好吧，我会考虑的|我们还能做些什么来娱乐呢？,0,0,0,
140,0,0,,吻我，Sarah|（试着吻她）,（你吻了她的嘴唇，让她大吃一惊）|你是个很棒的接吻者，COMMON_PLAYERNAME,141,0,0,
140,0,0,,我爱你，Sarah,我爱你COMMON_PLAYERNAME,141,0,0,
140,0,0,,约会Amanda|告诉她你爱她,谢谢，也许我应该约她出去|我们还能做些什么来娱乐呢？,0,0,0,
140,0,0,,闭嘴，去见Amanda,谢谢，也许我应该约她出去|我们还能做些什么来娱乐呢？,0,0,0,
140,0,0,,保持单身,不管怎样，单身女孩的性生活要多得多|我们还能做些什么来娱乐呢？,0,0,0,
141,0,0,,我想看到你快乐,我很高兴你性感|你让我浑身湿透了,142,0,0,
141,0,0,,我想让你快乐,我很高兴你性感|你让我浑身湿透了,142,0,0,
141,0,0,Common_ActorIsOwned,我的小宝贝|你需要快乐,我很高兴和你在一起，主人|你让我浑身湿透了,142,0,0,
142,0,0,,你愿意做我的女朋友吗？,对！我们可以成为古怪的恋人,143,0,0,
142,0,0,,你会和我约会吗？,对！我们可以成为古怪的恋人,143,0,0,
142,0,0,,做我的女朋友,对！我们可以成为古怪的恋人,143,0,0,
143,0,0,,我爱你，Sarah|（亲吻她并与她约会）,（你们来了一个漫长而充满爱意的吻|同时用双手抚摸对方的乳房和阴部进行庆祝）,144,3,0,StartDating()
143,0,0,,等待！我需要更多时间思考,当然，我们会在几百次高潮后做出决定。（她咯咯地笑了起来）,0,0,0,
144,0,0,,亲爱的，我又感到很兴奋,没有比现在更好的时间了！,100,0,-1,
144,0,0,,让我们再来一次！,哦，是的，我的性感爱人！,100,0,0,
144,0,0,Common_ActorIsOwned,我的爱奴|现在上床睡觉,哦，是的，我可爱的主人！,100,0,1,
144,0,0,,我太高兴了！,对！会有很多爱和性|我们可以做些什么来开始我们的关系？,0,1,0,
144,0,0,,我迫不及待地|想告诉我的朋友,好吧，但让我先和Amanda谈谈|我们现在可以做些什么来娱乐呢？,0,-1,0,
144,0,0,,我们应该晚些时候出去,哦耶！好吧，我们可能要等到明天才能进行浪漫的约会,0,0,0,
150,0,0,,吻我，Sarah|（试着吻她）,（你吻了她的嘴唇，让她大吃一惊）|你是个很棒的接吻者，COMMON_PLAYERNAME,151,0,0,
150,0,0,,我爱你，Sarah,我爱你COMMON_PLAYERNAME,151,0,0,
150,0,0,,约会Amanda女孩|（转向Amanda）,,0,0,1,AmandaDatingScene()
150,0,0,,Amanda。要么现在，要么永远,,0,1,0,AmandaDatingScene()
150,0,0,,保持单身,不管怎样，单身女孩的性生活要多得多|我们还能做些什么来娱乐呢？,0,0,0,
151,0,0,,你愿意做我的女朋友吗？,对！我们可以成为古怪的恋人|（Amanda哭了起来就走了）,152,0,0,AmandaLeave()
151,0,0,,你会和我约会吗？,对！我们可以成为古怪的恋人|（Amanda哭了起来就走了）,152,0,0,AmandaLeave()
151,0,0,,做我的女朋友,对！我们可以成为古怪的恋人|（Amanda哭了起来就走了）,152,0,0,AmandaLeave()
152,0,0,,我爱你，Sarah|（亲吻她并与她约会）,（你们来了一个漫长而充满爱意的吻|同时用双手抚摸对方的乳房和阴部进行庆祝）,153,3,0,StartDating()
152,0,0,,等待！我需要更多时间思考,当然，我们会在几百次高潮后做出决定。（她咯咯地笑了起来）,0,0,0,
153,0,0,,亲爱的，我又感到很兴奋,没有比现在更好的时间了！,100,0,-1,
153,0,0,,让我们再来一次！,哦，是的，我的性感爱人！,100,0,0,
153,0,0,Common_ActorIsOwned,我的爱奴|现在上床睡觉,哦，是的，我可爱的主人！,100,0,1,
153,0,0,,我太高兴了！,对！会有很多爱和性|我们可以做些什么来开始我们的关系？,0,1,0,
153,0,0,,我迫不及待地|想告诉我的朋友,好吧，但让我先和Amanda谈谈|我们现在可以做些什么来娱乐呢？,0,-1,0,
153,0,0,,我们应该晚些时候出去,哦耶！好吧，我们可能要等到明天才能进行浪漫的约会,0,0,0,
160,0,0,AmandaAvail,她非常爱你,真的？（她似乎很困惑）|那她应该告诉我,161,0,0,
160,0,0,AmandaAvail,她为你疯狂,真的？（她似乎很困惑）|那她应该告诉我,161,0,0,
160,0,0,!AmandaAvail,她非常爱你,真的？（她似乎很困惑）|那她应该告诉我,0,0,0,
160,0,0,!AmandaAvail,她为你疯狂,真的？（她似乎很困惑）|那她应该告诉我,0,0,0,
160,0,0,,我不确定你们俩能不能合作,我不知道。我不太担心那种事情,0,0,0,
161,0,0,,轮到你了，Amanda,,0,1,0,AmandaDatingScene()
161,0,0,,Amanda，现在拿上你的丘比特之箭,,0,0,1,AmandaDatingScene()
161,0,0,,也许有一天她会找到勇气,（她看着Amanda耸耸肩）|我们能做些什么来娱乐呢？,0,0,0,
190,0,0,,我…我…我失去了思路,（她不再担心了）|我性感的爱人，这很好,0,0,0,
190,0,0,,我认为我们|之间没有缘分,（她撅着嘴踢地板）|你想这么快就分手吗？,191,0,0,
190,0,0,,我想分手,（她撅着嘴踢地板）|你想这么快就分手吗？,191,0,0,
191,0,0,,不，让我们呆在一起,（她看着你的眼睛，笑了）|你会太想念性爱了,0,0,0,
191,0,0,Common_ActorIsOwned,我们会分手的，但我会让你做我的奴隶,（她叹了口气，低下头）|至少我可以做你的荡妇,192,-5,0,BreakUp()
191,0,0,!Common_ActorIsOwned,是的，我想分手,（起初她似乎很生气，但开始思考）|如果你愿意，我们可以继续做他妈的朋友,192,-5,0,BreakUp()
192,0,0,!Common_ActorIsOwned,当然，我们仍然可以操,这不是最好的交易，但这是一笔交易|我们现在可以做些什么来获得乐趣？,0,0,1,EndChat()
192,0,0,,你可以和别人约会,当然！我很快就会找到另一个人|我们现在可以做些什么来获得乐趣？,0,0,0,EndChat()
192,0,0,,Amanda会很高兴的,你觉得她有兴趣吗？我们拭目以待|我们现在可以做些什么来获得乐趣？,0,1,0,EndChat()
192,0,0,,你不在我的行列,好的！不管怎样，我很高兴单身|我们现在可以做些什么来获得乐趣？,0,-1,1,EndChat()
192,0,0,,约会是个错误,别这么说，这有点酷|我们可以做些什么来获得乐趣？,0,0,-1,EndChat()
200,0,0,,你在找主人吗？,（她低下头）是的，小姐。|我想带上项圈，请,210,0,0,
200,0,0,,你想戴项圈吗？,（她低下头）是的，小姐。|我想带上项圈，请,210,0,0,
200,0,0,,你渴望被支配|是吗？,（她低下头）是的，小姐。|我想带上项圈，请,210,0,0,
210,0,0,,项圈是一个|相当大的承诺,我知道，但我完全准备好了|我会为我的主人献出我的身体和灵魂,220,0,0,
210,0,0,,你需要忠于你的主人,当然，我会忠诚和服从|我会为我的主人献出我的身体和灵魂,220,0,0,
210,0,0,,D/S关系是|相当严肃的,我知道，我也会认真的|我会为我的主人献出我的身体和灵魂,220,0,0,
220,0,0,!IsNaked,那我要求你裸体|站在我面前,（她被你的命令惊呆了几秒钟，但很快就服从了）,230,0,0,EnslaveStrip()
220,0,0,!IsNaked,母狗，现在把衣服脱了,（她被你的命令惊呆了几秒钟，但很快就服从了）,230,0,0,EnslaveStrip()
220,0,0,IsNaked,在我面前裸体是什么感觉？,没关系，小姐，如果你想看我裸体，我会一直裸体的,240,0,0,"ActorSetPose(""Shy"")"
220,0,0,IsNaked,你愿意献出你的身体吗？,是的，我是。小姐，裸体并献出我的身体是可以的,240,0,0,"ActorSetPose(""Shy"")"
220,0,0,,总有一天你会让主人高兴的,谢谢，小姐。我真希望你是对的|我们现在可以做些什么来获得乐趣？,0,0,0,EndEnslaveSarah()
230,0,0,,在我面前裸体是什么感觉？,没关系，小姐，如果你想看我裸体，我会一直裸体的,240,0,0,
230,0,0,,你愿意献出你的身体吗？,是的，我是。小姐，裸体并献出我的身体是可以的,240,0,0,
240,0,0,,跪下,（她深吸一口气，然后慢慢跪了下来）,250,0,0,"ActorSetPose(""Kneel"")"
240,0,0,,跪下，母狗,（她深吸一口气，然后慢慢跪了下来）,250,0,0,"ActorSetPose(""Kneel"")"
240,0,0,,也许有一天|我会给你戴上项圈,（她看起来既紧张又兴奋）是的，小姐。|那么我们现在能做些什么来娱乐呢？,0,0,0,EndEnslaveSarah()
250,0,0,,你渴望取悦吗？,（她慢慢点了点头）是的,251,0,0,
251,0,0,,你想被控制吗？,（她颤抖着点了点头）是的，小姐,252,0,0,
252,0,0,,你需要这个项圈吗|（给她看项圈）,（她盯着项圈看了几秒钟，点了点头）最重要的是，小姐,253,0,0,
