Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,不，我只是想试试这个眼罩。,还有什么比在游戏中更好的方法来测试它呢|看看你能不能抓到我们中的一个。,10,0,0,
0,0,0,,这是个好主意。,当然，记住你在哪里|试着抓住我们中的一个，不要摔倒。,10,0,0,
0,0,0,PlayerIsGagged,@嗯嗯,那就来接我们吧|看着你踩着高跟鞋！,10,0,0,
5,0,0,EricaHelping,（站在那里听俱乐部讲话）,（有人拍了拍你的肩膀）|你需要帮忙吗？,7,0,0,
5,0,0,PlayerIsFree,（摘下眼罩）,（明亮的光线会伤害你的眼睛。俱乐部停止比赛，回到他们正在做的事情上）,15,0,0,UnBlindfold()
7,0,0,,是的，你能帮帮我吗。,当然|（你感觉项圈紧紧地系在脖子上）,120,0,0,Collared()
7,0,0,PlayerIsFree,不，我很好|（摘下眼罩）,,15,0,0,UnBlindfold()
7,0,0,PlayerIsCuffed,是的，马上解开我的手铐。,（有人摘下手铐）,5,0,0,UnCuffed()
7,0,0,PlayerIsGagged,@嗯,（你感觉脖子上有一个领子紧紧地系着）|现在是你的了。,120,0,0,Collared()
10,0,0,,（站着听）,站立,10,0,0,StandStill()
10,0,0,,（向前走）,转发,10,0,0,Fore()
10,0,0,,（向左走）,左,10,0,0,Turn()
10,0,0,,（向右走）,正确的,10,0,0,Turn()
10,0,0,,（向后走）,< 返回,10,0,0,Aft()
10,0,0,,Marco,Polo,10,0,0,Marco()
10,0,0,PlayerIsCuffed,嘿，有人现在帮我解开手铐。,让我们，如果你能把一个成员打倒或反对什么，我们其他人会帮助你的。,10,0,0,SomeoneUncuff()
10,0,0,PlayerRobbed,把我的东西还给我。,只有你赢了。我们将确保您收到任何捕获所需的物品。,10,0,0,Complain()
10,0,0,PlayerIsGagged,@嗯，嗯,来吧，你能做到的。把一个成员钉在某物上，我们其他人会帮助你的。,10,0,0,
10,0,0,TouchSomebody,（试着抓住他们）,（你差点就抓住了它们，但它们从你手中挣脱出来，跑得够不着）,10,0,0,Capture()
10,0,0,FeelSomebody,（试着把它们钉起来）,（你向他们猛扑过去，但没有任何东西可以压在他们身上，他们只是往后退）,10,0,0,Capture()
20,0,0,,（站起来）,,10,0,0,LifeLost()
20,0,0,,（坐在那里目瞪口呆）,你已经放弃了吗？,25,0,0,
25,0,0,,（站起来继续）,,10,0,0,LifeLost()
25,0,0,,（放弃）,COMMON_PLAYERNAME已经放弃比赛，抓住她。,30,0,0,
30,0,0,,不，等等，我不想再玩这个了。,（女孩们抓住你，确保你戴上安全的手铐，然后堵住你的嘴）这只是规则。,40,0,0,Lost()
30,0,0,PlayerIsGagged,@whnt plmhfm,（女孩们要确保你戴上安全的手铐，堵住球嘴）,40,0,0,Lost()
40,0,0,,（试着逃跑）,,40,0,0,GameOver()
40,0,0,,（试着恳求他们）,,40,0,0,GameOver()
100,0,0,EricaHelping,（站在那里听骚动）,（有人拍了拍你的肩膀）|你需要帮忙吗？,110,0,0,
100,0,0,PlayerIsCuffed,嘿，有人现在帮我解开手铐。,（有人打开手铐）,100,0,0,UnCuffed()
100,0,0,PlayerIsTied,有人能帮我解开吗。,好的。（有人解开绳结，你设法挣脱了绳索）,100,0,0,Untie()
100,0,0,PlayerIsGagged,@嗯，嗯,（没有人回应，但你听到有人朝你走来）,100,0,0,SlaveCall()
100,0,0,PlayerIsFree,（摘下眼罩）,,200,0,0,UnBlindfold()
110,0,0,,是的，你能帮帮我吗。,当然|（你感觉项圈紧紧地系在脖子上）,120,0,0,Collared()
110,0,0,PlayerIsFree,不，我很好|（摘下眼罩）,,200,0,0,UnBlindfold()
110,0,0,PlayerIsCuffed,是的，马上解开我的手铐。,（有人摘下手铐）,100,0,0,UnCuffed()
110,0,0,PlayerIsTied,是的，马上解开我。,好的。（有人解开绳结，你设法挣脱了绳索）,100,0,0,Untie()
110,0,0,PlayerIsGagged,@嗯,（你感觉脖子上有一个领子紧紧地系着）|现在是你的了。,120,0,0,Collared()
120,0,0,,嘿，你在干什么。,,120,0,0,EricaKidnap1()
120,0,0,,不，请放我走。,,120,0,0,EricaKidnap2()
120,0,0,PlayerIsGagged,@嗯！！！,,120,0,0,EricaKidnap3()
