Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,你好。你一定是新来的女孩|我是Erica，这些是今天的奴隶,Erica.jpg
10,0,0,,我能让你对奴隶感兴趣吗|我只交易最好的标本。,Erica.jpg
20,0,0,,他们很难问自己什么时候被绑架、捆绑和塞住嘴了。,Erica.jpg
25,0,0,,绑架和奴隶制是这个俱乐部的活跃部分。,Erica.jpg
30,0,0,,你对奴隶感兴趣吗。,Erica.jpg
40,0,0,,你有没有考虑过通过绑架成为奴隶？,Erica.jpg
50,0,0,,你应该试试绑架。,Erica.jpg
55,0,0,,Jenna在另一扇门旁留下了一袋手铐|你可以用它们来保护你的奴隶,Erica.jpg
60,0,0,,你应该集中精力绑架自己的奴隶,Erica.jpg
90,0,0,,等你准备好回来穿这个,EricaSlaver.jpg
100,0,0,First,这是什么，又有一个无助的|少女误入奴隶主的领地了吗？,EricaSlaver.jpg
100,0,0,Again,看谁的背。你现在准备好成为我的奴隶了吗？,EricaSlaver.jpg
110,0,0,,只是绑架了一个无助的少女|（Erica摘下你的眼罩）,EricaPlayerCollared.jpg
111,0,0,,对不起，亲爱的，你现在只是我的奴隶了|（Erica摘下你的眼罩）,EricaPlayerCollared.jpg
112,0,0,,你会成为一个可爱的奴隶|（Erica摘下你的眼罩）,EricaPlayerCollared.jpg
150,0,0,,不错的尝试，但你选错了战斗|你现在是我的奴隶了。,EricaKidnapper.jpg
160,0,0,,,EricaPlayerFloored.jpg
165,0,0,,,EricaPlayerFloored.jpg
170,0,0,,,EricaPlayerCaptured.jpg
180,0,0,,,EricaPlayerLegsTied.jpg
200,0,0,PlayerClothGag,,EricaPlayerSlaveCloth.jpg
200,0,0,PlayerBallGag,,EricaPlayerSlaveBall.jpg
210,0,0,,,EricaPlayerKneelingCloth.jpg
220,0,0,,,EricaPleasure.jpg
230,0,0,,,EricaPlayerKneelingRing.jpg
240,0,0,PlayerNotGagged,,EricaPlayerKneeling.jpg
240,0,0,PlayerRingGag,,EricaPlayerKneelingRing.jpg
250,0,0,PlayerNotGagged,,EricaPlayerKneeling.jpg
250,0,0,PlayerRingGag,,EricaPlayerKneelingRing.jpg
260,0,0,,,EricaPlayerKneelingBall.jpg
270,0,0,,,EricaPlayerSlaveBall.jpg
280,0,0,,,EricaFedUp.jpg
290,0,0,,我以为我告诉过你走开。,EricaFedUp.jpg
300,0,0,,（Erica任你摆布，但她仍在努力摆脱你的控制）,EricaCaptured.jpg
310,0,0,,（你现在要对她做什么？）,Background.jpg
315,0,0,,,Background.jpg
320,0,0,,,Slaves.jpg
325,0,0,,（Erica很无助，但现在你对此无能为力）,Background.jpg
330,0,0,,,SlaveDancerGagged.jpg
340,0,0,,,SlaveHood.jpg
350,0,0,,（Erica紧张地看着你。她不会再打扰你了|但现在最好还是别管她）,EricaNervious.jpg
400,0,0,,,EricaLetGoAngry.jpg
410,0,0,,,EricaGrabAngry.jpg
420,0,0,,,EricaForceAngry.jpg
