Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,我就知道你会回来的|我需要向你解释一些事情。,JennaWaiting.jpg
5,0,0,,嘿，你一定是新来的女孩。,JennaWaiting.jpg
10,0,0,,这是关于这个俱乐部的，也是关于Natalie的。,JennaWaiting.jpg
15,0,0,,这是学院的Kinbaku俱乐部|欢迎您今晚留下来。,JennaWaiting.jpg
20,0,0,,这是关于这个俱乐部的，也是Natalie的赌注。,JennaWaiting.jpg
25,0,0,,我是Jenna。,JennaWaiting.jpg
30,0,0,,我来解释一下这个俱乐部。,JennaWaiting.jpg
40,0,0,,首先，学院认为这个俱乐部是关于“文化艺术形式、实践技能和锻炼”的。,JennaWaiting.jpg
50,0,0,,是的，正式地说，一些老师知道得更好|而且，不仅仅是Kinbaku有绳子。,JennaWaiting.jpg
55,0,0,,俱乐部非常包容，我们使用各种各样的设备和技术。,JennaWaiting.jpg
56,0,0,,不，有标准和同意。俱乐部将对任何走得太远的人进行内部纪律处分。,JennaWaiting.jpg
60,0,0,,即便如此，我们还是倾向于使用诸如“香蕉”之类的安全词，|只是为了确保每个人都很好并享受它。,JennaWaiting.jpg
70,0,0,,Natalie本来可以很容易地省去很多麻烦的。哦，还有一根免费的绳子。,JennaWaiting.jpg
75,0,0,,如果有选择的话，她会一直被束缚|我已经告诉她今晚不要去。,JennaWaiting.jpg
80,0,0,,（Jenna已经离开了房间）,JennaGone.jpg
100,0,0,,你做了这些事，居然还来这里，真有胆量。,JennaAngry.jpg
110,0,0,,我的朋友在你对她做了什么之后正在康复。,JennaAngry.jpg
120,0,0,,她的下一节课是数学，后来她被愤怒的Mildred发现了。,JennaAngry.jpg
130,0,0,,我相信你会毫不费力地忘掉这个恶作剧的。,ClubMenacing.jpg
