Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,TiedElbowsTouching,（在任何人做出反应之前，当你抓住并拖走她时，她无助地挣扎着）,KidnapLeftTwin.jpg
0,0,0,!TiedElbowsTouching,（在任何人做出反应之前，当你抓住并拖走她时，她无助地挣扎着）,KidnapRightTwin.jpg
1,0,0,TiedElbowsTouching,那就玩得开心吧|（Lucy挥手告别，你把她妹妹拖走了）,KidnapLeftTwin.jpg
1,0,0,!TiedElbowsTouching,那就玩得开心吧|（Lucy挥手告别，你把她妹妹拖走了）,KidnapRightTwin.jpg
5,0,0,,（她注意到你自己的束缚，咯咯地笑了起来）,TwinBackground.jpg
6,0,0,,（她能听到你在那里，|但你们俩都不能这样做。,TwinBackground.jpg
9,0,0,,不要试图在我身上使用任何东西。,TwinBackground.jpg
10,0,0,,（她浑身发抖，在恐慌中挣扎）,TwinBackground.jpg
15,0,0,,,TwinBackground.jpg
20,0,0,,请你一定要帮我。,TwinBackground.jpg
21,0,0,,,TwinBackground.jpg
22,0,0,,,TwinBackground.jpg
23,0,0,,,TwinBackground.jpg
24,0,0,,,TwinBackground.jpg
30,0,0,,,TwinBackground.jpg
31,0,0,,,TwinBackground.jpg
32,0,0,,,TwinBackground.jpg
33,0,0,,,TwinBackground.jpg
40,0,0,,,TwinBackground.jpg
41,0,0,,,TwinBackground.jpg
50,0,0,,,TwinBackground.jpg
51,0,0,,,TwinBackground.jpg
52,0,0,,,TwinBackground.jpg
60,0,0,,,TwinBackground.jpg
70,0,0,,,TwinBackground.jpg
71,0,0,,,TwinBackground.jpg
73,0,0,,,TwinBackground.jpg
74,0,0,,,TwinBackground.jpg
75,0,0,,,TwinBackground.jpg
76,0,0,,,TwinBackground.jpg
77,0,0,,,TwinBackground.jpg
78,0,0,,,TwinBackground.jpg
79,0,0,,,TwinBackground.jpg
80,0,0,,,TwinBackground.jpg
100,0,0,,,TwinBackground.jpg
110,0,0,,,TwinBackground.jpg
111,0,0,,,TwinBackground.jpg
112,0,0,,,TwinBackground.jpg
113,0,0,,,TwinBackground.jpg
114,0,0,,,TwinBackground.jpg
115,0,0,,,TwinBackground.jpg
116,0,0,,,TwinBackground.jpg
120,0,0,,,TwinBackground.jpg
130,0,0,,,TwinBackground.jpg
200,0,0,,,TwinBackground.jpg
210,0,0,,,TwinBackground.jpg
300,0,0,,,TwinBackground.jpg
310,0,0,,,TwinBackground.jpg
