Tag,Content
PlayerFree1,Jenna走了过来。“啊，COMMON_PLAYERNAME，我想知道你过得怎么样。”
PlayerFree2,“改天再跟我说说。”
PlayerFree3,“我有东西要给你。”
PlayerFree4,她把你的注意力吸引到房间中央。
PlayerFree5,下一部分将以另一个版本提供。
Enslaved1,Jenna走了过来。“Erica，我要买下那个粉红色头发的奴隶。”
Enslaved2,Erica：“你真的要为此买单吗？”
Enslaved3,Jenna：“不，把她记在我的账上。”
Enslaved4,Jenna带你到俱乐部房间的中间。
Enslaved5,下一部分将以另一个版本提供。
ChairCuffed1,Jenna走了过来。“我们这里有什么？”
ChairCuffed2,”你看起来不可抗拒，Nicole应该早点告诉我
ChairCuffed3,她把你的手腕铐在一起，然后把其他的手铐都拿掉。
LaurenCuffedStrppado,她从链子上解开你的手铐。
LaurenCuffedStrppadoLegs,她取下脚镣，把你的手铐从链子上解开。
ChairCuffed4,然后她带你到俱乐部房间的中间。
ChairCuffed5,下一部分将以另一个版本提供。
ChloeSub1,Jenna走了过来。“看来你终于找到了一个可以一起玩的人。”
ChloeSub2,Chloe：“哦，COMMON_PLAYERNAME一直很受欢迎。”
ChloeSub3,Chloe：“我能再留她一会儿吗？”
ChloeSub4,Jenna：“抱歉，改天吧。”她带你进了房间。
LeftChair1,你的眼罩被摘下，Jenna站在你身边。
LeftChair2,“哇，Chloe告诉我的时候，我简直不敢相信。”
LeftChair3,“你这样很诱人，但现在不是时候。”
LeftChair4,她把你从椅子上放下来，领你走进房间。
Manacles1,“时间已经到了吗？”
Manacles2,她解开你的脚踝和墙上的手铐。
Manacles3,“我有个惊喜要给你。”
Manacles4,然后她带你到俱乐部房间的中间。
Manacles5,下一部分将以另一个版本提供。
